"DIALOGUE ID","START TIME","END TIME"
"17","0:06:05","0:06:08"
"18","0:06:05","0:06:08"
"19","0:06:36","0:06:41"
"20","0:06:43","0:06:47"
"21","0:06:50","0:06:54"
"22","0:06:58","0:07:00"
"23","0:07:07","0:07:11"
"24","0:07:07","0:07:12"
"25","0:07:12","0:07:15"
"26","0:07:12","0:07:15"
"27","0:07:12","0:07:15"
"28","0:07:12","0:07:15"
"29","0:07:12","0:07:15"
"30","0:07:12","0:07:15"
"31","0:07:12","0:07:15"
"32","0:07:12","0:07:15"
"33","0:07:12","0:07:15"
"34","0:07:12","0:07:15"
"35","0:07:12","0:07:15"
"36","0:07:12","0:07:15"
"37","0:07:12","0:07:15"
"38","0:07:12","0:07:15"
"39","0:07:12","0:07:15"
"40","0:07:12","0:07:15"
"41","0:07:12","0:07:15"
"42","0:07:12","0:07:15"
"43","0:07:12","0:07:41"
"44","0:07:39","0:07:41"
"45","0:07:39","0:07:41"
"46","0:07:39","0:07:41"
"47","0:07:39","0:07:45"
"48","0:07:41","0:07:45"
"49","0:07:41","0:07:45"
"50","0:07:41","0:07:45"
"51","0:07:41","0:07:53"
"52","0:07:49","0:07:53"
"53","0:07:49","0:07:53"
"54","0:07:49","0:07:53"
"55","0:09:14","0:09:17"
"56","0:09:24","0:09:26"
"57","0:09:31","0:09:33"
"58","0:09:31","0:09:39"
"59","0:09:39","0:09:41"
"60","0:09:43","0:09:45"
"61","0:09:43","0:09:58"
"62","0:09:58","0:10:02"
"63","0:10:17","0:10:20"
"64","0:10:54","0:11:02"
"65","0:11:06","0:11:11"
"66","0:11:11","0:11:13"
"67","0:11:11","0:11:13"
"68","0:11:11","0:11:13"
"69","0:11:11","0:11:13"
"70","0:11:11","0:11:13"
"71","0:11:11","0:11:13"
"72","0:11:11","0:11:13"
"73","0:11:11","0:11:13"
"74","0:11:11","0:11:13"
"75","0:11:11","0:11:13"
"76","0:11:11","0:11:13"
"77","0:11:11","0:11:13"
"78","0:11:11","0:11:13"
"79","0:11:11","0:11:13"
"80","0:11:11","0:11:13"
"81","0:11:11","0:11:13"
"82","0:11:11","0:11:13"
"83","0:11:11","0:11:13"
"84","0:11:11","0:11:13"
"85","0:11:11","0:11:13"
"86","0:11:11","0:11:13"
"87","0:11:11","0:11:13"
"88","0:11:11","0:11:13"
"89","0:11:11","0:11:13"
"90","0:11:11","0:11:13"
"91","0:11:11","0:11:13"
"92","0:11:11","0:11:13"
"93","0:11:11","0:11:13"
"94","0:11:11","0:11:13"
"95","0:11:11","0:11:13"
"96","0:15:32","0:15:35"
"97","0:15:36","0:15:38"
"98","0:15:54","0:15:56"
"99","0:16:03","0:16:04"
"100","0:16:12","0:16:14"
"101","0:16:27","0:16:31"
"102","0:17:19","0:17:24"
"103","0:17:24","0:17:27"
"104","0:17:24","0:17:27"
"105","0:17:24","0:17:27"
"106","0:17:24","0:17:27"
"107","0:17:24","0:17:27"
"108","0:17:24","0:17:27"
"109","0:17:24","0:17:27"
"110","0:17:24","0:17:40"
"111","0:18:11","0:18:13"
"112","0:18:13","0:18:19"
"113","0:18:17","0:18:22"
"114","0:18:22","0:18:26"
"115","0:18:28","0:18:37"
"116","0:18:57","0:18:59"
"117","0:18:57","0:18:59"
"118","0:18:57","0:18:59"
"119","0:19:02","0:19:04"
"120","0:19:07","0:19:12"
"121","0:19:12","0:19:14"
"122","0:19:12","0:19:14"
"123","0:19:12","0:19:14"
"124","0:19:12","0:19:17"
"125","0:19:18","0:19:19"
"126","0:19:18","0:19:25"
"127","0:19:29","0:19:31"
"128","0:19:31","0:19:36"
"129","0:19:42","0:19:51"
"130","0:19:51","0:19:55"
"131","0:19:56","0:19:58"
"132","0:19:56","0:20:03"
"133","0:20:03","0:20:13"
"134","0:20:13","0:20:18"
"135","0:20:18","0:20:20"
"136","0:20:20","0:20:23"
"137","0:20:20","0:20:23"
"138","0:20:20","0:20:26"
"139","0:20:26","0:20:32"
"140","0:20:32","0:20:33"
"141","0:20:35","0:20:39"
"142","0:20:39","0:20:44"
"143","0:20:44","0:20:46"
"144","0:20:44","0:20:49"
"145","0:20:50","0:20:52"
"146","0:20:50","0:21:00"
"147","0:21:01","0:21:07"
"148","0:21:07","0:21:11"
"149","0:21:11","0:21:12"
"150","0:21:12","0:21:15"
"151","0:21:12","0:21:15"
"152","0:21:29","0:21:34"
"153","0:21:34","0:21:36"
"154","0:21:36","0:21:39"
"155","0:21:36","0:21:39"
"156","0:21:40","0:21:46"
"157","0:21:44","0:21:46"
"158","0:21:48","0:21:54"
"159","0:21:58","0:22:16"
"160","0:22:13","0:22:16"
"161","0:22:13","0:22:16"
"162","0:22:19","0:22:26"
"163","0:22:28","0:22:33"
"164","0:22:36","0:22:45"
"165","0:22:45","0:22:52"
"166","0:22:55","0:22:57"
"167","0:22:55","0:23:03"
"168","0:23:02","0:23:03"
"169","0:23:02","0:23:03"
"170","0:23:02","0:23:03"
"171","0:23:02","0:23:03"
"172","0:23:02","0:23:19"
"173","0:23:22","0:23:25"
"174","0:23:22","0:23:25"
"175","0:23:28","0:23:31"
"176","0:23:39","0:23:43"
"177","0:23:39","0:23:43"
"178","0:23:43","0:23:49"
"179","0:23:46","0:23:59"
"180","0:23:57","0:24:08"
"181","0:24:10","0:24:12"
"182","0:24:13","0:24:19"
"183","0:24:19","0:24:22"
"184","0:24:19","0:24:30"
"185","0:24:31","0:24:41"
"186","0:24:48","0:24:54"
"187","0:24:52","0:24:54"
"188","0:24:52","0:24:54"
"189","0:24:52","0:26:23"
"190","0:26:20","0:26:23"
"191","0:26:20","0:26:23"
"192","0:26:20","0:26:23"
"193","0:26:20","0:26:23"
"194","0:26:20","0:26:23"
"195","0:26:20","0:26:23"
"196","0:26:20","0:26:23"
"197","0:26:20","0:26:23"
"198","0:26:20","0:26:23"
"199","0:26:20","0:26:23"
"200","0:26:20","0:26:31"
"201","0:26:28","0:26:31"
"202","0:26:28","0:26:47"
"203","0:26:45","0:26:50"
"204","0:26:51","0:26:54"
"205","0:26:51","0:26:57"
"206","0:26:57","0:26:59"
"207","0:26:57","0:27:01"
"208","0:27:04","0:27:06"
"209","0:27:06","0:27:08"
"210","0:27:06","0:27:08"
"211","0:27:31","0:27:33"
"212","0:27:33","0:27:36"
"213","0:27:37","0:27:40"
"214","0:27:37","0:27:40"
"215","0:27:40","0:27:45"
"216","0:27:43","0:27:45"
"217","0:27:43","0:27:45"
"218","0:27:43","0:27:45"
"219","0:27:43","0:27:45"
"220","0:27:43","0:27:45"
"221","0:27:43","0:27:52"
"222","0:27:49","0:27:52"
"223","0:28:14","0:28:28"
"224","0:28:25","0:28:28"
"225","0:28:25","0:28:30"
"226","0:28:28","0:28:30"
"227","0:28:28","0:28:30"
"228","0:28:28","0:28:36"
"229","0:28:41","0:28:42"
"230","0:28:41","0:28:55"
"231","0:28:52","0:30:10"
"232","0:30:13","0:30:16"
"233","0:30:13","0:30:16"
"234","0:30:13","0:30:29"
"235","0:30:30","0:30:39"
"236","0:30:39","0:30:50"
"237","0:30:47","0:31:07"
"238","0:31:04","0:31:19"
"239","0:31:19","0:31:25"
"240","0:31:25","0:31:27"
"241","0:31:27","0:31:28"
"242","0:31:27","0:31:39"
"243","0:31:39","0:31:42"
"244","0:31:42","0:31:46"
"245","0:31:48","0:32:00"
"246","0:32:03","0:32:04"
"247","0:32:03","0:32:04"
"248","0:32:13","0:32:21"
"249","0:32:17","0:32:28"
"250","0:32:24","0:32:28"
"251","0:32:24","0:32:28"
"252","0:32:24","0:32:41"
"253","0:32:38","0:32:48"
"254","0:32:45","0:32:48"
"255","0:32:49","0:32:55"
"256","0:32:51","0:32:55"
"257","0:32:51","0:33:12"
"258","0:33:13","0:33:31"
"259","0:33:27","0:33:34"
"260","0:33:31","0:33:34"
"261","0:33:34","0:33:36"
"262","0:33:38","0:33:44"
"263","0:33:45","0:34:06"
"264","0:34:06","0:34:07"
"265","0:34:10","0:34:37"
"266","0:34:37","0:34:39"
"267","0:34:37","0:34:49"
"268","0:34:49","0:35:00"
"269","0:35:02","0:35:04"
"270","0:35:04","0:35:07"
"271","0:35:04","0:35:36"
"272","0:35:37","0:35:59"
"273","0:35:55","0:36:01"
"274","0:36:03","0:36:11"
"275","0:36:08","0:36:24"
"276","0:36:26","0:36:29"
"277","0:36:26","0:36:33"
"278","0:36:29","0:36:33"
"279","0:36:42","0:36:49"
"280","0:36:45","0:36:53"
"281","0:36:50","0:37:06"
"282","0:37:04","0:37:11"
"283","0:37:11","0:37:17"
"284","0:37:13","0:37:29"
"285","0:37:25","0:37:34"
"286","0:37:31","0:37:43"
"287","0:37:43","0:37:54"
"288","0:37:52","0:37:58"
"289","0:37:54","0:38:08"
"290","0:38:09","0:38:18"
"291","0:38:19","0:38:34"
"292","0:38:30","0:38:34"
"293","0:38:41","0:38:44"
"294","0:38:41","0:38:44"
"295","0:38:47","0:39:04"
"296","0:39:01","0:39:18"
"297","0:39:16","0:39:24"
"298","0:39:24","0:39:31"
"299","0:39:28","0:39:40"
"300","0:39:36","0:39:42"
"301","0:39:40","0:39:51"
"302","0:39:48","0:39:51"
"303","0:39:54","0:39:56"
"304","0:39:54","0:41:21"
"305","0:41:16","0:42:10"
"306","0:42:10","0:42:22"
"307","0:42:19","0:42:45"
"308","0:42:46","0:42:47"
"309","0:43:29","0:43:31"
"310","0:43:29","0:43:31"
"311","0:43:31","0:43:34"
"312","0:43:37","0:43:39"
"313","0:43:37","0:43:39"
"314","0:43:40","0:43:44"
"315","0:43:42","0:43:44"
"316","0:43:44","0:43:46"
"317","0:43:48","0:43:50"
"318","0:43:50","0:43:53"
"319","0:43:50","0:43:53"
"320","0:43:53","0:44:15"
"321","0:44:12","0:44:23"
"322","0:44:20","0:44:27"
"323","0:44:23","0:44:34"
"324","0:44:31","0:44:41"
"325","0:44:37","0:44:41"
"326","0:44:41","0:44:43"
"327","0:44:41","0:44:43"
"328","0:45:38","0:45:42"
"329","0:45:38","0:45:45"
"330","0:45:42","0:45:47"
"331","0:45:45","0:45:47"
"332","0:45:45","0:45:47"
"333","0:45:59","0:46:01"
"334","0:46:36","0:46:39"
"335","0:46:36","0:46:39"
