"SOURCE NODE ID","TARGET NODE ID","DIALOGUE ID","SCENE ID"
"154","131","1","1"
"173","145","1","3"
"155","130","19","68"
"169","104","19","69"
"178","104","19","69"
"178","169","19","69"
"78","124","19","71"
"74","130","19","72"
"177","130","19","72"
"74","177","19","72"
"168","152","19","74"
"132","101","19","78"
"130","97","19","80"
"127","97","19","80"
"155","97","19","80"
"93","97","19","80"
"155","127","19","80"
"93","127","19","80"
"127","130","19","80"
"93","130","19","80"
"155","130","19","80"
"93","155","19","80"
"151","124","19","83"
"79","114","19","84"
"178","114","19","84"
"151","114","19","84"
"178","151","19","84"
"79","151","19","84"
"79","178","19","84"
"74","176","30","163"
"74","153","30","164"
"168","153","30","164"
"74","168","30","164"
"74","134","30","167"
"151","159","44","248"
"132","130","44","249"
"133","130","44","249"
"132","133","44","249"
"121","120","45","262"
"173","120","45","263"
"121","120","45","263"
"93","120","45","263"
"93","121","45","263"
"173","121","45","263"
"93","173","45","263"
"89","93","45","265"
"155","93","45","265"
"120","93","45","265"
"155","120","45","265"
"89","120","45","265"
"89","155","45","265"
"144","99","45","267"
"120","99","45","267"
"144","120","45","267"
"73","93","45","271"
"180","93","45","271"
"168","93","45","271"
"152","93","45","271"
"180","115","45","271"
"168","115","45","271"
"152","115","45","271"
"93","115","45","271"
"73","115","45","271"
"180","152","45","271"
"168","152","45","271"
"73","152","45","271"
"73","168","45","271"
"180","168","45","271"
"73","180","45","271"
"68","99","45","272"
"127","93","45","275"
"178","169","45","276"
"151","155","48","297"
"151","118","48","299"
"165","118","48","299"
"79","118","48","299"
"165","151","48","299"
"79","151","48","299"
"79","165","48","299"
"92","93","53","305"
"130","93","53","305"
"92","130","53","305"
"68","99","53","306"
"120","99","53","306"
"68","120","53","306"
"92","127","55","308"
"179","174","56","321"
"97","99","56","322"
"68","97","56","323"
"183","142","56","324"
"164","142","56","324"
"183","164","56","324"
"176","126","57","330"
"158","126","57","330"
"176","158","57","330"
"84","152","57","341"
"74","152","59","362"
"155","139","64","385"
"133","130","64","386"
"176","130","64","386"
"163","130","64","386"
"176","133","64","386"
"163","133","64","386"
"176","163","64","386"
"132","127","81","418"
"158","127","81","418"
"158","132","81","418"
"92","71","86","451"
"84","144","91","504"
"154","144","95","508"
"145","125","105","554"
"163","136","105","564"
"171","109","105","580"
"122","105","109","603"
"136","105","109","603"
"136","122","109","603"
"168","131","113","632"
"76","115","192","784"
"162","115","192","784"
"147","115","192","784"
"76","147","192","784"
"162","147","192","784"
"76","162","192","784"
"131","107","278","876"
"73","163","293","894"
"163","123","466","964"
