"SOURCE NODE ID","TARGET NODE ID","SOURCE SCENE ID","TARGET SCENE ID"
"205","210","141","142"
"205","210","141","142"
"205","210","141","142"
"205","210","141","142"
"205","210","143","142"
"185","196","65","64"
"196","185","64","65"
"206","205","101","100"
"205","206","100","101"
"195","206","102","101"
"206","195","101","102"
"201","195","103","102"
"195","201","102","103"
"202","210","106","105"
"210","202","105","106"
"208","213","109","108"
"221","208","110","109"
"213","208","108","109"
"208","221","109","110"
"193","221","111","110"
"221","193","110","111"
"195","193","112","111"
"193","195","111","112"
"199","195","113","112"
"209","199","114","113"
"195","199","112","113"
"200","209","115","114"
"199","209","113","114"
"203","200","116","115"
"209","200","114","115"
"212","203","117","116"
"200","203","115","116"
"203","212","116","117"
"203","212","118","117"
"211","203","119","118"
"212","203","117","118"
"203","211","118","119"
"203","211","120","119"
"211","203","119","120"
"211","203","125","124"
"203","211","124","125"
"220","218","131","130"
"218","220","130","131"
"215","220","132","131"
"220","215","131","132"
"210","214","139","138"
"214","210","138","139"
"197","210","140","139"
"210","197","139","140"
"205","197","141","140"
"205","197","141","140"
"205","197","141","140"
"205","197","141","140"
"210","205","142","141"
"197","205","140","141"
"210","205","142","141"
"197","205","140","141"
"210","205","142","141"
"197","205","140","141"
"210","205","142","141"
"197","205","140","141"
"210","205","142","143"
"196","185","192","191"
"185","196","191","192"
"187","186","213","212"
"186","187","212","213"
"228","227","306","305"
"227","228","305","306"
"225","228","307","306"
"228","225","306","307"
