"SCENE ID","START TIME","END TIME"
"1","0:02:47","0:03:14"
"7","0:04:57","0:05:28"
"8","0:05:41","0:06:08"
"10","0:06:08","0:07:00"
"11","0:07:07","0:07:12"
"12","0:07:12","0:07:20"
"16","0:07:39","0:07:56"
"18","0:08:01","0:10:20"
"19","0:10:54","0:11:19"
"26","0:15:32","0:15:38"
"28","0:15:54","0:16:31"
"29","0:17:11","0:19:36"
"30","0:19:42","0:23:31"
"31","0:23:39","0:25:31"
"33","0:26:20","0:26:31"
"34","0:26:40","0:27:08"
"36","0:27:31","0:27:45"
"38","0:27:49","0:27:52"
"41","0:27:49","0:28:42"
"42","0:28:42","0:28:55"
"43","0:28:52","0:32:00"
"44","0:32:03","0:32:31"
"45","0:32:31","0:36:53"
"47","0:36:50","0:39:04"
"48","0:39:01","0:39:54"
"50","0:39:54","0:40:23"
"52","0:40:24","0:41:21"
"53","0:41:16","0:42:22"
"54","0:42:19","0:42:45"
"55","0:42:46","0:43:53"
"56","0:43:53","0:44:43"
"57","0:44:46","0:47:31"
"59","0:47:36","0:49:51"
"60","0:49:48","0:49:56"
"61","0:49:54","0:50:53"
"63","0:51:07","0:51:42"
"64","0:51:39","0:52:09"
"65","0:52:10","0:52:21"
"66","0:52:21","0:54:01"
"68","0:54:12","0:54:54"
"71","0:54:59","0:55:11"
"72","0:55:13","0:55:15"
"73","0:55:16","0:55:36"
"77","0:55:32","0:55:58"
"79","0:55:54","0:55:59"
"81","0:55:59","0:56:35"
"84","0:56:33","0:57:52"
"86","0:57:52","0:59:37"
"87","0:59:39","0:59:42"
"91","1:02:17","1:02:19"
"95","1:03:51","1:05:13"
"98","1:05:32","1:05:35"
"100","1:05:49","1:05:59"
"101","1:05:56","1:06:13"
"102","1:06:13","1:06:59"
"103","1:07:08","1:07:36"
"104","1:07:33","1:08:10"
"105","1:08:11","1:12:28"
"106","1:12:50","1:12:55"
"108","1:13:21","1:13:58"
"109","1:13:58","1:15:53"
"110","1:15:49","1:16:21"
"111","1:16:21","1:17:07"
"112","1:17:03","1:17:49"
"113","1:17:51","1:18:04"
"114","1:18:05","1:18:58"
"115","1:18:59","1:22:17"
"116","1:22:17","1:23:04"
"117","1:23:04","1:23:26"
"118","1:23:28","1:23:33"
"119","1:23:33","1:23:47"
"120","1:23:44","1:24:00"
"122","1:24:00","1:24:02"
"124","1:24:07","1:24:12"
"125","1:24:10","1:24:19"
"127","1:24:37","1:24:56"
"130","1:24:56","1:26:21"
"131","1:26:21","1:26:59"
"132","1:26:56","1:27:34"
"136","1:27:30","1:29:00"
"138","1:29:12","1:29:24"
"139","1:29:38","1:29:56"
"140","1:29:53","1:30:58"
"141","1:31:05","1:32:57"
"141","1:32:55","1:31:45"
"142","1:31:42","1:31:45"
"143","1:31:59","1:32:00"
"148","1:33:01","1:33:42"
"153","1:34:00","1:34:02"
"157","1:34:19","1:34:21"
"164","1:34:32","1:34:33"
"170","1:34:51","1:35:05"
"180","1:35:06","1:35:32"
"182","1:35:32","1:35:35"
"188","1:35:36","1:36:14"
"189","1:36:11","1:36:18"
"191","1:36:15","1:36:37"
"192","1:36:37","1:38:01"
"197","1:38:01","1:39:00"
"199","1:39:21","1:39:28"
"201","1:39:37","1:40:57"
"203","1:41:05","1:41:20"
"204","1:41:26","1:42:33"
"205","1:42:48","1:44:59"
"207","1:45:11","1:45:18"
"210","1:45:31","1:45:33"
"212","1:45:33","1:45:36"
"213","1:45:36","1:45:38"
"214","1:45:38","1:45:41"
"217","1:45:44","1:45:46"
"219","1:45:50","1:45:52"
"220","1:45:52","1:45:55"
"222","1:45:55","1:45:56"
"224","1:45:59","1:46:04"
"225","1:46:01","1:46:10"
"227","1:46:10","1:46:13"
"228","1:46:13","1:46:17"
"232","1:46:31","1:46:34"
"237","1:46:42","1:46:43"
"239","1:46:48","1:46:49"
"241","1:46:51","1:46:53"
"244","1:46:59","1:47:07"
"247","1:47:10","1:48:13"
"278","1:49:05","1:49:07"
"280","1:49:11","1:49:12"
"287","1:49:24","1:49:27"
"288","1:49:24","1:49:30"
"293","1:49:37","1:49:39"
"295","1:49:39","1:49:42"
"298","1:49:48","1:49:55"
"302","1:50:01","1:50:07"
"304","1:50:09","1:50:12"
"305","1:50:15","1:50:21"
"306","1:50:23","1:50:26"
"307","1:50:26","1:50:28"
"309","1:50:30","1:50:34"
"316","1:50:48","1:50:51"
"318","1:50:51","1:50:53"
"320","1:50:54","1:52:22"
"360","1:52:23","1:52:38"
"361","1:52:39","1:52:41"
"466","1:57:01","1:57:04"
"471","1:57:11","1:57:17"
"475","1:57:27","1:57:29"
"476","1:57:31","1:57:35"
"479","1:58:00","1:58:21"
