"SOURCE NODE ID","TARGET NODE ID","SCENE ID","DIALOGUE ID"
"1","264","40","270"
"1","155","1","1"
"1","155","1","3"
"1","143","1","1"
"1","159","1","2"
"1","162","40","270"
"1","231","40","265"
"1","119","1","2"
"1","241","40","265"
"1","221","40","270"
"1","114","1","1"
"1","211","1","2"
"1","210","40","265"
"1","87","1","3"
"1","195","1","2"
"1","52","40","270"
"1","54","1","2"
"2","136","191","890"
"2","136","101","571"
"2","147","6","63"
"2","147","18","73"
"2","264","18","73"
"2","264","26","143"
"2","264","68","512"
"2","264","191","935"
"2","265","44","294"
"2","154","191","892"
"2","268","191","935"
"2","268","18","73"
"2","268","114","690"
"2","155","4","20"
"2","155","71","565"
"2","155","191","929"
"2","270","5","55"
"2","155","191","935"
"2","139","191","890"
"2","251","71","573"
"2","248","191","935"
"2","249","5","48"
"2","248","68","512"
"2","249","73","580"
"2","136","114","690"
"2","257","5","37"
"2","143","190","929"
"2","257","5","55"
"2","143","84","546"
"2","143","74","512"
"2","143","191","923"
"2","143","6","63"
"2","143","18","65"
"2","143","54","294"
"2","255","112","685"
"2","258","63","411"
"2","258","35","171"
"2","258","18","73"
"2","144","35","147"
"2","257","5","35"
"2","263","35","161"
"2","260","46","319"
"2","260","4","20"
"2","259","71","565"
"2","158","4","20"
"2","41","5","34"
"2","41","54","301"
"2","41","112","685"
"2","163","95","652"
"2","44","35","151"
"2","45","4","16"
"2","45","191","933"
"2","45","191","935"
"2","46","74","594"
"2","46","44","301"
"2","231","114","690"
"2","228","18","73"
"2","228","191","935"
"2","231","5","42"
"2","117","35","153"
"2","119","35","149"
"2","244","44","301"
"2","240","35","169"
"2","125","4","7"
"2","246","18","71"
"2","134","5","42"
"2","245","35","161"
"2","133","46","319"
"2","133","35","156"
"2","131","95","563"
"2","219","18","73"
"2","216","64","443"
"2","216","46","319"
"2","216","16","69"
"2","220","114","690"
"2","98","35","165"
"2","214","114","690"
"2","96","63","411"
"2","98","191","935"
"2","98","74","512"
