"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"1","214","40"
"1","214","1"
"2","176","3"
"2","174","101"
"2","174","109"
"2","174","113"
"2","170","111"
"2","169","168"
"2","170","63"
"2","163","4"
"2","168","114"
"2","164","59"
"2","156","35"
"2","155","68"
"2","158","18"
"2","155","64"
"2","204","190"
"2","204","188"
"2","204","26"
"2","198","54"
"2","196","16"
"2","195","6"
"2","187","5"
"2","153","71"
"2","153","77"
"2","153","75"
"2","153","74"
"2","153","73"
"3","174","109"
"3","176","3"
"3","170","111"
"3","172","41"
"3","172","41"
"3","172","41"
"3","172","41"
"3","170","104"
"3","170","107"
"3","163","10"
"3","163","4"
"3","158","18"
"3","155","68"
"3","217","12"
"3","215","37"
"3","201","19"
"3","198","38"
"4","163","4"
"4","158","18"
"4","155","64"
"4","204","190"
"4","196","17"
"4","195","6"
"5","216","45"
"5","211","162"
"5","189","123"
"5","189","123"
"5","189","123"
"5","189","123"
"5","187","5"
"6","173","117"
"6","173","120"
"6","169","80"
"6","170","104"
"6","154","155"
"6","154","146"
"6","154","142"
"6","216","45"
"6","211","131"
"6","200","149"
"6","200","160"
"6","195","6"
"6","187","5"
"6","151","72"
"7","187","5"
"8","186","56"
"8","174","101"
"8","170","69"
"8","170","63"
"8","170","104"
"8","170","70"
"8","170","107"
"8","162","161"
"8","164","59"
"8","155","68"
"8","154","142"
"8","216","45"
"8","212","53"
"8","214","40"
"8","211","128"
"8","210","124"
"8","210","124"
"8","210","124"
"8","210","124"
"8","210","187"
"8","198","55"
"8","189","123"
"8","189","123"
"8","189","123"
"8","189","123"
"8","187","5"
"9","158","18"
"9","201","19"
"10","183","100"
"10","172","41"
"10","172","41"
"10","172","41"
"10","172","41"
"10","173","117"
"10","173","120"
"10","170","69"
"10","170","70"
"10","160","23"
"10","154","152"
"10","155","64"
"10","154","142"
"10","154","143"
"10","211","172"
"10","211","162"
"10","211","181"
"10","212","53"
"10","201","19"
"10","200","160"
"10","198","133"
"10","198","55"
"10","198","54"
"10","153","71"
"11","201","19"
"12","203","21"
"13","203","21"
"14","182","25"
"14","172","41"
"14","172","41"
"14","172","41"
"14","172","41"
"14","162","161"
"14","160","23"
"14","155","64"
"14","154","143"
"14","154","142"
"14","203","21"
"14","153","74"
"14","153","71"
"14","153","73"
"14","153","65"
"14","150","116"
"15","204","188"
"15","204","26"
"15","204","190"
"16","184","163"
"16","204","188"
"16","204","26"
"17","180","28"
"17","184","171"
"17","184","173"
"17","184","182"
"17","184","184"
"17","174","86"
"17","174","89"
"17","174","90"
"17","174","109"
"17","170","118"
"17","172","41"
"17","172","41"
"17","172","41"
"17","172","41"
"17","173","117"
"17","173","120"
"17","174","85"
"17","164","59"
"17","156","35"
"17","161","121"
"17","154","155"
"17","154","186"
"17","154","152"
"17","155","64"
"17","154","142"
"17","154","137"
"17","154","146"
"17","154","143"
"17","211","172"
"17","212","53"
"17","198","55"
"17","198","54"
"17","198","38"
"17","153","65"
"17","153","74"
"17","153","71"
"17","153","73"
"17","152","156"
"18","156","31"
"19","156","33"
"19","197","34"
"20","184","163"
"20","184","173"
"20","174","86"
"20","174","89"
"20","174","90"
"20","174","101"
"20","174","109"
"20","170","118"
"20","174","85"
"20","169","168"
"20","164","57"
"20","164","59"
"20","154","186"
"20","155","64"
"20","154","142"
"20","154","137"
"20","154","146"
"20","215","37"
"20","211","131"
"20","210","124"
"20","210","124"
"20","210","124"
"20","210","124"
"20","200","149"
"20","198","55"
"20","198","54"
"20","190","36"
"20","189","123"
"20","189","123"
"20","189","123"
"20","189","123"
"20","188","81"
"20","153","71"
"20","153","65"
"20","153","74"
"20","153","77"
"20","153","73"
"20","151","72"
"21","190","36"
"21","215","37"
"22","184","163"
"22","184","169"
"22","164","57"
"22","215","37"
"22","211","131"
"22","190","36"
"22","189","123"
"22","189","123"
"22","189","123"
"22","189","123"
"23","198","38"
"24","167","93"
"25","212","53"
"26","184","184"
"26","186","56"
"26","174","101"
"26","170","104"
"26","164","57"
"26","166","88"
"26","164","59"
"26","154","186"
"26","155","68"
"26","155","64"
"26","154","142"
"26","211","128"
"26","153","74"
"26","153","71"
"26","151","72"
"29","192","97"
"29","192","97"
"29","192","97"
"29","192","97"
"31","150","116"
"32","161","121"
"33","154","142"
"34","154","142"
"35","169","166"
"36","204","188"
"37","204","188"
"38","204","188"
"39","204","188"
