"SCENE ID","START TIME","END TIME"
"1","0:00:28","0:01:12"
"3","0:02:01","0:02:06"
"4","0:02:10","0:02:54"
"5","0:02:57","0:07:50"
"6","0:08:06","0:08:21"
"7","0:08:34","0:08:37"
"10","0:09:13","0:09:16"
"12","0:09:32","0:09:34"
"16","0:11:09","0:11:14"
"17","0:11:15","0:11:19"
"18","0:11:19","0:11:35"
"19","0:12:12","0:15:14"
"21","0:15:38","0:16:33"
"23","0:16:33","0:19:16"
"25","0:19:18","0:19:19"
"26","0:19:21","0:20:32"
"28","0:20:52","0:20:56"
"31","0:21:01","0:21:02"
"33","0:21:03","0:21:04"
"34","0:21:05","0:21:06"
"35","0:21:31","0:23:03"
"36","0:23:36","0:24:35"
"37","0:24:40","0:27:45"
"38","0:27:46","0:29:19"
"40","0:29:51","0:31:30"
"41","0:31:59","0:32:56"
"43","0:32:57","0:32:58"
"41","0:33:06","0:34:23"
"42","0:34:34","0:34:38"
"44","0:34:58","0:35:59"
"45","0:36:00","0:36:41"
"46","0:36:48","0:37:18"
"47","0:40:25","0:41:35"
"51","0:41:39","0:41:41"
"53","0:42:02","0:44:20"
"54","0:44:56","0:45:29"
"55","0:45:51","0:46:10"
"56","0:46:14","0:49:47"
"57","0:51:40","0:52:31"
"59","0:53:01","0:53:53"
"63","0:53:58","0:54:17"
"64","0:54:28","0:55:53"
"65","0:56:09","1:00:32"
"68","1:01:31","1:03:24"
"69","1:03:37","1:06:21"
"70","1:06:22","1:07:09"
"71","1:07:16","1:09:24"
"72","1:09:34","1:09:44"
"73","1:09:52","1:10:52"
"74","1:11:17","1:12:51"
"75","1:13:01","1:13:02"
"76","1:13:02","1:13:17"
"77","1:13:18","1:13:24"
"79","1:13:29","1:13:34"
"80","1:13:47","1:13:48"
"81","1:13:56","1:13:58"
"82","1:14:07","1:14:48"
"84","1:15:25","1:15:41"
"85","1:15:48","1:15:59"
"86","1:15:59","1:16:32"
"88","1:17:36","1:17:40"
"89","1:17:50","1:17:58"
"90","1:17:58","1:18:13"
"92","1:19:06","1:19:12"
"93","1:19:27","1:19:33"
"97","1:19:40","1:19:42"
"95","1:19:42","1:19:55"
"97","1:20:07","1:20:27"
"99","1:21:36","1:22:18"
"100","1:22:19","1:22:23"
"101","1:22:28","1:22:30"
"102","1:23:08","1:23:11"
"104","1:23:54","1:24:22"
"105","1:25:31","1:25:33"
"107","1:26:04","1:26:36"
"109","1:27:09","1:27:14"
"110","1:28:06","1:28:07"
"111","1:28:08","1:28:25"
"112","1:28:54","1:29:01"
"113","1:29:04","1:29:06"
"114","1:29:22","1:31:06"
"116","1:31:26","1:32:28"
"117","1:32:39","1:35:10"
"118","1:35:26","1:36:46"
"120","1:37:01","1:37:15"
"121","1:37:43","1:37:47"
"122","1:37:49","1:38:20"
"123","1:38:34","1:39:06"
"124","1:39:06","1:39:07"
"123","1:39:11","1:39:15"
"124","1:39:35","1:42:13"
"126","1:42:37","1:42:40"
"128","1:43:52","1:44:03"
"130","1:44:25","1:44:31"
"131","1:44:49","1:44:52"
"133","1:44:59","1:45:01"
"137","1:46:39","1:46:51"
"138","1:46:53","1:47:50"
"139","1:48:02","1:48:50"
"140","1:49:08","1:50:00"
"142","1:50:32","1:51:15"
"143","1:51:21","1:51:42"
"144","1:52:25","1:52:27"
"146","1:52:33","1:53:10"
"148","1:54:04","1:54:07"
"149","1:54:12","1:55:04"
"152","1:55:43","1:56:05"
"155","1:57:59","1:58:05"
"156","1:58:26","1:58:27"
"158","1:58:57","1:59:31"
"160","1:59:33","1:59:45"
"161","2:00:12","2:00:32"
"162","2:00:40","2:01:13"
"163","2:01:25","2:01:41"
"166","2:02:53","2:02:55"
"167","2:02:58","2:03:07"
"168","2:03:37","2:03:48"
"169","2:03:48","2:03:51"
"170","2:04:06","2:04:09"
"171","2:04:35","2:04:36"
"172","2:04:49","2:04:54"
"173","2:04:54","2:05:13"
"174","2:05:20","2:05:50"
"181","2:07:03","2:07:05"
"182","2:07:12","2:07:13"
"184","2:07:33","2:07:34"
"185","2:07:38","2:07:40"
"186","2:08:27","2:09:07"
"187","2:09:29","2:09:51"
"188","2:10:12","2:10:23"
"190","2:10:23","2:10:58"
"191","2:11:05","2:15:45"
