"SOURCE NODE ID","TARGET NODE ID","SCENE ID","DIALOGUE ID"
"1","130","41","249"
"1","130","64","386"
"1","125","86","554"
"1","119","56","320"
"1","145","86","554"
"1","145","1","3"
"1","139","68","448"
"1","134","36","168"
"1","134","36","173"
"1","133","64","386"
"1","133","41","249"
"1","132","41","249"
"1","131","122","632"
"1","131","1","1"
"1","163","64","386"
"1","154","1","1"
"1","153","36","164"
"1","164","41","247"
"1","168","36","164"
"1","168","122","632"
"1","168","122","632"
"1","169","36","161"
"1","173","1","3"
"1","176","64","386"
"1","183","64","387"
"1","68","36","171"
"1","72","68","447"
"1","72","68","452"
"1","72","56","326"
"1","72","64","384"
"1","90","1","2"
"1","86","44","259"
"1","74","36","164"
"2","105","84","548"
"2","104","19","69"
"2","109","109","580"
"2","106","84","546"
"2","97","56","323"
"2","99","44","266"
"2","99","55","306"
"2","93","45","275"
"2","97","19","79"
"2","126","59","355"
"2","127","45","275"
"2","124","19","71"
"2","124","19","83"
"2","126","19","77"
"2","126","56","330"
"2","120","55","306"
"2","145","86","555"
"2","139","124","653"
"2","134","45","269"
"2","136","95","564"
"2","134","36","167"
"2","130","117","607"
"2","159","41","248"
"2","158","56","330"
"2","157","36","165"
"2","152","59","353"
"2","151","19","83"
"2","151","38","229"
"2","151","41","248"
"2","163","95","564"
"2","169","19","69"
"2","169","19","73"
"2","171","41","246"
"2","171","109","580"
"2","174","56","321"
"2","176","36","163"
"2","176","56","330"
"2","178","19","69"
"2","178","41","239"
"2","178","45","277"
"2","180","117","609"
"2","179","56","321"
"2","184","65","441"
"2","184","38","227"
"2","68","45","273"
"2","68","55","306"
"2","68","56","323"
"2","80","33","141"
"2","74","36","163"
"2","74","36","172"
"2","74","36","167"
"2","79","124","659"
"2","78","19","71"
"4","107","191","876"
"4","99","191","974"
"4","127","191","806"
"4","123","191","964"
"4","123","191","970"
"4","131","191","876"
"4","152","191","863"
"4","163","191","894"
"4","163","191","964"
"4","86","191","937"
"4","73","191","894"
"6","117","55","311"
"6","117","55","313"
"6","127","55","308"
"6","139","64","385"
"6","139","55","319"
"6","155","64","385"
"6","92","55","315"
"6","92","55","308"
"12","114","19","84"
"12","101","19","78"
"12","97","19","80"
"12","130","19","80"
"12","127","19","80"
"12","130","19","72"
"12","130","19","68"
"12","150","19","82"
"12","132","19","78"
"12","155","19","80"
"12","155","19","68"
"12","152","19","74"
"12","151","19","84"
"12","168","19","74"
"12","177","19","72"
"12","178","19","84"
"12","93","19","80"
"12","74","19","72"
"12","79","19","84"
"14","115","188","784"
"14","115","45","271"
"14","93","45","271"
"14","147","188","784"
"14","162","188","784"
"14","153","117","606"
"14","152","45","271"
"14","168","45","271"
"14","180","45","271"
"14","73","45","271"
"14","72","188","782"
"14","76","188","784"
"21","130","36","169"
"22","117","55","312"
"22","118","59","351"
"22","118","54","299"
"22","101","45","268"
"22","99","44","267"
"22","99","45","272"
"22","99","56","322"
"22","93","55","305"
"22","93","44","265"
"22","97","55","307"
"22","97","56","322"
"22","130","45","274"
"22","130","55","305"
"22","130","54","302"
"22","127","65","418"
"22","120","44","262"
"22","120","44","263"
"22","120","44","265"
"22","120","44","267"
"22","121","44","262"
"22","121","44","263"
"22","144","44","267"
"22","142","56","324"
"22","139","55","318"
"22","132","65","418"
"22","158","65","418"
"22","158","59","363"
"22","155","44","265"
"22","155","54","297"
"22","152","56","341"
"22","152","57","344"
"22","151","54","297"
"22","151","54","299"
"22","165","54","299"
"22","164","56","324"
"22","169","45","276"
"22","173","44","263"
"22","173","44","263"
"22","173","44","263"
"22","178","44","258"
"22","178","45","276"
"22","183","56","324"
"22","68","45","272"
"22","68","59","356"
"22","89","44","265"
"22","92","55","305"
"22","84","56","341"
"22","92","57","349"
"22","93","44","263"
"22","92","55","314"
"22","79","54","299"
"25","137","191","918"
"26","79","56","340"
"26","79","56","340"
"26","92","56","329"
"29","118","68","444"
"29","105","117","603"
"29","130","117","605"
"29","122","117","603"
"29","146","73","500"
"29","145","86","556"
"29","144","73","508"
"29","144","73","504"
"29","136","117","603"
"29","162","73","502"
"29","154","73","508"
"29","152","59","362"
"29","152","148","715"
"29","152","59","358"
"29","68","68","446"
"29","71","68","451"
"29","84","73","504"
"29","92","68","451"
"29","74","59","362"
