"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"1","183","86"
"1","185","7"
"1","190","10"
"1","223","57"
"1","223","28"
"1","223","30"
"1","223","34"
"1","223","29"
"1","219","189"
"1","214","19"
"1","213","18"
"1","213","12"
"1","213","1"
"1","211","113"
"1","207","189"
"1","206","68"
"1","205","466"
"2","183","86"
"2","192","214"
"2","229","204"
"2","223","57"
"2","223","34"
"2","228","180"
"2","222","214"
"2","223","30"
"2","223","29"
"2","219","148"
"2","219","87"
"2","216","108"
"2","214","19"
"2","213","12"
"2","213","1"
"2","212","106"
"2","208","87"
"2","208","148"
"2","207","188"
"2","206","68"
"2","205","84"
"2","205","466"
"2","204","91"
"2","205","280"
"2","204","77"
"2","203","114"
"3","191","8"
"3","227","8"
"3","211","100"
"3","207","98"
"4","191","8"
"4","227","8"
"4","220","191"
"4","219","87"
"4","213","47"
"4","208","87"
"4","207","191"
"4","205","309"
"4","205","466"
"4","205","47"
"4","205","84"
"4","205","52"
"4","205","293"
"5","191","8"
"5","227","8"
"6","191","8"
"6","227","8"
"6","228","71"
"6","219","104"
"6","211","104"
"7","190","11"
"8","190","11"
"9","213","12"
"10","213","12"
"11","213","12"
"12","192","212"
"12","214","19"
"12","213","12"
"12","205","466"
"12","205","239"
"13","213","12"
"14","192","157"
"14","223","30"
"14","219","476"
"14","219","148"
"14","219","170"
"14","219","157"
"14","218","170"
"14","208","148"
"14","207","170"
"14","207","188"
"14","207","157"
"14","207","476"
"14","205","84"
"17","223","26"
"17","211","131"
"18","223","26"
"18","211","131"
"19","223","29"
"20","223","34"
"20","223","29"
"21","223","30"
"22","183","86"
"22","223","57"
"22","223","54"
"22","219","87"
"22","208","87"
"22","204","91"
"23","213","47"
"23","205","47"
"24","213","47"
"24","205","47"
"25","183","86"
"25","220","191"
"25","219","87"
"25","219","189"
"25","213","47"
"25","211","100"
"25","208","87"
"25","207","191"
"25","207","189"
"25","205","466"
"25","205","47"
"25","205","84"
"26","223","57"
"27","223","57"
"28","223","57"
"29","183","86"
"29","229","204"
"29","228","180"
"29","219","153"
"29","219","148"
"29","219","170"
"29","219","87"
"29","216","108"
"29","218","170"
"29","211","131"
"29","208","87"
"29","208","148"
"29","207","153"
"29","207","170"
"29","205","475"
"29","206","68"
"29","205","466"
"29","204","77"
"29","204","91"
"32","183","86"
"34","219","104"
"34","211","104"
"37","211","113"
"39","219","476"
"39","207","476"
"39","205","466"
"42","201","225"
"42","192","307"
"42","205","227"
"42","205","293"
"43","192","214"
"43","222","214"
"43","205","466"
"43","205","280"
"43","202","224"
"44","229","204"
"45","192","360"
"45","192","361"
"45","205","466"
"45","205","222"
"45","201","225"
"45","202","224"
"46","233","302"
"46","205","466"
"47","192","361"
"49","192","213"
"50","192","213"
"51","192","214"
"51","222","214"
"56","233","302"
"57","233","305"
"58","205","309"
"58","205","466"
"61","205","466"
"62","205","466"
"63","205","466"
"64","228","71"
"64","223","57"
"64","203","114"
"65","223","54"
"65","220","191"
"65","207","188"
"65","207","191"
"65","206","68"
"65","203","114"
