"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"92","185","36"
"92","185","57"
"92","185","55"
"92","185","59"
"86","185","45"
"89","185","45"
"79","185","57"
"84","185","57"
"84","185","59"
"82","185","59"
"73","185","45"
"74","185","59"
"67","185","191"
"67","185","68"
"169","185","59"
"173","185","45"
"168","185","45"
"168","185","57"
"164","185","56"
"169","185","45"
"168","185","59"
"180","185","45"
"180","185","36"
"179","185","56"
"179","185","45"
"183","185","64"
"183","185","56"
"183","185","57"
"181","185","191"
"174","185","56"
"178","185","45"
"178","185","36"
"176","185","59"
"176","185","57"
"176","185","64"
"133","185","64"
"134","185","45"
"138","185","36"
"139","185","64"
"139","185","55"
"141","185","36"
"142","185","56"
"127","185","55"
"127","185","45"
"130","185","36"
"130","185","64"
"130","185","45"
"132","185","68"
"155","185","64"
"155","185","45"
"158","185","68"
"158","185","57"
"158","185","59"
"163","185","64"
"144","185","45"
"109","185","36"
"113","185","59"
"114","185","45"
"99","185","45"
"99","185","56"
"101","185","45"
"120","185","45"
"119","185","56"
"121","185","45"
"124","185","36"
"126","185","59"
"126","185","57"
"116","185","68"
"115","185","45"
"117","185","55"
"118","185","59"
"68","185","59"
"72","185","56"
"72","185","64"
"93","185","45"
"97","185","56"
"95","185","59"
"68","185","45"
"68","185","56"
"152","185","59"
"152","185","57"
"152","185","65"
"152","185","45"
"152","185","191"
"146","185","36"
"159","186","212"
"172","187","220"
"159","187","213"
"114","187","220"
"74","191","204"
"75","191","84"
"68","191","84"
"76","191","204"
"184","191","84"
"168","191","84"
"181","191","84"
"175","191","204"
"174","191","204"
"173","191","84"
"132","191","84"
"143","191","84"
"130","191","204"
"162","191","84"
"162","191","204"
"148","191","84"
"99","191","204"
"92","192","86"
"79","192","86"
"81","192","86"
"75","192","86"
"173","192","86"
"166","192","86"
"164","192","86"
"168","192","86"
"177","192","86"
"132","192","86"
"139","192","86"
"130","192","86"
"152","192","86"
"155","192","86"
"148","192","86"
"71","192","86"
"72","192","86"
"94","192","86"
"68","192","86"
"118","192","86"
"120","192","86"
"106","192","86"
"99","192","86"
"84","193","111"
"170","193","111"
"173","193","111"
"133","193","111"
"145","193","111"
"144","193","111"
"124","193","111"
"120","193","111"
"101","193","111"
"99","193","111"
"92","195","102"
"79","195","48"
"74","195","112"
"171","195","48"
"165","195","48"
"175","195","48"
"130","195","48"
"155","195","48"
"152","195","102"
"151","195","48"
"149","195","48"
"97","195","102"
"72","195","48"
"118","195","48"
"119","195","48"
"113","195","48"
"81","196","192"
"76","196","192"
"72","196","192"
"183","196","64"
"176","196","64"
"133","196","64"
"139","196","64"
"130","196","64"
"155","196","64"
"163","196","64"
"162","196","192"
"145","196","192"
"147","196","192"
"152","196","192"
"72","196","64"
"115","196","192"
"101","196","192"
"85","197","140"
"89","197","140"
"133","197","140"
"124","197","140"
"168","199","113"
"131","199","113"
"92","200","53"
"88","200","115"
"79","200","115"
"171","200","115"
"139","200","115"
"127","200","115"
"130","200","53"
"130","200","115"
"159","200","115"
"68","200","53"
"93","200","53"
"120","200","53"
"99","200","53"
"114","200","115"
"171","203","122"
"171","203","116"
"175","203","116"
"140","203","116"
"154","203","124"
"159","203","116"
"116","203","116"
"116","203","118"
"126","203","124"
"108","203","116"
"86","205","100"
"79","205","143"
"72","205","143"
"130","205","143"
"152","205","141"
"152","205","141"
"152","205","141"
"152","205","141"
"153","205","143"
"115","205","143"
"115","205","141"
"115","205","141"
"115","205","141"
"115","205","141"
"168","206","101"
"145","206","101"
"152","206","101"
"68","206","101"
"140","207","98"
"88","208","109"
"136","208","109"
"128","208","109"
"130","208","109"
"145","208","109"
"97","208","109"
"122","208","109"
"105","208","109"
"114","208","109"
"86","210","139"
"92","210","105"
"87","210","105"
"79","210","105"
"84","210","105"
"80","210","105"
"74","210","105"
"79","210","139"
"72","210","105"
"183","210","105"
"171","210","105"
"169","210","105"
"168","210","105"
"176","210","105"
"133","210","105"
"134","210","105"
"136","210","105"
"126","210","105"
"130","210","105"
"131","210","105"
"132","210","105"
"160","210","105"
"163","210","105"
"162","210","105"
"144","210","105"
"145","210","105"
"152","210","105"
"97","210","105"
"99","210","105"
"70","210","105"
"68","210","105"
"118","210","105"
"115","210","105"
"125","210","105"
"106","210","105"
"105","210","105"
"109","210","105"
"72","211","125"
"171","211","125"
"180","211","127"
"133","211","125"
"135","211","125"
"126","211","125"
"154","211","125"
"116","211","125"
"106","211","127"
"111","211","127"
"171","212","117"
"79","215","132"
"74","215","132"
"184","215","132"
"182","215","132"
"137","215","132"
"131","215","132"
"159","215","132"
"152","215","132"
"114","215","132"
"110","215","132"
"88","216","136"
"97","216","136"
"114","216","136"
"84","218","130"
"126","218","130"
"70","218","130"
"163","219","316"
"152","220","131"
"105","220","131"
"180","221","110"
"130","221","110"
"153","221","110"
"67","223","68"
"132","223","68"
"158","223","68"
"116","223","68"
"86","225","320"
"86","225","318"
"73","225","320"
"75","225","320"
"136","225","320"
"137","225","320"
"129","225","320"
"130","225","320"
"159","225","320"
"161","225","320"
"163","225","318"
"144","225","298"
"146","225","320"
"152","225","320"
"148","225","320"
"94","225","320"
"114","225","320"
"123","225","320"
"102","225","298"
"107","225","320"
"167","227","302"
"136","227","302"
"160","227","302"
"146","227","302"
"183","228","306"
"93","230","12"
"79","230","12"
"74","230","12"
"76","230","12"
"67","230","12"
"78","230","12"
"168","230","12"
"143","230","12"
"127","230","12"
"130","230","12"
"98","230","12"
"92","233","31"
"79","233","34"
"169","233","31"
"173","233","31"
"173","233","34"
"180","233","34"
"180","233","31"
"179","233","34"
"176","233","34"
"136","233","34"
"138","233","31"
"138","233","34"
"130","233","34"
"132","233","31"
"144","233","34"
"151","233","34"
"112","233","31"
"109","233","34"
