"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"100","forward","[61]","[375]"
"101","friend","[45,45,192,111,19,19,43,30]","[268,257,787,617,93,78,231,147]"
"102","front","[222,298]","[848,897]"
"103","garage","[29]","[112]"
"104","giant","[19]","[69]"
"105","give","[131,61,104,105,109]","[710,369,529,548,603]"
"106","great","[127,180,205,475,86,105,105]","[696,769,823,991,442,546,547]"
"107","group","[320,320,278,247]","[924,920,876,868]"
"108","guard","[116]","[673]"
"109","hand","[105,104,36,34]","[580,529,220,202]"
"110","hangar","[132]","[717]"
"111","hatch","[127]","[697]"
"112","head","[66,61,31]","[401,367,180]"
"113","heard","[48,43,59,197]","[296,238,345,795]"
"114","hold","[220,280,170,170,136,148,115,132,109,115,45,77,11,19,320,320,466,361]","[846,887,766,767,732,757,658,728,598,636,253,413,24,84,936,925,965,939]"
"115","hope","[141,105,192,143,197,30,30,45,41]","[747,586,784,756,796,151,148,271,224]"
"116","hurry","[1,87,68,116,118,125,466,466]","[6,492,405,672,682,693,965,967]"
"117","identification","[55,55,55]","[311,312,313]"
"118","imperial","[77,66,61,59,105,87,86,16,16,19,47,47,48,48,59]","[413,399,371,351,535,488,444,43,45,93,283,284,299,300,348]"
"119","jawas","[56,48,48]","[320,300,298]"
"120","jedi","[45,45,53,45,45,45,86,111]","[262,255,306,267,265,263,453,617]"
"121","knight","[45,45,45]","[255,262,263]"
"122","large","[201,66,109,61]","[798,401,603,367]"
"123","leader","[225,288,225,320,320,288,288,320,466,466,466]","[853,891,852,913,920,892,893,924,944,964,970]"
"124","left","[19,19,33,36,111,140]","[71,83,192,212,617,739]"
"125","leia","[201,81,105]","[800,428,554]"
"126","listen","[19,57,59,205,205,124,105,130,125]","[77,330,355,825,820,690,570,705,694]"
"127","long","[203,91,115,81,91,19,12,47,45,61,55,19,19,43,19]","[806,498,648,418,495,80,42,283,275,375,308,89,86,238,94]"
"128","loose","[466,109]","[959,595]"
"129","lost","[91,466,320,466,170,197]","[497,978,914,947,765,795]"
