"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"12","1","38"
"14","1","38"
"13","1","38"
"16","1","38"
"15","1","38"
"3","1","3"
"2","1","3"
"15","1","52"
"2","1","52"
"19","1","52"
"16","1","52"
"21","1","52"
"20","1","52"
"23","1","52"
"22","1","52"
"25","1","52"
"24","1","52"
"26","1","52"
"27","1","52"
"2","1","38"
"5","1","38"
"9","1","38"
"10","1","38"
"48","2","146"
"16","2","145"
"46","2","146"
"47","2","146"
"8","2","141"
"14","2","141"
"4","2","141"
"5","2","141"
"10","2","149"
"45","2","149"
"51","2","152"
"9","2","149"
"40","2","146"
"45","2","146"
"15","2","146"
"16","2","146"
"10","2","152"
"9","2","152"
"5","2","152"
"18","2","39"
"50","2","152"
"45","2","152"
"16","2","152"
"15","2","152"
"27","2","52"
"26","2","52"
"25","2","52"
"24","2","52"
"17","2","39"
"16","2","39"
"15","2","39"
"14","2","39"
"1","2","52"
"15","2","52"
"16","2","52"
"19","2","52"
"20","2","52"
"21","2","52"
"22","2","52"
"23","2","52"
"5","2","38"
"9","2","38"
"10","2","38"
"12","2","38"
"13","2","38"
"14","2","38"
"15","2","38"
"16","2","38"
"1","2","3"
"10","2","5"
"5","2","26"
"3","2","3"
"10","2","26"
"9","2","26"
"1","2","38"
"11","2","26"
"5","2","5"
"4","2","5"
"7","2","5"
"6","2","5"
"9","2","5"
"8","2","5"
"16","2","56"
"29","2","56"
"10","2","56"
"15","2","56"
"32","2","56"
"33","2","56"
"30","2","56"
"31","2","56"
"15","2","58"
"16","2","58"
"34","2","56"
"9","2","58"
"15","2","57"
"16","2","57"
"9","2","57"
"10","2","57"
"30","2","54"
"29","2","54"
"28","2","54"
"16","2","54"
"28","2","53"
"27","2","53"
"16","2","53"
"15","2","53"
"31","2","55"
"30","2","55"
"29","2","55"
"16","2","55"
"43","2","90"
"16","2","104"
"37","2","104"
"38","2","104"
"42","2","88"
"43","2","88"
"16","2","90"
"41","2","90"
"44","2","106"
"16","2","86"
"40","2","86"
"15","2","59"
"40","2","104"
"41","2","104"
"16","2","106"
"40","2","106"
"16","2","77"
"15","2","77"
"36","2","77"
"35","2","77"
"35","2","59"
"16","2","59"
"10","2","77"
"9","2","77"
"16","2","61"
"15","2","61"
"36","2","61"
"35","2","61"
"38","2","77"
"37","2","77"
"16","2","62"
"39","2","77"
"45","2","144"
"46","2","144"
"16","2","144"
"38","2","144"
"40","2","142"
"45","2","142"
"16","2","141"
"16","2","142"
"9","2","135"
"10","2","135"
"5","2","135"
"6","2","135"
"45","2","143"
"4","2","135"
"5","2","137"
"9","2","137"
"10","2","137"
"14","2","137"
"9","2","136"
"16","2","136"
"16","2","88"
"41","2","88"
"13","2","135"
"14","2","135"
"15","2","135"
"16","2","135"
"40","2","135"
"41","2","135"
"42","2","135"
"4","2","137"
"48","2","144"
"47","2","144"
"2","3","3"
"1","3","3"
"2","4","5"
"5","4","5"
"42","4","135"
"40","4","135"
"41","4","135"
"15","4","135"
"16","4","135"
"13","4","135"
"14","4","135"
"9","4","135"
"10","4","135"
"5","4","135"
"6","4","135"
"2","4","135"
"14","4","137"
"10","4","137"
"9","4","137"
"5","4","137"
"2","4","137"
"16","4","141"
"14","4","141"
