SOURCE NODE ID,TARGET NODE ID,SCENE ID
"177","1028","56"
"177","1072","56"
"177","1075","1"
"177","1080","1"
"178","1003","22"
"178","1072","22"
"178","1076","22"
"179","1025","3"
"179","1048","3"
"179","1092","3"
"181","1010","5"
"181","1014","5"
"181","1034","5"
"181","1044","5"
"181","1046","5"
"181","1053","5"
"183","1025","7"
"183","1031","7"
"183","1046","7"
"183","1050","7"
"183","1053","7"
"183","1065","7"
"183","1072","7"
"183","1076","7"
"183","1092","7"
"186","1025","10"
"186","1031","10"
"186","1065","10"
"186","1072","10"
"186","1076","10"
"186","1092","10"
"187","1025","39"
"187","1065","39"
"187","1072","39"
"187","1076","39"
"187","1092","39"
"188","1005","12"
"189","1005","26"
"189","1007","26"
"189","1008","26"
"189","1016","26"
"189","1017","26"
"189","1030","26"
"189","1059","26"
"189","1064","26"
"189","1067","26"
"189","1070","26"
"189","1072","26"
"189","1076","26"
"189","1088","26"
"190","1072","14"
"190","1076","14"
"191","1072","16"
"191","1076","16"
"194","1072","23"
"194","1076","23"
"197","1005","28"
"197","1022","28"
"197","1027","28"
"197","1057","28"
"197","1058","28"
"197","1066","28"
"197","1068","28"
"197","1071","28"
"197","1072","28"
"197","1072","27"
"197","1076","28"
"197","1076","27"
"197","1082","27"
"197","1083","28"
"197","1091","28"
"197","1093","27"
"198","1010","29"
"198","1014","29"
"198","1053","29"
"198","1072","29"
"198","1076","29"
"199","1046","30"
"199","1076","30"
"202","1014","33"
"204","1053","35"
"204","1072","35"
"204","1076","35"
"206","1076","37"
"206","1092","37"
"207","1076","38"
"207","1092","38"
"208","1025","40"
"208","1072","40"
"209","1038","41"
"209","1072","41"
"209","1078","41"
"210","1029","42"
"210","1039","42"
"210","1072","44"
"210","1072","42"
"210","1076","44"
"210","1092","44"
"211","1014","45"
"211","1032","43"
"211","1039","43"
"211","1040","45"
"211","1041","45"
"211","1043","45"
"211","1045","45"
"211","1072","45"
"211","1072","43"
"211","1076","43"
"211","1087","45"
"211","1089","45"
"213","1045","48"
"213","1072","48"
"215","1014","50"
"216","1076","51"
"216","1092","51"
"217","1004","52"
"217","1013","52"
"217","1023","52"
"217","1060","52"
"217","1076","52"
"217","1092","52"
"218","1028","53"
"218","1037","53"
"218","1072","53"
"219","1028","54"
"219","1072","54"
"220","1028","55"
"220","1072","55"
"221","1076","57"
"221","1092","57"
"222","1028","58"
"222","1072","58"
"222","1072","81"
"222","1076","81"
"222","1076","58"
"222","1092","81"
"222","1092","58"
"223","1035","59"
"223","1036","59"
"223","1051","59"
"223","1055","59"
"223","1072","59"
"223","1074","59"
"223","1079","59"
"223","1081","59"
"224","1076","60"
"224","1092","60"
"225","1076","61"
"225","1092","61"
"226","1015","62"
"226","1037","62"
"226","1072","62"
"226","1076","62"
"226","1077","62"
"226","1092","62"
"227","1015","63"
"227","1072","63"
"227","1077","63"
"229","1015","65"
"229","1072","65"
"230","1015","66"
"230","1072","66"
"230","1077","66"
"232","1076","70"
"232","1092","70"
"234","1076","73"
"234","1092","73"
"237","1076","77"
"237","1092","77"
"238","1092","79"
"241","1053","88"
"243","1014","90"
"243","1053","90"
"243","1076","90"
"244","1076","91"
"244","1092","91"
"246","1000","93"
"246","1015","93"
"246","1069","93"
"246","1072","93"
"246","1076","93"
"246","1077","93"
"246","1085","93"
"246","1092","93"
"252","1015","100"
"252","1072","100"
"252","1077","100"
"253","1072","101"
"254","1020","102"
"254","1092","102"
"255","1020","103"
"255","1076","103"
"255","1092","103"
"256","1020","104"
"256","1054","104"
"256","1061","104"
"256","1076","104"
"256","1086","104"
"256","1092","104"
"257","1054","105"
"257","1061","105"
"257","1076","105"
"257","1092","105"
"258","1054","106"
"258","1061","106"
"258","1076","106"
"258","1086","106"
"258","1092","106"
"259","1072","107"
"259","1076","107"
"262","1011","112"
"262","1014","112"
"262","1024","112"
"262","1053","112"
"262","1054","112"
"262","1061","112"
"262","1072","112"
"262","1076","112"
"262","1086","112"
"262","1092","112"
"263","1076","115"
"263","1076","114"
"263","1092","115"
"264","1014","141"
"264","1031","141"
"264","1046","141"
"264","1052","141"
"264","1053","141"
"264","1076","117"
"264","1076","141"
"264","1092","133"
"264","1092","141"
"268","1076","121"
"268","1092","121"
"269","1076","124"
"269","1086","124"
"274","1076","129"
"274","1092","129"
"275","1001","134"
"275","1002","134"
"275","1014","130"
"275","1024","138"
"275","1046","134"
"275","1053","130"
"275","1072","130"
"275","1072","138"
"275","1076","132"
"275","1076","130"
"275","1076","134"
"275","1092","132"
"275","1092","130"
"276","1002","135"
"276","1019","135"
"276","1031","135"
"276","1046","135"
"276","1050","135"
"278","1024","137"
"278","1072","137"
"279","1024","139"
"279","1072","139"
"280","1024","140"
"280","1072","140"
"281","1092","142"
"282","1092","143"
"283","1020","144"
"283","1076","144"
"283","1092","144"
"284","1076","145"
"284","1092","145"
"285","1015","146"
"285","1024","146"
"285","1026","146"
"285","1042","146"
"285","1047","146"
"285","1063","146"
"285","1072","146"
"285","1073","146"
"285","1076","146"
"285","1077","146"
"285","1092","146"
"286","1012","147"
"286","1015","147"
"286","1020","147"
"286","1021","147"
"286","1024","147"
"286","1033","147"
"286","1047","147"
"286","1049","147"
"286","1053","147"
"286","1056","147"
"286","1063","147"
"286","1072","147"
"286","1073","147"
"286","1076","147"
"286","1077","147"
"286","1084","147"
"286","1090","147"
"286","1092","147"
"287","1072","148"
"287","1076","148"
"287","1092","148"
"288","1010","149"
"288","1021","149"
"288","1024","149"
"288","1053","149"
"288","1062","149"
"288","1072","149"
"288","1076","149"
"288","1092","149"
"289","1014","150"
"289","1053","150"
"289","1072","150"
"289","1092","150"
