SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"55","57","105","532"
"55","63","105","636"
"55","68","105","570"
"55","69","7","20"
"55","70","7","20"
"55","78","80","517"
"55","80","105","634"
"55","90","184","1010"
"55","106","80","517"
"55","114","105","585"
"55","115","47","297"
"55","115","47","304"
"55","115","55","434"
"55","115","105","570"
"55","115","105","578"
"55","124","184","1010"
"55","134","184","895"
"55","139","184","912"
"55","140","184","941"
"55","143","105","636"
"55","146","105","578"
"55","152","184","1010"
"55","152","105","634"
"55","152","184","895"
"55","153","47","320"
"55","153","105","532"
"55","153","105","575"
"55","153","105","578"
"55","153","105","585"
"55","153","105","634"
"55","153","105","636"
"55","153","144","750"
"55","153","184","913"
"55","154","144","750"
"56","55","5","1"
"56","63","47","339"
"56","63","80","500"
"56","65","9","92"
"56","69","35","181"
"56","74","47","317"
"56","74","105","591"
"56","78","105","558"
"56","78","184","915"
"56","80","35","132"
"56","80","47","323"
"56","80","47","369"
"56","80","184","826"
"56","88","8","74"
"56","92","47","323"
"56","102","184","812"
"56","105","47","349"
"56","110","144","760"
"56","112","184","812"
"56","115","47","301"
"56","115","47","333"
"56","115","47","339"
"56","115","144","751"
"56","116","184","846"
"56","118","35","181"
"56","123","35","208"
"56","124","184","846"
"56","139","47","282"
"56","143","47","369"
"56","149","49","398"
"56","178","105","591"
"56","180","105","642"
"57","55","5","1"
"57","55","80","499"
"57","56","5","1"
"57","63","47","374"
"57","68","184","966"
"57","74","184","972"
"57","82","184","966"
"57","92","80","499"
"57","92","184","966"
"57","131","184","966"
"57","139","47","374"
"58","55","5","1"
"58","56","5","1"
"58","57","5","1"
"58","59","8","21"
"58","59","8","28"
"58","74","80","503"
"58","107","80","503"
"58","118","184","872"
"58","150","47","313"
"58","192","184","872"
"59","68","47","316"
"60","58","8","28"
"60","59","8","28"
"60","61","8","59"
"60","64","8","47"
"60","112","184","831"
"61","60","5","4"
"61","76","8","46"
"62","80","47","329"
"62","80","105","602"
"62","97","55","436"
"62","99","105","602"
"62","115","47","361"
"62","124","35","222"
"62","126","35","222"
"62","138","105","602"
"62","140","47","329"
"62","143","47","329"
"62","151","55","436"
"62","173","105","602"
"63","55","144","795"
"63","56","35","152"
"63","56","35","181"
"63","56","47","323"
"63","56","47","333"
"63","61","105","538"
"63","62","47","329"
"63","68","35","138"
"63","68","47","321"
"63","68","105","583"
"63","69","35","181"
"63","78","35","152"
"63","78","47","377"
"63","80","47","289"
"63","80","47","323"
"63","80","47","329"
"63","80","47","364"
"63","80","47","377"
"63","80","47","379"
"63","80","55","435"
"63","80","105","594"
"63","80","105","650"
"63","80","105","659"
"63","81","8","77"
"63","81","8","81"
"63","82","105","538"
"63","82","105","612"
"63","89","8","77"
"63","92","47","323"
"63","92","105","598"
"63","92","184","920"
"63","94","80","513"
"63","97","47","325"
"63","106","47","299"
"63","107","184","922"
"63","108","35","130"
"63","108","184","962"
"63","109","35","130"
"63","109","47","345"
"63","112","47","343"
"63","115","47","289"
"63","115","47","299"
"63","115","47","323"
"63","115","47","333"
"63","115","47","364"
"63","118","35","181"
"63","118","47","359"
"63","119","47","377"
"63","125","184","942"
"63","128","80","513"
"63","128","184","843"
"63","131","105","612"
"63","134","105","600"
"63","134","184","862"
"63","139","47","374"
"63","140","47","284"
"63","140","47","329"
"63","140","47","379"
"63","140","105","612"
"63","140","184","843"
"63","142","47","289"
"63","143","47","329"
"63","143","105","636"
"63","152","144","795"
"63","153","105","636"
"63","154","47","323"
"63","154","105","569"
"63","155","47","333"
"63","160","47","379"
"63","164","55","435"
"63","165","55","435"
"63","177","105","538"
"63","179","105","594"
"63","183","144","722"
"63","195","184","994"
"64","69","9","88"
"64","93","9","88"
"65","55","7","20"
"65","55","35","164"
"65","59","9","85"
"65","64","5","8"
"65","69","7","20"
"65","69","35","99"
"65","69","184","820"
"65","70","7","20"
"65","78","35","99"
"65","83","8","56"
"65","85","8","66"
"65","90","8","84"
"66","139","105","623"
"68","61","105","538"
"68","63","105","538"
"68","63","105","598"
"68","71","8","24"
"68","78","35","148"
"68","80","105","598"
"68","82","105","538"
"68","82","105","598"
"68","82","184","966"
"68","92","105","598"
"68","99","35","107"
"68","106","184","1011"
"68","115","80","527"
"68","131","184","966"
"68","134","184","866"
"68","146","144","677"
"68","147","184","1011"
"68","165","184","1011"
"68","177","105","538"
"68","185","184","884"
"69","56","8","74"
"69","63","35","138"
"69","64","8","61"
"69","68","6","19"
"69","68","35","138"
"69","78","35","99"
"69","82","8","55"
"69","88","8","74"
"69","93","9","88"
"69","111","35","138"
"69","118","35","181"
"69","128","184","892"
"70","56","47","317"
"70","56","105","591"
"70","62","80","504"
"70","63","47","359"
"70","69","7","20"
"70","74","47","317"
"70","74","105","591"
"70","74","144","765"
"70","118","43","246"
"70","118","43","246"
"70","118","43","246"
"70","118","43","246"
"70","118","47","307"
"70","118","47","359"
"70","118","80","491"
