"SOURCE NODE ID","TARGET NODE ID","SOURCE SCENE ID","TARGET SCENE ID"
"215","196","27","26"
"214","196","25","26"
"197","196","2","1"
"196","197","1","2"
"200","197","7","6"
"199","197","4","5"
"198","197","3","2"
"216","198","28","29"
"215","198","30","29"
"199","198","4","3"
"197","198","2","3"
"198","199","3","4"
"197","199","5","4"
"201","200","8","7"
"197","200","6","7"
"202","201","9","8"
"200","201","7","8"
"203","202","10","9"
"201","202","8","9"
"208","202","21","22"
"212","202","23","22"
"210","203","19","18"
"209","203","17","18"
"204","203","11","10"
"202","203","9","10"
"207","204","14","15"
"208","204","16","15"
"205","204","12","11"
"203","204","10","11"
"204","205","11","12"
"206","205","13","12"
"207","206","14","13"
"205","206","12","13"
"206","207","13","14"
"204","207","15","14"
"211","208","20","21"
"209","208","17","16"
"204","208","15","16"
"202","208","22","21"
"208","209","16","17"
"203","209","18","17"
"211","210","20","19"
"203","210","18","19"
"210","211","19","20"
"208","211","21","20"
"213","212","24","23"
"202","212","22","23"
"214","213","25","24"
"212","213","23","24"
"213","214","24","25"
"196","214","26","25"
"196","215","26","27"
"198","215","29","30"
"217","215","31","32"
"218","215","33","32"
"216","215","28","27"
"217","215","31","30"
"215","216","27","28"
"198","216","29","28"
"215","217","30","31"
"215","217","32","31"
"219","218","34","33"
"215","218","32","33"
"218","219","33","34"
"220","219","35","34"
"258","219","78","77"
"257","219","76","77"
"274","219","98","99"
"275","219","101","100"
"282","219","113","114"
"283","219","115","114"
"275","219","107","108"
"275","219","105","106"
"275","219","107","106"
"278","219","109","108"
"219","220","34","35"
"221","220","36","35"
"222","221","37","36"
"220","221","35","36"
"261","221","82","83"
"262","221","84","83"
"316","221","165","166"
"317","221","167","166"
"223","222","38","37"
"221","222","36","37"
"222","223","37","38"
"224","223","39","38"
"225","224","40","39"
"223","224","38","39"
"224","225","39","40"
"226","225","41","40"
"225","226","40","41"
"227","226","42","41"
"248","226","67","66"
"247","226","65","66"
"226","227","41","42"
"228","227","43","42"
"229","228","44","43"
"227","228","42","43"
"238","229","55","54"
"237","229","52","53"
"230","229","45","44"
"228","229","43","44"
"231","230","46","45"
"229","230","44","45"
"232","231","47","46"
"230","231","45","46"
"231","232","46","47"
"233","232","48","47"
"234","233","49","48"
"232","233","47","48"
"233","234","48","49"
"235","234","50","49"
"236","235","51","50"
"234","235","49","50"
"237","236","52","51"
"235","236","50","51"
"236","237","51","52"
"229","237","53","52"
"239","238","56","55"
"229","238","54","55"
"240","239","57","56"
"238","239","55","56"
"241","240","58","57"
"239","240","56","57"
"242","241","59","58"
"240","241","57","58"
"241","242","58","59"
"243","242","60","59"
"244","243","61","60"
"242","243","59","60"
"245","244","62","61"
"243","244","60","61"
"246","245","63","62"
"244","245","61","62"
"247","246","65","64"
"245","246","62","63"
"246","247","64","65"
"226","247","66","65"
"249","248","68","67"
"226","248","66","67"
"248","249","67","68"
"250","249","69","68"
"249","250","68","69"
"251","250","70","69"
"250","251","69","70"
"252","251","71","70"
"251","252","70","71"
"253","252","72","71"
"254","253","73","72"
"252","253","71","72"
"284","254","117","116"
"283","254","115","116"
"255","254","74","73"
"253","254","72","73"
"254","255","73","74"
"256","255","75","74"
"255","256","74","75"
"257","256","76","75"
"256","257","75","76"
"219","257","77","76"
"259","258","79","78"
"219","258","77","78"
"258","259","78","79"
"260","259","80","79"
"259","260","79","80"
"261","260","81","80"
"260","261","80","81"
"221","261","83","82"
"263","262","85","84"
"266","262","89","88"
"265","262","87","88"
"221","262","83","84"
"262","263","84","85"
"264","263","86","85"
"263","264","85","86"
"265","264","87","86"
"262","265","88","87"
"264","265","86","87"
"262","266","88","89"
"267","266","90","89"
"268","267","91","90"
"273","267","97","96"
"272","267","95","96"
"266","267","89","90"
"269","268","92","91"
"267","268","90","91"
"268","269","91","92"
"270","269","93","92"
"271","270","94","93"
"269","270","92","93"
"270","271","93","94"
"272","271","95","94"
"271","272","94","95"
"267","272","96","95"
"267","273","96","97"
"274","273","98","97"
"273","274","97","98"
"219","274","99","98"
"219","275","100","101"
"219","275","106","105"
"219","275","108","107"
"219","275","106","107"
"276","275","102","101"
"276","275","104","105"
"277","276","103","104"
"277","276","103","102"
"275","276","105","104"
"275","276","101","102"
"276","277","104","103"
"276","277","102","103"
"279","278","110","109"
"219","278","108","109"
"280","279","111","110"
"278","279","109","110"
"279","280","110","111"
"281","280","112","111"
"326","281","180","181"
"327","281","182","181"
"285","281","119","118"
"284","281","117","118"
"282","281","113","112"
"280","281","111","112"
"281","282","112","113"
"219","282","114","113"
"254","283","116","115"
"219","283","114","115"
"281","284","118","117"
"254","284","116","117"
"286","285","120","119"
"281","285","118","119"
"295","286","132","131"
"295","286","132","133"
"298","286","138","137"
"297","286","136","137"
"306","286","149","148"
"307","286","151","150"
"306","286","149","150"
"304","286","147","148"
"287","286","121","120"
"294","286","134","133"
"294","286","130","131"
"291","286","127","126"
"290","286","125","126"
"285","286","119","120"
"288","287","122","121"
"286","287","120","121"
"287","288","121","122"
"289","288","123","122"
"290","289","124","123"
"288","289","122","123"
"286","290","126","125"
"289","290","123","124"
"303","290","143","144"
"304","290","145","144"
"286","291","126","127"
"292","291","128","127"
"291","292","127","128"
"293","292","129","128"
"294","293","130","129"
"292","293","128","129"
"296","294","135","134"
"286","294","131","130"
"286","294","133","134"
"293","294","129","130"
"286","295","133","132"
"286","295","131","132"
"297","296","136","135"
"294","296","134","135"
"296","297","135","136"
"286","297","137","136"
"299","298","139","138"
"286","298","137","138"
"300","299","140","139"
"298","299","138","139"
"299","300","139","140"
"301","300","141","140"
"302","301","142","141"
"300","301","140","141"
"301","302","141","142"
"303","302","143","142"
"302","303","142","143"
"290","303","144","143"
"305","304","146","147"
"305","304","146","145"
"286","304","148","147"
"290","304","144","145"
"304","305","147","146"
"304","305","145","146"
"312","306","157","156"
"311","306","155","156"
"286","306","148","149"
"286","306","150","149"
"308","307","152","151"
"286","307","150","151"
"309","308","153","152"
"307","308","151","152"
"308","309","152","153"
"310","309","154","153"
"309","310","153","154"
"311","310","155","154"
"310","311","154","155"
"306","311","156","155"
"306","312","156","157"
"315","312","163","162"
"315","312","161","160"
"315","312","161","162"
"314","312","159","160"
"313","312","158","157"
"312","313","157","158"
"314","313","159","158"
"313","314","158","159"
"312","314","160","159"
"312","315","160","161"
"312","315","162","161"
"312","315","162","163"
"316","315","165","164"
"315","316","164","165"
"221","316","166","165"
"318","317","169","168"
"221","317","166","167"
"319","318","170","169"
"317","318","168","169"
"318","319","169","170"
"320","319","171","170"
"321","320","172","171"
"319","320","170","171"
"322","321","175","176"
"322","321","173","172"
"325","321","179","178"
"324","321","177","176"
"324","321","177","178"
"320","321","171","172"
"321","322","172","173"
"321","322","176","175"
"323","322","174","175"
"323","322","174","173"
"322","323","173","174"
"322","323","175","174"
"321","324","176","177"
"321","324","178","177"
"321","325","178","179"
"326","325","180","179"
"325","326","179","180"
"281","326","181","180"
"328","327","183","182"
"281","327","181","182"
"329","328","184","183"
"327","328","182","183"
"328","329","183","184"
"330","329","185","184"
"329","330","184","185"
"331","330","186","185"
"332","331","187","186"
"330","331","185","186"
"333","332","188","187"
"331","332","186","187"
"332","333","187","188"
