"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"34","2","114"
"35","2","114"
"18","2","114"
"30","2","114"
"52","2","114"
"53","2","114"
"44","2","114"
"49","2","114"
"3","2","140"
"3","2","114"
"14","2","114"
"16","2","114"
"11","2","114"
"12","2","114"
"4","2","8"
"3","2","8"
"3","2","9"
"10","2","10"
"9","2","10"
"8","2","10"
"7","2","10"
"6","2","10"
"3","2","10"
"10","2","16"
"9","2","16"
"3","2","16"
"11","2","18"
"9","2","18"
"9","2","19"
"3","2","19"
"4","2","6"
"3","2","5"
"5","2","8"
"3","2","6"
"9","2","40"
"3","2","40"
"13","2","40"
"12","2","40"
"25","2","46"
"13","2","46"
"9","2","44"
"3","2","41"
"3","2","50"
"19","2","59"
"12","2","46"
"3","2","46"
"6","2","59"
"3","2","59"
"14","2","59"
"9","2","59"
"9","2","25"
"3","2","20"
"6","2","20"
"9","2","20"
"14","2","33"
"15","2","33"
"25","2","63"
"30","2","63"
"13","2","63"
"14","2","63"
"6","2","63"
"12","2","63"
"30","2","73"
"3","2","63"
"13","2","73"
"14","2","73"
"9","2","73"
"12","2","73"
"9","2","77"
"3","2","73"
"54","2","114"
"55","2","114"
"3","2","33"
"3","2","38"
"3","2","38"
"3","2","38"
"3","2","38"
"9","2","39"
"9","2","39"
"9","2","39"
"9","2","39"
"25","2","40"
"13","2","33"
"12","2","33"
"9","2","33"
"6","2","33"
"3","2","25"
"16","2","33"
"2","3","5"
"2","3","6"
"4","3","6"
"4","3","8"
"5","3","8"
"25","3","40"
"2","3","38"
"2","3","38"
"2","3","38"
"2","3","38"
"2","3","33"
"6","3","33"
"2","3","40"
"9","3","40"
"12","3","40"
"13","3","40"
"15","3","33"
"16","3","33"
"2","3","20"
"6","3","20"
"9","3","33"
"12","3","33"
"13","3","33"
"14","3","33"
"2","3","16"
"9","3","19"
"10","3","16"
"9","3","16"
"2","3","25"
"9","3","20"
"2","3","19"
"9","3","25"
"10","3","10"
"9","3","10"
"2","3","8"
"2","3","9"
"6","3","10"
"2","3","10"
"8","3","10"
"7","3","10"
"13","3","63"
"12","3","63"
"6","3","63"
"2","3","63"
"2","3","59"
"30","3","63"
"25","3","63"
"14","3","63"
"9","3","73"
"2","3","73"
"9","3","75"
"56","3","115"
"56","3","115"
"56","3","115"
"56","3","115"
"30","3","73"
"14","3","73"
"13","3","73"
"12","3","73"
"12","3","46"
"13","3","46"
"33","3","54"
"2","3","46"
"13","3","42"
"2","3","41"
"25","3","46"
"12","3","42"
"14","3","59"
"19","3","59"
"6","3","59"
"9","3","59"
"31","3","54"
"32","3","54"
"30","3","51"
"2","3","50"
"12","3","118"
"9","3","118"
"14","3","128"
"34","3","118"
"34","3","128"
"18","3","128"
"11","3","114"
"2","3","114"
"2","3","140"
"35","3","136"
"35","3","136"
"35","3","136"
"35","3","136"
"14","3","131"
"12","3","131"
"35","3","131"
"18","3","131"
"61","3","131"
