"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"2","1012","39"
"2","1012","39"
"2","1012","39"
"2","1012","39"
"2","1012","46"
"2","1012","40"
"2","1004","140"
"2","1005","19"
"2","1038","39"
"2","1038","39"
"2","1038","39"
"2","1038","39"
"2","1038","20"
"2","1019","73"
"2","1038","38"
"2","1038","38"
"2","1038","38"
"2","1038","38"
"2","1021","44"
"2","1020","44"
"2","1023","73"
"2","1022","44"
"2","1024","59"
"2","1024","20"
"2","1038","16"
"2","1024","10"
"2","1024","73"
"2","1024","25"
"2","1025","20"
"2","1024","19"
"2","1012","114"
"2","1012","140"
"2","1012","38"
"2","1012","38"
"2","1012","38"
"2","1012","38"
"2","1015","114"
"2","1016","44"
"2","1017","44"
"2","1018","16"
"2","1033","114"
"2","1032","114"
"2","1031","46"
"2","1036","44"
"2","1026","8"
"2","1057","41"
"2","1057","19"
"2","1057","38"
"2","1057","38"
"2","1057","38"
"2","1057","38"
"2","1057","59"
"2","1057","16"
"2","1057","25"
"2","1057","46"
"2","1057","114"
"2","1057","20"
"2","1057","50"
"2","1057","40"
"2","1057","8"
"2","1057","6"
"2","1057","73"
"2","1057","9"
"2","1057","140"
"2","1043","114"
"2","1044","114"
"2","1039","40"
"2","1039","77"
"2","1039","46"
"2","1042","114"
"2","1039","41"
"2","1039","73"
"2","1039","63"
"2","1003","50"
"2","1003","44"
"2","1003","140"
"2","1003","41"
"2","1003","73"
"2","1003","16"
"2","1003","9"
"2","1003","46"
"2","1052","44"
"2","1060","44"
"2","1061","44"
"2","1003","6"
"2","1003","63"
"2","1003","19"
"2","1003","33"
"2","1003","40"
"2","1003","39"
"2","1003","39"
"2","1003","39"
"2","1003","39"
"2","1003","77"
"2","1003","38"
"2","1003","38"
"2","1003","38"
"2","1003","38"
"2","1003","25"
"2","1003","20"
"2","1003","8"
"2","1069","10"
"2","1067","10"
"2","1066","10"
"2","1068","10"
"2","1038","77"
"2","1038","19"
"2","1038","25"
"2","1038","44"
"2","1038","73"
"2","1004","114"
"2","1038","63"
"2","1038","140"
"3","1012","115"
"3","1012","115"
"3","1012","115"
"3","1012","115"
"3","1012","46"
"3","1012","40"
"3","1004","115"
"3","1004","115"
"3","1004","115"
"3","1004","115"
"3","1004","140"
"3","1005","19"
"3","1008","75"
"3","1009","75"
"3","1019","73"
"3","1038","20"
"3","1018","16"
"3","1038","38"
"3","1038","38"
"3","1038","38"
"3","1038","38"
"3","1019","75"
"3","1023","73"
"3","1023","75"
"3","1024","20"
"3","1038","16"
"3","1024","10"
"3","1024","59"
"3","1024","73"
"3","1024","25"
"3","1025","20"
"3","1024","19"
"3","1012","114"
"3","1012","42"
"3","1012","140"
"3","1012","131"
"3","1012","38"
"3","1012","38"
"3","1012","38"
"3","1012","38"
"3","1015","114"
"3","1033","114"
"3","1032","114"
"3","1031","46"
"3","1037","118"
"3","1037","128"
"3","1034","51"
"3","1029","54"
"3","1026","8"
"3","1026","51"
"3","1057","38"
"3","1057","38"
"3","1057","38"
"3","1057","38"
"3","1057","41"
"3","1057","115"
"3","1057","115"
"3","1057","115"
"3","1057","115"
"3","1057","19"
"3","1057","59"
"3","1057","16"
"3","1057","25"
"3","1057","46"
"3","1057","114"
"3","1057","20"
"3","1057","131"
"3","1057","50"
"3","1057","40"
"3","1057","8"
"3","1057","54"
"3","1057","136"
"3","1057","136"
"3","1057","136"
"3","1057","136"
"3","1057","6"
"3","1057","73"
"3","1057","42"
"3","1057","9"
"3","1057","143"
"3","1057","140"
"3","1045","118"
"3","1043","114"
"3","1044","114"
"3","1039","40"
"3","1039","75"
"3","1039","46"
"3","1042","114"
"3","1041","54"
"3","1039","41"
"3","1040","54"
"3","1039","73"
"3","1039","63"
"3","1039","42"
"3","1057","51"
"3","1003","50"
"3","1003","140"
"3","1003","41"
"3","1003","75"
"3","1003","73"
"3","1003","51"
"3","1003","16"
"3","1003","9"
"3","1003","46"
"3","1003","143"
"3","1064","54"
"3","1003","63"
"3","1003","6"
"3","1003","19"
"3","1003","136"
"3","1003","136"
"3","1003","136"
"3","1003","136"
"3","1003","33"
"3","1003","40"
"3","1003","38"
"3","1003","38"
"3","1003","38"
"3","1003","38"
"3","1003","20"
"3","1003","25"
"3","1003","8"
"3","1072","54"
"3","1071","54"
"3","1069","10"
"3","1070","54"
"3","1066","10"
"3","1068","10"
"3","1067","10"
"3","1038","19"
"3","1038","63"
"3","1038","25"
"3","1038","75"
"3","1038","73"
"3","1004","114"
"3","1038","140"
"4","1035","7"
"4","1034","7"
"4","1026","8"
"4","1026","7"
"4","1057","7"
"4","1057","8"
"4","1057","6"
"4","1003","6"
"4","1003","8"
"5","1012","81"
"5","1006","81"
"5","1007","81"
"5","1010","81"
"5","1030","81"
"5","1026","8"
"5","1026","81"
"5","1031","81"
"5","1057","81"
"5","1057","8"
"5","1047","81"
"5","1046","81"
"5","1055","81"
"5","1053","81"
"5","1054","81"
"5","1049","81"
"5","1063","81"
"5","1003","81"
"5","1003","8"
"5","1038","81"
"5","1000","81"
"5","1002","81"
"5","1001","81"
"5","1073","81"
"6","1038","20"
"6","1024","20"
"6","1024","10"
"6","1024","59"
"6","1024","58"
"6","1025","20"
"6","1024","35"
"6","1018","58"
"6","1037","58"
"6","1028","58"
"6","1057","58"
"6","1057","59"
"6","1057","20"
"6","1039","63"
"6","1059","58"
"6","1003","63"
"6","1003","33"
"6","1003","20"
"6","1069","10"
"6","1068","10"
"6","1066","10"
"6","1067","10"
"6","1038","63"
"7","1024","10"
"7","1068","10"
"7","1069","10"
"7","1066","10"
"7","1067","10"
"8","1024","10"
"8","1068","10"
"8","1069","10"
"8","1066","10"
"8","1067","10"
"9","1012","39"
"9","1012","39"
"9","1012","39"
"9","1012","39"
"9","1012","40"
"9","1004","126"
"9","1005","19"
"9","1008","75"
"9","1009","75"
"9","1038","39"
"9","1038","39"
"9","1038","39"
"9","1038","39"
"9","1038","20"
"9","1019","73"
"9","1018","16"
"9","1021","44"
"9","1020","44"
"9","1019","75"
"9","1023","73"
"9","1023","75"
"9","1022","44"
"9","1024","20"
"9","1038","45"
"9","1038","16"
"9","1024","59"
"9","1024","10"
"9","1024","25"
"9","1024","73"
"9","1024","19"
"9","1015","126"
"9","1015","124"
"9","1016","44"
"9","1017","44"
"9","1037","118"
"9","1036","124"
"9","1036","44"
"9","1036","126"
"9","1033","126"
"9","1025","20"
"9","1057","59"
"9","1057","19"
"9","1057","16"
"9","1057","25"
"9","1057","20"
"9","1057","40"
"9","1057","73"
"9","1045","118"
"9","1039","77"
"9","1039","40"
"9","1039","75"
"9","1039","73"
"9","1003","44"
"9","1003","75"
"9","1003","73"
"9","1003","16"
"9","1052","44"
"9","1060","44"
"9","1061","44"
"9","1003","122"
"9","1003","126"
"9","1003","19"
"9","1003","33"
"9","1003","40"
"9","1003","39"
"9","1003","39"
"9","1003","39"
"9","1003","39"
"9","1003","77"
"9","1003","20"
"9","1003","25"
"9","1068","10"
"9","1069","10"
"9","1066","10"
"9","1067","10"
"9","1038","19"
"9","1038","77"
"9","1038","75"
"9","1038","25"
"9","1038","44"
"9","1038","73"
"9","1038","126"
"9","1004","122"
"10","1018","16"
"10","1038","16"
"10","1024","10"
"10","1057","16"
"10","1003","16"
"10","1068","10"
"10","1069","10"
"10","1066","10"
"10","1067","10"
"11","1012","114"
"11","1015","114"
"11","1033","114"
"11","1032","114"
"11","1057","114"
"11","1043","114"
"11","1044","114"
"11","1042","114"
"11","1004","114"
"12","1012","137"
"12","1012","139"
"12","1012","115"
"12","1012","115"
"12","1012","115"
"12","1012","115"
"12","1012","46"
"12","1012","40"
"12","1012","47"
"12","1004","115"
"12","1004","115"
"12","1004","115"
"12","1004","115"
"12","1019","73"
"12","1023","73"
"12","1024","73"
"12","1012","114"
"12","1012","42"
"12","1012","131"
"12","1015","114"
"12","1015","137"
"12","1033","114"
"12","1032","114"
"12","1031","46"
"12","1037","118"
"12","1031","47"
"12","1057","139"
"12","1057","137"
"12","1057","46"
"12","1057","114"
"12","1057","115"
"12","1057","115"
