"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"2046","1038","73"
"2047","1038","73"
"2048","1038","73"
"2034","1038","73"
"2024","1038","73"
"2043","1038","73"
"2042","1038","73"
"2044","1038","73"
"2045","1038","73"
"2040","1038","73"
"2041","1038","73"
"2049","1038","75"
"2058","1038","75"
"2053","1038","75"
"2035","1038","73"
"2036","1038","73"
"2037","1038","73"
"2038","1038","73"
"2039","1038","73"
"2026","1038","73"
"2027","1038","73"
"2010","1038","63"
"2011","1038","63"
"2028","1038","73"
"2029","1038","73"
"2016","1038","63"
"2018","1038","63"
"2019","1038","63"
"2013","1038","63"
"2012","1038","63"
"2015","1038","63"
"2014","1038","63"
"2017","1038","63"
"2023","1038","73"
"2020","1038","73"
"2025","1038","73"
"2022","1038","73"
"2030","1038","73"
"2031","1038","73"
"2021","1038","73"
"2033","1038","73"
"2032","1038","73"
"2083","1038","81"
"2082","1038","81"
"2085","1038","81"
"2086","1038","81"
"2089","1038","81"
"2088","1038","81"
"2059","1038","77"
"2060","1038","77"
"2061","1038","77"
"2054","1038","75"
"2055","1038","75"
"2056","1038","75"
"2057","1038","75"
"2050","1038","75"
"2051","1038","75"
"2052","1038","75"
"2084","1038","81"
"2071","1038","80"
"2073","1038","80"
"2070","1038","80"
"2078","1038","80"
"2072","1038","80"
"2069","1038","80"
"2077","1038","80"
"2074","1038","80"
"2075","1038","80"
"2067","1038","77"
"2076","1038","80"
"2062","1038","77"
"2068","1038","77"
"2066","1038","77"
"2065","1038","77"
"2064","1038","77"
"2063","1038","77"
"2087","1038","81"
"2080","1038","81"
"2081","1038","81"
"2079","1038","81"
"2236","1038","126"
"2237","1038","126"
"2225","1038","126"
"2218","1038","126"
"2222","1038","126"
"2224","1038","126"
"2223","1038","126"
"1694","1038","20"
"1692","1038","20"
"1695","1038","20"
"1693","1038","20"
"1691","1038","20"
"1690","1038","20"
"1689","1038","20"
"1835","1038","39"
"1835","1038","39"
"1835","1038","39"
"1835","1038","39"
"1688","1038","20"
"1834","1038","39"
"1834","1038","39"
"1834","1038","39"
"1834","1038","39"
"1825","1038","38"
"1825","1038","38"
"1825","1038","38"
"1825","1038","38"
"1686","1038","20"
"1836","1038","39"
"1836","1038","39"
"1836","1038","39"
"1836","1038","39"
"1684","1038","20"
"1687","1038","20"
"1685","1038","20"
"1682","1038","20"
"1820","1038","38"
"1820","1038","38"
"1820","1038","38"
"1820","1038","38"
"1683","1038","20"
"1819","1038","38"
"1819","1038","38"
"1819","1038","38"
"1819","1038","38"
"1698","1038","20"
"1818","1038","38"
"1818","1038","38"
"1818","1038","38"
"1818","1038","38"
"1829","1038","38"
"1829","1038","38"
"1829","1038","38"
"1829","1038","38"
"1699","1038","20"
"1824","1038","38"
"1824","1038","38"
"1824","1038","38"
"1824","1038","38"
"1700","1038","20"
"1823","1038","38"
"1823","1038","38"
"1823","1038","38"
"1823","1038","38"
"1681","1038","19"
"1822","1038","38"
"1822","1038","38"
"1822","1038","38"
"1822","1038","38"
"1821","1038","38"
"1821","1038","38"
"1821","1038","38"
"1821","1038","38"
"1680","1038","19"
"1832","1038","38"
"1832","1038","38"
"1832","1038","38"
"1832","1038","38"
"1679","1038","19"
"1831","1038","38"
"1831","1038","38"
"1831","1038","38"
"1831","1038","38"
"1830","1038","38"
"1830","1038","38"
"1830","1038","38"
"1830","1038","38"
"1678","1038","19"
"1677","1038","19"
"1828","1038","38"
"1828","1038","38"
"1828","1038","38"
"1828","1038","38"
"1676","1038","19"
"1827","1038","38"
"1827","1038","38"
"1827","1038","38"
"1827","1038","38"
"1675","1038","19"
"1826","1038","38"
"1826","1038","38"
"1826","1038","38"
"1826","1038","38"
"1833","1038","38"
"1833","1038","38"
"1833","1038","38"
"1833","1038","38"
"1674","1038","19"
"1633","1038","16"
"1671","1038","19"
"1672","1038","19"
"1673","1038","19"
"1634","1038","16"
"1635","1038","16"
"1638","1038","16"
"1639","1038","16"
"1616","1038","12"
"1767","1038","32"
"1617","1038","12"
"1636","1038","16"
"1766","1038","32"
"1637","1038","16"
"1626","1038","12"
"1629","1038","12"
"1628","1038","12"
"1615","1038","12"
"1630","1038","12"
"1631","1038","12"
"1765","1038","32"
"1769","1038","32"
"1627","1038","12"
"1632","1038","12"
"1768","1038","32"
"1618","1038","12"
"1619","1038","12"
"1620","1038","12"
"1621","1038","12"
"1622","1038","12"
"1776","1038","32"
"1623","1038","12"
"1624","1038","12"
"1775","1038","32"
"1625","1038","12"
"1774","1038","32"
"1884","1038","44"
"1771","1038","32"
"1885","1038","44"
"1777","1038","32"
"1770","1038","32"
"1886","1038","44"
"1779","1038","32"
"1887","1038","44"
"1888","1038","44"
"1772","1038","32"
"1773","1038","32"
"1889","1038","44"
"1746","1038","31"
"1753","1038","31"
"1751","1038","31"
"1897","1038","44"
"1752","1038","31"
"1750","1038","31"
"1744","1038","31"
"1778","1038","32"
"1745","1038","31"
"1896","1038","44"
"1749","1038","31"
"1747","1038","31"
"1748","1038","31"
"1760","1038","31"
"1895","1038","44"
"1759","1038","31"
"1758","1038","31"
"1762","1038","31"
"1763","1038","31"
"1764","1038","31"
"1894","1038","44"
"1757","1038","31"
"1756","1038","31"
"1893","1038","44"
"1755","1038","31"
"1754","1038","31"
"1761","1038","31"
"1891","1038","44"
"1718","1038","25"
"1721","1038","25"
"1720","1038","25"
"1892","1038","44"
"1723","1038","25"
"1722","1038","25"
"1890","1038","44"
"1725","1038","25"
"1738","1038","25"
"1739","1038","25"
"1713","1038","25"
"1715","1038","25"
"1714","1038","25"
"1717","1038","25"
"1716","1038","25"
"1719","1038","25"
"1730","1038","25"
"1733","1038","25"
"1736","1038","25"
"1731","1038","25"
"1734","1038","25"
"1737","1038","25"
"1740","1038","25"
"1735","1038","25"
"1696","1038","20"
"1697","1038","20"
"1729","1038","25"
"1728","1038","25"
"1727","1038","25"
"1726","1038","25"
"1732","1038","25"
"1724","1038","25"
"1883","1038","44"
"1882","1038","44"
"1898","1038","45"
"2238","1038","126"
"2235","1038","126"
"2234","1038","126"
"2229","1038","126"
"2226","1038","126"
"2228","1038","126"
"2232","1038","126"
"2227","1038","126"
"2231","1038","126"
"2233","1038","126"
"2230","1038","126"
"2220","1038","126"
"2219","1038","126"
"2221","1038","126"
"2315","1038","137"
"2321","1038","137"
"2320","1038","137"
"2319","1038","137"
"2318","1038","137"
"2324","1038","137"
"2322","1038","137"
"2323","1038","137"
"2279","1038","133"
"2273","1038","132"
"2273","1038","132"
"2273","1038","132"
"2273","1038","132"
"2272","1038","132"
"2272","1038","132"
"2272","1038","132"
"2272","1038","132"
"2271","1038","132"
"2271","1038","132"
"2271","1038","132"
"2271","1038","132"
"2270","1038","132"
"2270","1038","132"
"2270","1038","132"
"2270","1038","132"
"2274","1038","132"
"2274","1038","132"
"2274","1038","132"
"2274","1038","132"
"2275","1038","132"
"2275","1038","132"
"2275","1038","132"
"2275","1038","132"
"2276","1038","132"
"2276","1038","132"
"2276","1038","132"
"2276","1038","132"
"2277","1038","132"
"2277","1038","132"
"2277","1038","132"
"2277","1038","132"
"2278","1038","132"
"2278","1038","132"
"2278","1038","132"
"2278","1038","132"
"2345","1038","140"
"2346","1038","140"
"2347","1038","140"
"2348","1038","140"
"2349","1038","140"
"2337","1038","140"
"2338","1038","140"
"2339","1038","140"
"2340","1038","140"
"2341","1038","140"
"2342","1038","140"
"2343","1038","140"
"2344","1038","140"
"2332","1038","139"
"2331","1038","139"
"2326","1038","139"
"2333","1038","139"
"2328","1038","139"
"2327","1038","139"
"2325","1038","139"
"2329","1038","139"
"2317","1038","137"
"2314","1038","137"
"2316","1038","137"
"2335","1038","139"
"2334","1038","139"
"2330","1038","139"
"2336","1038","139"
"2364","1038","144"
"2365","1038","144"
"2362","1038","144"
"2368","1038","144"
"2366","1038","144"
"2367","1038","144"
"2363","1038","144"
"2361","1038","144"
"2083","1000","81"
