"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"64","1038","19"
"65","1038","73"
"180","1038","73"
"180","1038","77"
"180","1038","73"
"66","1038","73"
"66","1038","137"
"66","1038","139"
"66","1038","81"
"66","1038","81"
"67","1038","63"
"67","1038","63"
"179","1038","44"
"63","1038","81"
"63","1038","140"
"63","1038","139"
"63","1038","73"
"63","1038","73"
"63","1038","63"
"63","1038","16"
"63","1038","44"
"63","1038","16"
"63","1038","16"
"63","1038","137"
"61","1038","80"
"61","1038","16"
"61","1038","73"
"61","1038","44"
"61","1038","19"
"61","1038","73"
"61","1038","80"
"61","1038","25"
"61","1038","44"
"178","1038","73"
"179","1038","77"
"179","1038","80"
"179","1038","73"
"62","1038","137"
"177","1038","80"
"178","1038","80"
"60","1038","73"
"60","1038","63"
"60","1038","80"
"60","1038","63"
"61","1038","73"
"61","1038","75"
"61","1038","80"
"60","1038","19"
"60","1038","16"
"60","1038","19"
"222","1038","44"
"222","1038","38"
"222","1038","38"
"222","1038","38"
"222","1038","38"
"222","1038","75"
"222","1038","80"
"222","1038","73"
"222","1038","44"
"60","1038","19"
"60","1038","75"
"60","1038","75"
"60","1038","73"
"60","1038","73"
"176","1038","20"
"60","1038","25"
"59","1038","63"
"59","1038","63"
"59","1038","63"
"59","1038","20"
"59","1038","20"
"59","1038","16"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"118","1038","81"
"59","1038","38"
"59","1038","38"
"59","1038","38"
"59","1038","38"
"59","1038","20"
"59","1038","25"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","39"
"59","1038","38"
"59","1038","38"
"59","1038","38"
"59","1038","38"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","81"
"59","1038","81"
"59","1038","81"
"59","1038","81"
"59","1038","80"
"59","1038","80"
"77","1038","81"
"77","1038","80"
"77","1038","77"
"77","1038","63"
"77","1038","63"
"77","1038","63"
"78","1038","80"
"78","1038","80"
"77","1038","73"
"77","1038","80"
"77","1038","80"
"77","1038","81"
"77","1038","80"
"76","1038","139"
"76","1038","137"
"189","1038","16"
"77","1038","19"
"77","1038","16"
"77","1038","81"
"73","1038","20"
"73","1038","19"
"73","1038","19"
"73","1038","19"
"73","1038","19"
"73","1038","19"
"188","1038","38"
"188","1038","38"
"188","1038","38"
"188","1038","38"
"188","1038","19"
"73","1038","63"
"73","1038","63"
"73","1038","39"
"73","1038","39"
"73","1038","39"
"73","1038","39"
"73","1038","73"
"73","1038","73"
"73","1038","63"
"73","1038","63"
"73","1038","63"
"73","1038","73"
"73","1038","73"
"73","1038","63"
"73","1038","63"
"73","1038","63"
"73","1038","63"
"73","1038","73"
"73","1038","73"
"73","1038","73"
"73","1038","73"
"73","1038","73"
"73","1038","73"
"73","1038","73"
"73","1038","73"
"73","1038","73"
"73","1038","75"
"73","1038","75"
"73","1038","77"
"73","1038","80"
"73","1038","81"
"73","1038","38"
"73","1038","38"
"73","1038","38"
"73","1038","38"
"73","1038","139"
"73","1038","25"
"73","1038","39"
"73","1038","39"
"73","1038","39"
"73","1038","39"
"73","1038","75"
"73","1038","63"
"73","1038","73"
"73","1038","80"
"73","1038","80"
"71","1038","16"
"71","1038","38"
"71","1038","38"
"71","1038","38"
"71","1038","38"
"72","1038","20"
"73","1038","140"
"71","1038","73"
"71","1038","73"
"71","1038","73"
"71","1038","38"
"71","1038","38"
"71","1038","38"
"71","1038","38"
"71","1038","20"
"185","1038","75"
"184","1038","140"
"184","1038","75"
"184","1038","25"
"183","1038","38"
"183","1038","38"
"183","1038","38"
"183","1038","38"
"182","1038","44"
"182","1038","38"
"182","1038","38"
"182","1038","38"
"182","1038","38"
"182","1038","25"
"68","1038","81"
"68","1038","80"
"68","1038","81"
"68","1038","81"
"68","1038","81"
"68","1038","44"
"68","1038","44"
"68","1038","19"
"68","1038","73"
"68","1038","132"
"68","1038","132"
"68","1038","132"
"68","1038","132"
"68","1038","126"
"181","1038","77"
"181","1038","75"
"44","1038","44"
"44","1038","44"
"44","1038","73"
"44","1038","73"
"44","1038","75"
"44","1038","44"
"44","1038","63"
"44","1038","25"
"44","1038","38"
"44","1038","38"
"44","1038","38"
"44","1038","38"
"44","1038","139"
"44","1038","77"
"44","1038","80"
"46","1038","139"
"46","1038","16"
"166","1038","73"
"165","1038","19"
"166","1038","38"
"166","1038","38"
"166","1038","38"
"166","1038","38"
"45","1038","16"
"167","1038","75"
"46","1038","80"
"167","1038","73"
"46","1038","80"
"167","1038","45"
"167","1038","63"
"167","1038","44"
"167","1038","20"
"167","1038","25"
"168","1038","63"
"167","1038","73"
"167","1038","19"
"41","1038","81"
"41","1038","73"
"41","1038","73"
"42","1038","73"
"42","1038","39"
"42","1038","39"
"42","1038","39"
"42","1038","39"
"43","1038","73"
"43","1038","137"
"44","1038","38"
"44","1038","38"
"44","1038","38"
"44","1038","38"
"44","1038","63"
"44","1038","44"
"44","1038","137"
"44","1038","81"
"44","1038","139"
"44","1038","73"
"44","1038","73"
"44","1038","73"
"44","1038","73"
"44","1038","73"
"44","1038","73"
"44","1038","73"
"34","1038","16"
"34","1038","63"
"34","1038","81"
"34","1038","25"
"160","1038","19"
"159","1038","137"
"160","1038","25"
"160","1038","38"
"160","1038","38"
"160","1038","38"
"160","1038","38"
"36","1038","19"
"157","1038","44"
"40","1038","73"
"40","1038","19"
"161","1038","25"
"161","1038","38"
"161","1038","38"
"161","1038","38"
"161","1038","38"
"161","1038","75"
"161","1038","75"
"161","1038","25"
"161","1038","16"
"38","1038","39"
"38","1038","39"
"38","1038","39"
"38","1038","39"
"38","1038","63"
"161","1038","16"
"161","1038","38"
"161","1038","38"
"161","1038","38"
"161","1038","38"
"154","1038","75"
"154","1038","140"
"154","1038","63"
"153","1038","44"
"153","1038","77"
"153","1038","73"
"153","1038","44"
"32","1038","19"
"32","1038","19"
"32","1038","16"
"32","1038","73"
"155","1038","75"
"34","1038","63"
"34","1038","81"
"32","1038","25"
"33","1038","63"
"34","1038","16"
"34","1038","25"
"59","1038","25"
"59","1038","19"
"59","1038","20"
"59","1038","75"
"59","1038","73"
"59","1038","75"
"59","1038","75"
"59","1038","77"
"59","1038","45"
"59","1038","16"
"59","1038","73"
"59","1038","63"
"59","1038","137"
"59","1038","73"
"59","1038","73"
"59","1038","73"
"59","1038","73"
"59","1038","73"
"59","1038","73"
"59","1038","63"
"59","1038","73"
"59","1038","73"
"59","1038","73"
"59","1038","73"
"173","1038","25"
"174","1038","38"
"174","1038","38"
"174","1038","38"
"174","1038","38"
"174","1038","73"
"175","1038","80"
"57","1038","44"
"57","1038","73"
"58","1038","81"
"56","1038","44"
"56","1038","139"
"173","1038","19"
"172","1038","38"
"172","1038","38"
"172","1038","38"
"172","1038","38"
"59","1038","73"
"59","1038","139"
"59","1038","75"
"59","1038","80"
"59","1038","75"
"59","1038","80"
"59","1038","140"
"59","1038","80"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"59","1038","44"
"54","1038","44"
"54","1038","44"
"51","1038","73"
"49","1038","63"
"49","1038","73"
"49","1038","73"
"49","1038","44"
"49","1038","44"
"170","1038","16"
"54","1038","81"
"54","1038","73"
"54","1038","81"
"54","1038","73"
"54","1038","73"
"47","1038","80"
"47","1038","81"
"47","1038","77"
"47","1038","19"
"47","1038","19"
"47","1038","16"
"47","1038","19"
"47","1038","16"
"47","1038","44"
"47","1038","44"
"47","1038","132"
"47","1038","132"
"47","1038","132"
"47","1038","132"
"47","1038","44"
"49","1038","20"
"49","1038","20"
"49","1038","20"
"49","1038","45"
"48","1038","16"
"48","1038","63"
"48","1038","63"
"47","1038","16"
"47","1038","16"
"48","1038","126"
"48","1038","73"
"48","1038","73"
"47","1038","44"
"47","1038","75"
"47","1038","44"
"124","1038","73"
"125","1038","16"
"124","1038","73"
"123","1038","63"
"123","1038","73"
"122","1038","75"
"126","1038","25"
"125","1038","73"
"120","1038","44"
"120","1038","44"
"225","1038","38"
"225","1038","38"
"225","1038","38"
"225","1038","38"
"119","1038","63"
"119","1038","63"
"119","1038","73"
"119","1038","73"
"119","1038","80"
"119","1038","80"
"119","1038","39"
"119","1038","39"
"119","1038","39"
"119","1038","39"
"119","1038","39"
"119","1038","39"
"119","1038","39"
"119","1038","39"
"122","1038","19"
"226","1038","80"
"226","1038","80"
"120","1038","45"
"226","1038","140"
"231","1038","38"
"231","1038","38"
"231","1038","38"
"231","1038","38"
"129","1038","137"
"129","1038","137"
"127","1038","63"
"127","1038","73"
"127","1038","75"
"233","1038","75"
"233","1038","38"
"233","1038","38"
"233","1038","38"
"233","1038","38"
"129","1038","63"
"129","1038","73"
"232","1038","75"
"127","1038","73"
"127","1038","73"
"127","1038","73"
"230","1038","75"
"126","1038","73"
"127","1038","73"
"127","1038","73"
"127","1038","73"
"127","1038","73"
"127","1038","63"
"127","1038","73"
"127","1038","63"
"127","1038","73"
"127","1038","63"
"127","1038","73"
"127","1038","73"
"127","1038","63"
"127","1038","63"
"127","1038","63"
"115","1038","81"
"115","1038","73"
"115","1038","63"
"115","1038","73"
"115","1038","73"
"115","1038","73"
"115","1038","81"
"115","1038","126"
"115","1038","126"
"115","1038","81"
"113","1038","39"
"113","1038","39"
"113","1038","39"
"113","1038","39"
"113","1038","44"
"113","1038","63"
"112","1038","80"
"113","1038","63"
"113","1038","139"
"113","1038","44"
"115","1038","16"
"115","1038","137"
"115","1038","39"
"115","1038","39"
"115","1038","39"
"115","1038","39"
"114","1038","63"
"115","1038","73"
"115","1038","20"
"115","1038","16"
"115","1038","25"
"115","1038","16"
"115","1038","16"
"219","1038","75"
"221","1038","75"
"117","1038","81"
"117","1038","81"
"119","1038","73"
"119","1038","44"
"119","1038","80"
"119","1038","44"
"115","1038","81"
"115","1038","139"
"115","1038","16"
"115","1038","19"
"115","1038","16"
"115","1038","16"
"115","1038","16"
"217","1038","75"
"219","1038","75"
"218","1038","25"
"86","1038","73"
"86","1038","73"
"86","1038","44"
"86","1038","73"
"86","1038","44"
"86","1038","44"
"86","1038","44"
"86","1038","44"
"86","1038","73"
"86","1038","44"
"86","1038","44"
"199","1038","80"
"200","1038","19"
"201","1038","73"
"201","1038","38"
"201","1038","38"
"201","1038","38"
"201","1038","38"
"202","1038","126"
"86","1038","38"
"86","1038","38"
"86","1038","38"
"86","1038","38"
"197","1038","19"
"86","1038","25"
"87","1038","73"
"91","1038","81"
"91","1038","73"
"90","1038","73"
"90","1038","20"
"90","1038","63"
"203","1038","75"
"206","1038","44"
"206","1038","80"
"206","1038","77"
"206","1038","75"
"206","1038","73"
"205","1038","126"
"92","1038","20"
"92","1038","25"
"93","1038","140"
"93","1038","81"
"206","1038","44"
"206","1038","73"
"207","1038","16"
"94","1038","63"
"94","1038","73"
"94","1038","73"
"93","1038","73"
"93","1038","44"
"95","1038","63"
"95","1038","77"
"95","1038","75"
"95","1038","19"
"95","1038","75"
"95","1038","38"
"95","1038","38"
"95","1038","38"
"95","1038","38"
"95","1038","39"
"95","1038","39"
"95","1038","39"
"95","1038","39"
"95","1038","39"
"95","1038","39"
"95","1038","39"
"95","1038","39"
"207","1038","126"
"95","1038","38"
"95","1038","38"
"95","1038","38"
"95","1038","38"
"190","1038","81"
"191","1038","80"
"191","1038","73"
"80","1038","63"
"80","1038","73"
"192","1038","81"
"81","1038","63"
"81","1038","63"
"81","1038","73"
"81","1038","73"
"81","1038","73"
"81","1038","73"
"81","1038","73"
"81","1038","126"
"81","1038","77"
"81","1038","73"
"81","1038","80"
"82","1038","44"
"82","1038","63"
"82","1038","38"
"82","1038","38"
"82","1038","38"
"82","1038","38"
"193","1038","80"
"82","1038","140"
"82","1038","45"
"83","1038","63"
"83","1038","132"
"83","1038","132"
"83","1038","132"
"83","1038","132"
"83","1038","73"
"193","1038","132"
"193","1038","132"
"193","1038","132"
"193","1038","132"
"194","1038","44"
"194","1038","44"
"83","1038","16"
"83","1038","73"
"196","1038","140"
"195","1038","19"
"85","1038","44"
"86","1038","80"
"85","1038","44"
"86","1038","137"
"86","1038","44"
"86","1038","75"
"86","1038","139"
"86","1038","140"
"86","1038","44"
"86","1038","77"
"86","1038","75"
"86","1038","75"
"86","1038","75"
"86","1038","44"
"86","1038","73"
"86","1038","73"
"101","1038","44"
"101","1038","140"
"101","1038","80"
"101","1038","75"
"101","1038","75"
"101","1038","44"
"101","1038","44"
"101","1038","44"
"101","1038","73"
"101","1038","75"
"101","1038","77"
"101","1038","81"
"101","1038","80"
"102","1038","63"
"102","1038","63"
"102","1038","16"
"102","1038","63"
"102","1038","73"
"102","1038","81"
"101","1038","44"
"101","1038","44"
"101","1038","139"
"101","1038","73"
"101","1038","75"
"101","1038","80"
"101","1038","75"
"108","1038","73"
"108","1038","73"
"108","1038","139"
"108","1038","63"
"108","1038","126"
"108","1038","139"
"107","1038","81"
"104","1038","39"
"104","1038","39"
"104","1038","39"
"104","1038","39"
"104","1038","44"
"103","1038","39"
"103","1038","39"
"103","1038","39"
"103","1038","39"
"104","1038","73"
"112","1038","80"
"112","1038","81"
"216","1038","137"
"110","1038","20"
"215","1038","20"
"108","1038","16"
"108","1038","73"
"95","1038","38"
"95","1038","38"
"95","1038","38"
"95","1038","38"
"95","1038","44"
"95","1038","75"
"96","1038","73"
"95","1038","44"
"95","1038","25"
"95","1038","75"
"97","1038","44"
"97","1038","63"
"97","1038","44"
"97","1038","140"
"97","1038","16"
"97","1038","63"
"96","1038","63"
"96","1038","77"
"99","1038","20"
"99","1038","16"
"99","1038","20"
"209","1038","139"
"99","1038","25"
"210","1038","133"
"209","1038","38"
"209","1038","38"
"209","1038","38"
"209","1038","38"
"97","1038","81"
"211","1038","139"
"211","1038","137"
"211","1038","75"
"212","1038","81"
"212","1038","39"
"212","1038","39"
"212","1038","39"
"212","1038","39"
"212","1038","140"
"211","1038","38"
"211","1038","38"
"211","1038","38"
"211","1038","38"
"211","1038","73"
"211","1038","44"
"210","1038","19"
"211","1038","80"
"211","1038","73"
"211","1038","77"
"211","1038","44"
"211","1038","63"
"5","1038","81"
"5","1038","81"
"5","1038","81"
"5","1038","126"
"5","1038","81"
"5","1038","81"
"5","1038","44"
"5","1038","44"
"5","1038","44"
"5","1038","44"
"5","1038","44"
"5","1038","63"
"5","1038","77"
"5","1038","73"
"5","1038","140"
"5","1038","73"
"5","1038","16"
"5","1038","139"
"131","1038","19"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","39"
"5","1038","39"
"5","1038","39"
"5","1038","39"
"5","1038","25"
"5","1038","16"
"5","1038","16"
"5","1038","16"
"5","1038","20"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","75"
"5","1038","75"
"5","1038","75"
"5","1038","75"
"5","1038","75"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"12","1038","25"
"12","1038","44"
"12","1038","137"
"12","1038","63"
"12","1038","73"
"134","1038","38"
"134","1038","38"
"134","1038","38"
"134","1038","38"
"11","1038","16"
"10","1038","44"
"9","1038","19"
"132","1038","25"
"133","1038","75"
"8","1038","20"
"7","1038","44"
"7","1038","75"
"7","1038","77"
"7","1038","73"
"7","1038","73"
"7","1038","77"
"7","1038","80"
"7","1038","139"
"7","1038","137"
"7","1038","139"
"7","1038","77"
"7","1038","44"
"22","1038","45"
"22","1038","63"
"22","1038","73"
"22","1038","63"
"22","1038","44"
"143","1038","73"
"143","1038","140"
"143","1038","38"
"143","1038","38"
"143","1038","38"
"143","1038","38"
"21","1038","81"
"143","1038","63"
"143","1038","44"
"143","1038","38"
"143","1038","38"
"143","1038","38"
"143","1038","38"
"13","1038","132"
"13","1038","132"
"13","1038","132"
"13","1038","132"
"12","1038","44"
"13","1038","126"
"12","1038","19"
"12","1038","19"
"12","1038","19"
"22","1038","25"
"22","1038","20"
"22","1038","19"
"22","1038","16"
"22","1038","38"
"22","1038","38"
"22","1038","38"
"22","1038","38"
"22","1038","38"
"22","1038","38"
"22","1038","38"
"22","1038","38"
"22","1038","20"
"22","1038","19"
"22","1038","75"
"22","1038","73"
"22","1038","73"
"22","1038","73"
"22","1038","73"
"22","1038","133"
"22","1038","44"
"22","1038","63"
"22","1038","75"
"145","1038","81"
"26","1038","75"
"145","1038","63"
"146","1038","81"
"146","1038","63"
"27","1038","81"
"27","1038","81"
"23","1038","73"
"25","1038","44"
"144","1038","25"
"145","1038","81"
"29","1038","44"
"29","1038","44"
"29","1038","44"
"29","1038","38"
"29","1038","38"
"29","1038","38"
"29","1038","38"
"29","1038","139"
"29","1038","139"
"29","1038","81"
"29","1038","81"
"29","1038","81"
"29","1038","44"
"28","1038","44"
"28","1038","73"
"28","1038","63"
"28","1038","39"
"28","1038","39"
"28","1038","39"
"28","1038","39"
"28","1038","38"
"28","1038","38"
"28","1038","38"
"28","1038","38"
"28","1038","81"
"148","1038","63"
"148","1038","44"
"148","1038","44"
"148","1038","80"
"147","1038","19"
"147","1038","25"
"148","1038","25"
"28","1038","75"
"30","1038","139"
"30","1038","73"
"30","1038","77"
"151","1038","25"
"30","1038","137"
"30","1038","80"
"30","1038","44"
"30","1038","44"
"31","1038","81"
"31","1038","19"
"31","1038","81"
"31","1038","140"
"31","1038","19"
"29","1038","73"
"29","1038","73"
"29","1038","126"
"30","1038","139"
"29","1038","63"
"29","1038","63"
"29","1038","73"
"29","1038","80"
"29","1038","73"
"29","1038","73"
"2","1038","80"
"2","1038","77"
"1","1038","75"
"1","1038","44"
"1","1038","44"
"1","1038","44"
"1","1038","20"
"2","1038","25"
"3","1038","16"
"3","1038","75"
"3","1038","16"
"5","1038","25"
"5","1038","20"
"5","1038","20"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","39"
"5","1038","39"
"5","1038","39"
"5","1038","39"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","16"
"5","1038","16"
"5","1038","16"
"5","1038","19"
"5","1038","16"
"5","1038","19"
"5","1038","19"
"5","1038","20"
"5","1038","20"
"5","1038","19"
"5","1038","44"
"5","1038","44"
"5","1038","63"
"5","1038","63"
"5","1038","63"
"5","1038","63"
"5","1038","63"
"5","1038","73"
"5","1038","73"
"5","1038","44"
"5","1038","44"
"5","1038","44"
"5","1038","44"
"5","1038","44"
"5","1038","140"
"5","1038","73"
"5","1038","44"
"5","1038","73"
"5","1038","77"
"5","1038","44"
"5","1038","63"
"5","1038","44"
"5","1038","126"
"5","1038","81"
"5","1038","81"
"5","1038","81"
"5","1038","75"
"5","1038","81"
"5","1038","81"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","75"
"5","1038","75"
"5","1038","75"
"5","1038","75"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","38"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","73"
"5","1038","16"
"5","1038","16"
