"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"113","1038","73"
"83","1038","137"
"28","1038","44"
"136","1038","75"
"44","1038","25"
"93","1038","133"
"10","1038","38"
"10","1038","38"
"10","1038","38"
"10","1038","38"
"115","1038","81"
"135","1038","31"
"93","1038","126"
"30","1038","39"
"30","1038","39"
"30","1038","39"
"30","1038","39"
"42","1038","20"
"41","1038","16"
"104","1038","32"
"126","1038","132"
"126","1038","132"
"126","1038","132"
"126","1038","132"
"29","1038","45"
"143","1038","63"
"124","1038","140"
"60","1038","77"
"110","1038","139"
"91","1038","144"
"12","1038","19"
"49","1038","12"
"81","1038","80"
"115","1000","81"
"115","1001","81"
"115","1002","81"
"115","1073","81"
"91","1073","144"
"91","1004","144"
"60","1004","114"
"124","1004","140"
"117","1004","98"
"130","1004","111"
"34","1004","122"
"116","1004","100"
"63","1004","115"
"63","1004","115"
"63","1004","115"
"63","1004","115"
"33","1004","149"
"93","1004","126"
"12","1005","19"
"115","1006","81"
"115","1007","81"
"136","1008","75"
"136","1009","75"
"115","1010","81"
"104","1011","32"
"130","1012","111"
"124","1012","140"
"81","1012","80"
"93","1012","131"
"10","1012","38"
"10","1012","38"
"10","1012","38"
"10","1012","38"
"83","1012","137"
"115","1012","81"
"110","1012","139"
"30","1012","39"
"30","1012","39"
"30","1012","39"
"30","1012","39"
"145","1012","36"
"61","1012","40"
"63","1012","115"
"63","1012","115"
"63","1012","115"
"63","1012","115"
"33","1012","149"
"47","1012","47"
"116","1012","100"
"91","1012","144"
"24","1012","46"
"37","1012","42"
"33","1012","151"
"95","1012","152"
"60","1012","114"
"126","1012","132"
"126","1012","132"
"126","1012","132"
"126","1012","132"
"95","1013","152"
"83","1015","137"
"91","1015","124"
"60","1015","114"
"93","1015","126"
"28","1016","44"
"28","1017","44"
"41","1018","16"
"49","1018","12"
"148","1018","58"
"113","1019","73"
"136","1019","75"
"28","1020","44"
"28","1021","44"
"28","1022","44"
"113","1023","73"
"136","1023","75"
"42","1024","20"
"107","1024","59"
"102","1024","35"
"12","1024","19"
"13","1024","10"
"148","1024","58"
"113","1024","73"
"44","1024","25"
"42","1025","20"
"67","1026","51"
"108","1026","7"
"7","1026","8"
"115","1026","81"
"104","1027","32"
"148","1028","58"
"28","1029","54"
"115","1030","81"
"47","1031","47"
"24","1031","46"
"115","1031","81"
"60","1032","114"
"60","1033","114"
"93","1033","126"
"108","1034","7"
"67","1034","51"
"108","1035","7"
"93","1036","126"
"91","1036","124"
"28","1036","44"
"148","1037","58"
"77","1037","117"
"64","1037","128"
"3","1037","118"
"63","1057","115"
"63","1057","115"
"63","1057","115"
"63","1057","115"
"110","1057","139"
"83","1057","137"
"60","1057","114"
"24","1057","46"
"44","1057","25"
"117","1057","98"
"115","1057","81"
"10","1057","38"
"10","1057","38"
"10","1057","38"
"10","1057","38"
"107","1057","59"
"91","1057","144"
"16","1057","41"
"12","1057","19"
"104","1057","30"
"148","1057","58"
"108","1057","7"
"105","1057","6"
"90","1057","123"
"53","1057","11"
"84","1057","136"
"84","1057","136"
"84","1057","136"
"84","1057","136"
"116","1057","100"
"41","1057","16"
"33","1057","149"
"104","1057","32"
"130","1057","111"
"113","1057","73"
"37","1057","42"
"87","1057","9"
"135","1057","31"
"124","1057","140"
"138","1057","143"
"126","1057","132"
"126","1057","132"
"126","1057","132"
"126","1057","132"
"67","1057","51"
"69","1057","50"
"49","1057","12"
"94","1057","135"
"94","1057","135"
"94","1057","135"
"94","1057","135"
"42","1057","20"
"93","1057","131"
"28","1057","54"
"89","1057","141"
"61","1057","40"
"7","1057","8"
"61","1039","40"
"16","1039","41"
"143","1039","63"
"113","1039","73"
"37","1039","42"
"136","1039","75"
"60","1039","77"
"104","1039","32"
"24","1039","46"
"28","1040","54"
"28","1041","54"
"60","1042","114"
"60","1043","114"
"60","1044","114"
"3","1045","118"
"115","1046","81"
"115","1047","81"
"117","1048","98"
"115","1049","81"
"116","1050","100"
"116","1051","100"
"28","1052","44"
"115","1053","81"
"115","1054","81"
"115","1055","81"
"116","1055","100"
"104","1056","32"
"86","1003","101"
"12","1003","19"
"125","1003","134"
"83","1003","137"
"104","1003","32"
"94","1003","135"
"94","1003","135"
"94","1003","135"
"94","1003","135"
"135","1003","31"
"81","1003","80"
"43","1003","142"
"57","1003","33"
"89","1003","141"
"84","1003","136"
"84","1003","136"
"84","1003","136"
"84","1003","136"
"30","1003","39"
"30","1003","39"
"30","1003","39"
"30","1003","39"
"60","1003","77"
"53","1003","11"
"61","1003","40"
"104","1003","30"
"110","1003","139"
"19","1003","104"
"10","1003","38"
"10","1003","38"
"10","1003","38"
"10","1003","38"
"7","1003","8"
"44","1003","25"
"49","1003","12"
"42","1003","20"
"87","1003","9"
"24","1003","46"
"138","1003","143"
"145","1003","36"
"136","1003","75"
"113","1003","73"
"67","1003","51"
"41","1003","16"
"93","1003","126"
"91","1003","144"
"34","1003","122"
"115","1003","81"
"62","1003","103"
"105","1003","6"
"143","1003","63"
"16","1003","41"
"124","1003","140"
"28","1003","44"
"69","1003","50"
"104","1058","32"
"148","1059","58"
"28","1060","44"
"28","1061","44"
"104","1062","32"
"115","1063","81"
"28","1064","54"
"104","1065","32"
"13","1066","10"
"13","1067","10"
"13","1068","10"
"13","1069","10"
"28","1070","54"
"28","1071","54"
"28","1072","54"
