"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"1","1096","466"
"1","1099","205"
"1","1101","205"
"1","1104","57"
"1","1105","57"
"1","1109","31"
"1","1109","36"
"1","1110","205"
"1","1117","57"
"1","1121","57"
"1","1122","57"
"1","1084","479"
"1","1084","86"
"1","1084","112"
"1","1084","115"
"1","1056","57"
"1","1046","479"
"1","1084","466"
"1","1084","148"
"1","1068","205"
"1","1066","205"
"1","1072","205"
"1","1071","57"
"1","1073","205"
"1","1079","57"
"1","1063","148"
"1","1063","115"
"1","1063","57"
"1","1063","86"
"1","1063","112"
"1","1065","205"
"1","1064","205"
"1","1095","479"
"1","1090","31"
"1","1091","57"
"1","1090","36"
"1","1150","479"
"1","1151","57"
"1","1147","205"
"1","1145","479"
"1","1148","205"
"1","1085","466"
"1","1087","205"
"1","1089","205"
"1","1086","205"
"1","1172","112"
"1","1216","57"
"1","1196","64"
"1","1189","112"
"1","1210","157"
"1","1210","7"
"1","1210","466"
"1","1138","49"
"1","1210","189"
"1","1210","479"
"1","1210","205"
"1","1210","49"
"1","1138","56"
"1","1138","57"
"1","1138","73"
"1","1138","86"
"1","1138","48"
"1","1138","47"
"1","1123","57"
"1","1136","479"
"1","1028","49"
"1","1028","31"
"1","1028","30"
"1","1028","86"
"1","1028","45"
"1","1028","41"
"1","1096","479"
"1","1028","73"
"1","1028","164"
"1","1028","47"
"1","1028","479"
"1","1028","56"
"1","1139","86"
"1","1210","115"
"1","1028","112"
"1","1142","205"
"1","1140","1"
"1","1210","30"
"1","1055","111"
"1","1024","479"
"1","1019","57"
"1","1020","57"
"1","1028","48"
"1","1028","34"
"1","1028","115"
"1","1028","33"
"1","1028","205"
"1","1028","57"
"1","1044","479"
"1","1042","57"
"1","1040","205"
"1","1041","205"
"1","1036","64"
"1","1037","57"
"1","1036","1"
"1","1036","58"
"1","1036","48"
"1","1036","49"
"1","1036","205"
"1","1036","124"
"1","1036","30"
"1","1036","45"
"1","1036","41"
"1","1036","56"
"2","1096","332"
"2","1096","466"
"2","1099","205"
"2","1101","205"
"2","1104","57"
"2","1109","31"
"2","1105","57"
"2","1109","36"
"2","1110","205"
"2","1112","201"
"2","1111","201"
"2","1117","57"
"2","1121","57"
"2","1118","201"
"2","1122","57"
"2","1096","479"
"2","1084","479"
"2","1084","114"
"2","1084","86"
"2","1084","130"
"2","1084","68"
"2","1084","112"
"2","1084","81"
"2","1084","115"
"2","1084","59"
"2","1084","79"
"2","1056","57"
"2","1084","204"
"2","1084","105"
"2","1058","201"
"2","1062","201"
"2","1046","479"
"2","1084","55"
"2","1084","466"
"2","1084","192"
"2","1084","188"
"2","1084","180"
"2","1084","148"
"2","1084","201"
"2","1068","205"
"2","1066","205"
"2","1072","205"
"2","1071","59"
"2","1071","57"
"2","1075","201"
"2","1073","205"
"2","1080","201"
"2","1079","57"
"2","1077","52"
"2","1063","148"
"2","1063","105"
"2","1063","81"
"2","1063","130"
"2","1063","115"
"2","1063","79"
"2","1063","57"
"2","1063","86"
"2","1063","59"
"2","1063","204"
"2","1063","112"
"2","1065","205"
"2","1063","201"
"2","1064","205"
"2","1092","52"
"2","1093","52"
"2","1091","57"
"2","1095","479"
"2","1094","52"
"2","1090","31"
"2","1090","36"
"2","1149","201"
"2","1151","57"
"2","1150","479"
"2","1147","205"
"2","1145","479"
"2","1148","205"
"2","1085","332"
"2","1085","466"
"2","1087","205"
"2","1088","59"
"2","1089","205"
"2","1085","201"
"2","1086","205"
"2","1085","130"
"2","1224","201"
"2","1223","201"
"2","1172","112"
"2","1176","105"
"2","1169","55"
"2","1160","55"
"2","1160","59"
"2","1216","57"
"2","1215","332"
"2","1205","59"
"2","1184","55"
"2","1189","112"
"2","1210","157"
"2","1210","332"
"2","1210","466"
"2","1138","49"
"2","1138","60"
"2","1210","114"
"2","1210","479"
"2","1210","130"
"2","1210","205"
"2","1210","49"
"2","1138","57"
"2","1138","56"
"2","1138","59"
"2","1138","86"
"2","1138","48"
"2","1138","53"
"2","1138","105"
"2","1138","47"
"2","1138","51"
"2","1123","57"
"2","1133","65"
"2","1138","55"
"2","1136","479"
"2","1138","81"
"2","1138","79"
"2","1138","68"
"2","1028","105"
"2","1028","49"
"2","1028","31"
"2","1028","81"
"2","1028","30"
"2","1028","86"
"2","1028","59"
"2","1028","45"
"2","1028","129"
"2","1028","41"
"2","1028","188"
"2","1028","164"
"2","1028","204"
"2","1028","47"
"2","1028","479"
"2","1028","56"
"2","1210","52"
"2","1139","86"
"2","1210","115"
"2","1210","192"
"2","1210","201"
"2","1028","112"
"2","1142","205"
"2","1140","1"
"2","1210","30"
"2","1210","188"
"2","1055","111"
"2","1024","479"
"2","1055","201"
"2","1055","192"
"2","1015","204"
"2","1017","59"
"2","1019","57"
"2","1020","57"
"2","1011","201"
"2","1014","204"
"2","1028","48"
"2","1028","34"
"2","1000","332"
"2","1000","201"
"2","1028","68"
"2","1028","115"
"2","1028","53"
"2","1028","33"
"2","1028","205"
"2","1028","51"
"2","1028","57"
"2","1028","79"
"2","1028","55"
"2","1028","180"
"2","1028","130"
"2","1028","192"
"2","1028","201"
"2","1028","114"
"2","1028","52"
"2","1044","479"
"2","1041","205"
"2","1042","57"
"2","1040","205"
"2","1036","46"
"2","1037","57"
"2","1036","49"
"2","1036","129"
"2","1036","105"
"2","1036","1"
"2","1036","48"
"2","1036","201"
"2","1036","204"
"2","1036","205"
"2","1036","124"
"2","1036","30"
"2","1036","45"
"2","1036","51"
"2","1036","41"
"2","1036","55"
"2","1036","56"
"2","1032","105"
"2","1031","201"
"2","1030","201"
"2","1029","201"
"3","1096","466"
"3","1097","63"
"3","1084","466"
"3","1084","148"
"3","1078","8"
"3","1063","148"
"3","1085","466"
"3","1206","8"
"3","1210","466"
"3","1141","8"
"3","1055","63"
"3","1038","8"
"3","1039","8"
"3","1055","111"
"4","1096","466"
"4","1097","50"
"4","1097","63"
"4","1114","50"
"4","1113","50"
"4","1061","50"
"4","1084","466"
"4","1076","50"
"4","1077","52"
"4","1078","8"
"4","1092","52"
"4","1093","52"
"4","1094","52"
"4","1085","466"
"4","1225","50"
"4","1206","8"
"4","1210","157"
"4","1210","466"
"4","1134","50"
"4","1028","30"
"4","1210","52"
"4","1141","8"
"4","1210","30"
"4","1210","85"
"4","1055","203"
"4","1055","50"
"4","1055","191"
"4","1055","63"
"4","1028","52"
"4","1038","8"
"4","1039","8"
"4","1036","30"
"4","1055","111"
"5","1078","8"
"5","1206","8"
"5","1141","8"
"5","1039","8"
"5","1038","8"
"6","1097","63"
"6","1084","59"
"6","1059","9"
"6","1060","9"
"6","1084","72"
"6","1084","55"
"6","1071","59"
"6","1069","9"
"6","1063","59"
"6","1088","59"
"6","1166","71"
"6","1167","71"
"6","1169","55"
"6","1160","55"
"6","1160","59"
"6","1205","59"
"6","1196","64"
"6","1184","55"
"6","1185","71"
"6","1210","157"
"6","1138","59"
"6","1138","55"
"6","1028","59"
"6","1210","9"
"6","1055","63"
"6","1017","59"
"6","1028","55"
"6","1036","64"
"6","1036","124"
"6","1036","55"
"6","1055","111"
"7","1099","205"
"7","1101","205"
"7","1110","205"
"7","1068","205"
"7","1066","205"
"7","1072","205"
"7","1073","205"
"7","1064","205"
"7","1065","205"
"7","1147","205"
"7","1148","205"
"7","1087","205"
"7","1089","205"
"7","1086","205"
"7","1210","205"
"7","1142","205"
"7","1028","205"
"7","1041","205"
"7","1040","205"
"7","1036","205"
"10","1028","30"
"10","1210","30"
"10","1036","30"
"11","1028","30"
"11","1210","30"
"11","1036","30"
"12","1096","332"
"12","1096","466"
"12","1099","205"
"12","1101","205"
"12","1109","31"
"12","1110","205"
"12","1084","466"
"12","1068","205"
"12","1066","205"
"12","1065","205"
"12","1073","205"
"12","1072","205"
"12","1064","205"
"12","1090","31"
"12","1148","205"
"12","1147","205"
"12","1085","332"
"12","1085","466"
"12","1087","205"
"12","1089","205"
"12","1086","205"
"12","1215","332"
"12","1210","332"
"12","1210","466"
"12","1210","205"
"12","1028","31"
"12","1142","205"
"12","1210","30"
"12","1000","332"
"12","1028","205"
"12","1028","30"
"12","1041","205"
"12","1040","205"
"12","1036","205"
"12","1036","30"
"13","1210","30"
"13","1028","30"
"13","1036","30"
"14","1099","205"
"14","1101","205"
"14","1109","31"
"14","1110","205"
"14","1096","479"
"14","1084","479"
"14","1084","114"
"14","1084","112"
"14","1084","115"
"14","1046","479"
"14","1084","192"
"14","1084","170"
"14","1084","188"
"14","1084","197"
"14","1084","148"
"14","1068","205"
"14","1066","205"
"14","1065","205"
"14","1073","205"
"14","1072","205"
"14","1063","148"
"14","1063","115"
"14","1063","112"
"14","1064","205"
"14","1063","170"
"14","1095","479"
"14","1090","31"
"14","1089","205"
"14","1148","205"
"14","1150","479"
"14","1145","479"
"14","1147","205"
"14","1087","205"
"14","1086","205"
"14","1221","197"
"14","1172","112"
"14","1189","112"
"14","1210","49"
"14","1210","157"
"14","1210","197"
"14","1210","170"
"14","1138","49"
"14","1210","84"
"14","1210","114"
"14","1210","479"
"14","1210","205"
"14","1134","84"
"14","1136","479"
"14","1028","49"
"14","1028","31"
"14","1028","112"
"14","1028","188"
"14","1028","476"
"14","1028","479"
"14","1210","115"
"14","1210","192"
"14","1142","205"
"14","1210","182"
"14","1210","30"
"14","1210","188"
"14","1055","84"
"14","1024","479"
"14","1055","192"
"14","1028","115"
"14","1028","205"
"14","1028","192"
"14","1028","30"
"14","1028","114"
"14","1044","479"
"14","1041","205"
"14","1040","205"
"14","1036","49"
"14","1036","205"
"14","1036","124"
"14","1036","30"
"14","1055","111"
"15","1210","30"
"15","1028","30"
"15","1036","30"
"16","1210","30"
"16","1028","30"
"16","1036","30"
"17","1109","31"
"17","1084","115"
"17","1084","148"
"17","1063","148"
"17","1063","115"
"17","1090","31"
"17","1028","31"
"17","1210","115"
"17","1028","115"
"18","1109","31"
"18","1084","148"
"18","1063","148"
"18","1090","31"
"18","1028","31"
"19","1109","36"
"19","1109","31"
"19","1090","36"
"19","1090","31"
"19","1028","31"
"20","1109","31"
"20","1109","36"
"20","1090","36"
"20","1090","31"
"20","1028","31"
"20","1028","34"
"21","1104","57"
"21","1105","57"
"21","1117","57"
"21","1122","57"
"21","1121","57"
"21","1084","86"
"21","1084","59"
"21","1084","81"
"21","1084","105"
"21","1056","57"
"21","1084","55"
"21","1071","59"
"21","1071","57"
"21","1079","57"
"21","1063","105"
"21","1063","81"
"21","1063","57"
"21","1063","86"
"21","1063","59"
"21","1091","57"
"21","1151","57"
"21","1088","59"
"21","1169","55"
"21","1160","55"
"21","1160","59"
"21","1216","57"
"21","1205","59"
"21","1176","105"
"21","1184","55"
"21","1210","49"
"21","1210","157"
"21","1138","105"
"21","1138","60"
"21","1138","49"
"21","1138","57"
"21","1138","59"
"21","1138","56"
"21","1138","86"
"21","1138","48"
"21","1138","51"
"21","1138","53"
"21","1138","47"
"21","1123","57"
"21","1133","65"
"21","1138","81"
"21","1138","55"
"21","1138","54"
"21","1028","105"
"21","1028","49"
"21","1028","47"
"21","1028","81"
"21","1028","86"
"21","1028","59"
"21","1028","56"
"21","1139","86"
"21","1017","59"
"21","1019","57"
"21","1020","57"
"21","1028","54"
"21","1028","48"
"21","1028","53"
"21","1028","51"
"21","1028","57"
"21","1028","55"
"21","1042","57"
"21","1036","54"
"21","1037","57"
"21","1036","49"
"21","1036","105"
"21","1036","48"
"21","1036","51"
"21","1036","55"
"21","1036","56"
"21","1032","105"
"21","1055","111"
"22","1097","50"
"22","1114","50"
"22","1113","50"
"22","1061","50"
"22","1076","50"
"22","1225","50"
"22","1134","50"
"22","1055","50"
"23","1097","50"
"23","1114","50"
"23","1055","84"
"23","1055","50"
"23","1134","50"
"23","1134","84"
"23","1210","84"
"23","1225","50"
"23","1076","50"
"23","1061","50"
"23","1113","50"
"24","1096","466"
"24","1097","50"
"24","1097","63"
"24","1113","50"
"24","1114","50"
"24","1061","50"
"24","1084","466"
"24","1076","50"
"24","1085","466"
"24","1225","50"
"24","1210","466"
"24","1210","84"
"24","1134","50"
"24","1134","84"
"24","1055","191"
"24","1055","50"
"24","1055","63"
"24","1055","84"
"24","1055","199"
"24","1055","111"
"25","1104","57"
"25","1105","57"
"25","1117","57"
"25","1122","57"
"25","1121","57"
"25","1056","57"
"25","1071","57"
"25","1079","57"
"25","1063","57"
"25","1091","57"
"25","1151","57"
"25","1216","57"
"25","1138","57"
"25","1138","56"
"25","1123","57"
"25","1028","56"
"25","1020","57"
"25","1019","57"
"25","1028","57"
"25","1042","57"
"25","1037","57"
"25","1036","56"
"26","1104","57"
"26","1105","57"
"26","1117","57"
"26","1121","57"
"26","1056","57"
"26","1071","57"
"26","1079","57"
"26","1063","57"
"26","1091","57"
"26","1216","57"
"26","1151","57"
"26","1138","57"
"26","1123","57"
"26","1122","57"
"26","1020","57"
"26","1019","57"
"26","1028","57"
"26","1042","57"
"26","1037","57"
"27","1104","57"
"27","1105","57"
"27","1117","57"
"27","1121","57"
"27","1056","57"
"27","1071","57"
"27","1079","57"
"27","1063","57"
"27","1091","57"
"27","1216","57"
"27","1151","57"
"27","1138","57"
"27","1123","57"
"27","1122","57"
"27","1020","57"
"27","1019","57"
"27","1028","57"
"27","1042","57"
"27","1037","57"
"28","1096","466"
"28","1016","66"
"28","1096","479"
"28","1084","114"
"28","1084","130"
"28","1084","68"
"28","1084","479"
"28","1084","61"
"28","1084","112"
"28","1084","86"
"28","1084","77"
"28","1084","115"
"28","1084","59"
"28","1084","81"
"28","1084","79"
"28","1084","105"
"28","1084","204"
"28","1053","66"
"28","1046","479"
"28","1054","61"
"28","1084","466"
"28","1084","192"
"28","1084","66"
"28","1084","170"
"28","1084","475"
"28","1084","180"
"28","1084","148"
"28","1071","59"
"28","1063","148"
"28","1063","66"
"28","1063","81"
"28","1063","130"
"28","1063","115"
"28","1063","79"
"28","1063","105"
"28","1063","86"
"28","1063","59"
"28","1063","204"
"28","1063","112"
"28","1063","170"
"28","1095","479"
"28","1150","479"
"28","1145","479"
"28","1085","466"
"28","1088","59"
"28","1085","130"
"28","1172","112"
"28","1160","59"
"28","1205","59"
"28","1189","112"
"28","1176","105"
"28","1210","157"
"28","1210","170"
"28","1210","466"
"28","1138","105"
"28","1210","114"
"28","1210","479"
"28","1210","130"
"28","1138","81"
"28","1138","59"
"28","1138","86"
"28","1138","73"
"28","1136","479"
"28","1138","79"
"28","1138","68"
"28","1028","105"
"28","1028","81"
"28","1028","86"
"28","1028","59"
"28","1028","73"
"28","1028","129"
"28","1028","112"
"28","1028","204"
"28","1028","479"
"28","1210","115"
"28","1210","192"
"28","1139","86"
"28","1024","479"
"28","1055","192"
"28","1015","204"
"28","1017","59"
"28","1003","61"
"28","1014","204"
"28","1028","68"
"28","1028","115"
"28","1028","79"
"28","1028","130"
"28","1028","180"
"28","1028","192"
"28","1028","114"
"28","1044","479"
"28","1036","129"
"28","1036","105"
"28","1036","204"
"28","1036","61"
"28","1036","124"
"28","1034","61"
"28","1032","105"
"28","1055","111"
"29","1084","61"
"29","1054","61"
"29","1003","61"
"29","1036","61"
"29","1034","61"
"30","1016","66"
"30","1053","66"
"30","1084","66"
"30","1063","66"
"31","1055","111"
"32","1096","466"
"32","1084","466"
"32","1085","466"
"32","1210","466"
"32","1055","111"
"33","1055","111"
"34","1055","111"
"35","1055","111"
"36","1084","112"
"36","1063","112"
"36","1172","112"
"36","1189","112"
"36","1028","112"
"38","1096","466"
"38","1099","205"
"38","1101","205"
"38","1110","205"
"38","1084","466"
"38","1066","205"
"38","1065","205"
"38","1068","205"
"38","1073","205"
"38","1072","205"
"38","1064","205"
"38","1089","205"
"38","1148","205"
"38","1147","205"
"38","1085","466"
"38","1087","205"
"38","1086","205"
"38","1210","157"
"38","1210","466"
"38","1210","205"
"38","1028","476"
"38","1142","205"
"38","1028","205"
"38","1041","205"
"38","1040","205"
"38","1036","205"
"39","1084","197"
"39","1221","197"
"39","1210","197"
"40","1096","466"
"40","1112","201"
"40","1111","201"
"40","1118","201"
"40","1058","201"
"40","1062","201"
"40","1084","466"
"40","1084","201"
"40","1075","201"
"40","1080","201"
"40","1063","201"
