SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"1","63","1","1"
"1","63","479","717"
"1","63","479","536"
"1","63","479","537"
"1","63","479","632"
"1","64","1","1"
"1","64","479","999"
"1","65","1","1"
"1","65","479","693"
"1","66","1","3"
"1","66","479","554"
"1","68","7","7"
"1","68","7","7"
"1","68","479","749"
"1","68","479","773"
"1","68","479","693"
"1","68","479","694"
"1","68","479","674"
"1","68","479","685"
"1","68","479","999"
"1","68","479","971"
"1","68","479","584"
"1","68","479","384"
"1","68","479","452"
"1","68","479","447"
"1","69","7","9"
"1","71","479","534"
"1","71","479","536"
"1","73","479","717"
"1","73","479","536"
"1","73","479","537"
"1","77","479","632"
"1","77","10","19"
"1","78","10","20"
"1","84","479","831"
"1","89","479","584"
"1","89","479","386"
"1","105","479","694"
"1","117","479","448"
"1","122","479","554"
"1","125","479","386"
"1","157","479","384"
"1","178","479","717"
"1","179","479","717"
"2","64","479","548"
"2","64","130","77"
"2","65","479","692"
"2","65","479","691"
"2","65","479","690"
"2","65","130","67"
"2","66","479","555"
"2","67","1","6"
"2","68","479","829"
"2","68","479","978"
"2","68","479","966"
"2","68","479","959"
"2","68","130","298"
"2","69","130","217"
"2","73","479","746"
"2","73","479","353"
"2","81","479","888"
"2","81","479","659"
"2","81","479","462"
"2","81","130","203"
"2","83","479","826"
"2","83","479","820"
"2","83","479","950"
"2","83","479","874"
"2","83","130","192"
"2","83","30","30"
"2","83","130","130"
"2","83","130","71"
"2","84","479","723"
"2","84","479","995"
"2","84","479","810"
"2","84","479","804"
"2","84","479","962"
"2","84","479","953"
"2","84","479","562"
"2","84","479","364"
"2","84","130","224"
"2","84","130","163"
"2","84","130","167"
"2","84","130","172"
"2","84","30","33"
"2","84","30","31"
"2","86","130","185"
"2","86","30","33"
"2","86","130","93"
"2","87","130","275"
"2","87","130","89"
"2","88","479","364"
"2","88","130","134"
"2","89","479","607"
"2","89","130","138"
"2","89","130","136"
"2","91","130","300"
"2","91","130","93"
"2","93","130","306"
"2","93","130","273"
"2","94","479","562"
"2","94","130","79"
"2","95","479","532"
"2","95","130","113"
"2","96","130","217"
"2","96","130","224"
"2","96","130","239"
"2","96","130","303"
"2","96","130","277"
"2","96","130","116"
"2","96","130","121"
"2","96","130","69"
"2","96","130","67"
"2","97","130","185"
"2","97","130","93"
"2","97","130","67"
"2","97","130","85"
"2","100","479","953"
"2","102","130","69"
"2","103","130","77"
"2","103","130","71"
"2","105","479","690"
"2","105","479","820"
"2","105","479","570"
"2","105","479","355"
"2","105","130","77"
"2","106","130","147"
"2","106","130","93"
"2","107","130","87"
"2","107","130","132"
"2","108","130","205"
"2","108","130","229"
"2","108","130","230"
"2","108","130","248"
"2","108","130","296"
"2","108","130","83"
"2","109","479","725"
"2","109","479","791"
"2","109","479","810"
"2","109","479","962"
"2","109","130","147"
"2","110","130","205"
"2","118","479","956"
"2","118","130","132"
"2","119","479","771"
"2","119","479","995"
"2","119","479","462"
"2","119","130","273"
"2","119","130","138"
"2","121","479","609"
"2","121","130","217"
"2","121","130","235"
"2","121","130","237"
"2","121","130","160"
"2","121","130","178"
"2","125","479","492"
"2","125","130","208"
"2","125","130","163"
"2","126","130","162"
"2","127","479","588"
"2","127","479","415"
"2","127","130","163"
"2","129","130","167"
"2","130","479","499"
"2","130","130","165"
"2","131","130","183"
"2","131","130","306"
"2","131","130","264"
"2","131","130","252"
"2","132","130","185"
"2","133","479","580"
"2","136","479","695"
"2","136","479","680"
"2","136","479","677"
"2","136","479","688"
"2","136","479","580"
"2","136","479","670"
"2","136","130","246"
"2","136","130","298"
"2","137","479","718"
"2","137","130","248"
"2","139","479","810"
"2","139","479","355"
"2","140","479","457"
"2","140","130","306"
"2","140","130","266"
"2","145","130","298"
"2","145","130","300"
"2","147","130","300"
"2","148","130","301"
"2","157","479","585"
"2","169","479","978"
"2","169","479","497"
"2","171","479","653"
"2","175","479","607"
"2","177","479","653"
"2","181","479","843"
"2","183","479","944"
"3","63","8","11"
"3","70","8","11"
"3","71","8","11"
"4","72","8","12"
"4","72","30","44"
"4","73","30","44"
"4","73","8","15"
"4","73","8","16"
"4","74","8","16"
"4","77","30","44"
"4","92","30","44"
"5","72","8","14"
"5","73","8","14"
"6","75","9","18"
"6","76","9","18"
"8","79","11","24"
"8","80","11","24"
"10","64","30","28"
"10","81","30","28"
