"SOURCE NODE ID","TARGET NODE ID","SCENE ID","DIALOGUE ID"
"63","64","1","1"
"64","65","1","1"
"63","65","1","1"
"70","63","8","11"
"70","71","8","11"
"63","71","8","11"
"73","72","8","14"
"74","73","8","16"
"76","75","9","18"
"79","80","11","24"
"81","64","30","28"
"64","82","30","28"
"81","82","30","28"
"84","86","30","33"
"88","87","30","42"
"89","87","30","42"
"88","89","30","42"
"75","64","30","43"
"90","64","30","43"
"76","64","30","43"
"91","64","30","43"
"90","75","30","43"
"76","75","30","43"
"76","90","30","43"
"90","91","30","43"
"76","91","30","43"
"75","91","30","43"
"92","72","30","44"
"77","72","30","44"
"77","73","30","44"
"72","73","30","44"
"92","73","30","44"
"92","77","30","44"
"97","96","31","67"
"65","96","31","67"
"65","97","31","67"
"102","96","31","69"
"103","83","31","71"
"105","64","31","77"
"103","64","31","77"
"103","105","31","77"
"106","86","31","93"
"86","91","31","93"
"106","91","31","93"
"91","97","31","93"
"86","97","31","93"
"106","97","31","93"
"118","107","31","132"
"119","89","31","138"
"109","106","31","147"
"127","84","31","163"
"84","125","31","163"
"127","125","31","163"
"129","84","31","167"
"97","86","31","185"
"86","132","31","185"
"97","132","31","185"
"110","108","34","205"
"69","96","36","217"
"121","96","36","217"
"69","121","36","217"
"84","96","41","224"
"108","137","48","248"
"119","93","49","273"
"136","68","51","298"
"145","68","51","298"
"136","145","51","298"
"147","91","51","300"
"147","145","51","300"
"91","145","51","300"
"93","131","53","306"
"140","131","53","306"
"93","140","53","306"
"153","124","59","343"
"152","124","59","343"
"93","124","59","343"
"153","152","59","343"
"93","152","59","343"
"93","153","59","343"
"73","153","59","345"
"73","91","59","348"
"139","105","59","355"
"84","73","59","362"
"88","84","60","364"
"157","68","64","384"
"89","125","64","386"
"104","91","77","413"
"104","118","77","413"
"91","118","77","413"
"104","94","79","416"
"70","161","81","421"
"104","118","81","423"
"162","94","84","425"
"70","162","84","429"
"93","158","84","431"
"109","98","86","456"
"158","98","86","456"
"109","158","86","456"
"98","140","105","458"
"81","119","105","462"
"109","127","105","468"
"137","152","111","477"
"93","165","111","480"
"129","73","111","485"
"129","80","111","485"
"88","80","111","485"
"73","80","111","485"
"129","88","111","485"
"73","88","111","485"
"71","63","111","536"
"71","73","111","536"
"63","73","111","536"
"63","73","111","537"
"66","122","111","554"
"84","94","111","562"
"136","133","111","580"
"89","68","111","584"
"66","94","111","598"
"158","173","111","601"
"174","79","111","606"
"89","175","111","607"
"77","63","112","632"
"115","89","114","638"
"87","143","115","648"
"177","171","115","653"
"65","105","128","690"
"65","68","128","693"
"105","68","128","694"
"179","63","148","717"
"179","73","148","717"
"63","73","148","717"
"178","73","148","717"
"179","178","148","717"
"63","178","148","717"
"89","73","148","722"
"84","73","148","722"
"122","73","148","722"
"89","84","148","722"
"89","122","148","722"
"84","122","148","722"
"94","143","148","729"
"81","157","157","754"
"63","73","157","757"
"63","152","157","757"
"73","152","157","757"
"64","73","170","767"
"95","123","192","784"
"74","95","197","796"
"95","141","197","796"
"74","141","197","796"
"109","116","204","809"
"109","84","204","810"
"84","139","204","810"
"109","139","204","810"
"140","89","204","813"
"83","105","205","820"
"100","84","466","953"
"109","84","466","962"
"68","169","466","978"
"84","119","479","995"
"64","68","479","999"
