"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"186","1119","1--7"
"186","1119","1--7"
"186","1213","1--7"
"186","1213","1--7"
"186","1021","1--7"
"186","1028","1--7"
"186","1028","1--7"
"186","1025","1--7"
"186","1025","1--7"
"186","1021","1--7"
"186","1027","1--7"
"186","1027","1--7"
"186","1010","1--7"
"186","1010","1--7"
"186","1009","1--7"
"186","1009","1--7"
"186","1008","1--7"
"186","1008","1--7"
"186","1033","1--7"
"186","1033","1--7"
"186","1036","1--7"
"186","1036","1--7"
"186","1050","1--7"
"186","1050","1--7"
"186","1098","1--7"
"186","1098","1--7"
"186","1108","1--7"
"186","1108","1--7"
"186","1100","1--7"
"186","1100","1--7"
"186","1126","1--7"
"186","1125","1--7"
"186","1125","1--7"
"186","1128","1--7"
"186","1128","1--7"
"186","1137","1--7"
"186","1137","1--7"
"186","1126","1--7"
"186","1036","1"
"186","1140","1"
"186","1210","7"
"187","1119","1--7"
"187","1213","1--7"
"187","1084","182--188"
"187","1084","182--188"
"187","1028","182--188"
"187","1028","182--188"
"187","1063","170--180"
"187","1063","170--180"
"187","1063","170--180"
"187","1028","170--180"
"187","1028","170--180"
"187","1028","170--180"
"187","1084","170--180"
"187","1084","170--180"
"187","1084","170--180"
"187","1028","157--164"
"187","1210","157--164"
"187","1084","81--84"
"187","1084","91--93"
"187","1138","91--93"
"187","1084","89--91"
"187","1138","89--91"
"187","1028","91--93"
"187","1071","61--63"
"187","1084","61--63"
"187","1003","61--63"
"187","1017","61--63"
"187","1018","61--63"
"187","1021","1--7"
"187","1028","284--287"
"187","1028","1--7"
"187","1025","1--7"
"187","1027","1--7"
"187","1009","1--7"
"187","1008","1--7"
"187","1010","1--7"
"187","1033","1--7"
"187","1036","1--7"
"187","1050","1--7"
"187","1085","232--237"
"187","1137","1--7"
"187","1085","232--237"
"187","1098","1--7"
"187","1028","237--239"
"187","1012","207--210"
"187","1013","207--210"
"187","1108","1--7"
"187","1214","232--237"
"187","1214","232--237"
"187","1100","1--7"
"187","1106","207--210"
"187","1127","207--210"
"187","1126","1--7"
"187","1051","207--210"
"187","1125","1--7"
"187","1052","207--210"
"187","1128","1--7"
"187","1045","201--203"
"187","1083","201--203"
"187","1208","207--210"
"187","1207","207--210"
"187","1081","201--203"
"187","1082","201--203"
"187","1103","201--203"
"187","1102","201--203"
"187","1145","476--479"
"187","1150","476--479"
"187","1044","476--479"
"187","1046","476--479"
"187","1048","476--479"
"187","1210","476--479"
"187","1023","476--479"
"187","1028","476--479"
"187","1138","51"
"187","1036","51"
"187","1028","51"
"188","1213","1--7"
"188","1021","1--7"
"188","1025","1--7"
"188","1027","1--7"
"188","1028","1--7"
"188","1009","1--7"
"188","1008","1--7"
"188","1010","1--7"
"188","1100","1--7"
"188","1033","1--7"
"188","1162","26"
"188","1186","26"
"188","1187","26"
"188","1036","18"
"188","1119","1--7"
"188","1128","1--7"
"188","1125","1--7"
"188","1126","1--7"
"188","1108","1--7"
"188","1098","1--7"
"188","1137","1--7"
"188","1050","1--7"
"188","1036","1--7"
"189","1213","1--7"
"189","1021","1--7"
"189","1025","1--7"
"189","1027","1--7"
"189","1028","1--7"
"189","1009","1--7"
"189","1050","1--7"
"189","1008","1--7"
"189","1010","1--7"
"189","1100","1--7"
"189","1033","1--7"
"189","1036","1--7"
"189","1137","1--7"
"189","1098","1--7"
"189","1108","1--7"
"189","1126","1--7"
"189","1125","1--7"
"189","1128","1--7"
"189","1119","1--7"
"190","1039","8"
"190","1038","8"
"190","1206","8"
"190","1078","8"
"190","1141","8"
"191","1059","9"
"191","1060","9"
"191","1069","9"
"191","1210","9"
"194","1210","12--14"
"194","1144","12--14"
"194","1002","12--14"
"194","1057","12--14"
"194","1001","12--14"
"194","1210","14"
"196","1144","16"
"196","1070","16"
"196","1210","16"
"197","1036","19"
"199","1036","28"
"199","1219","24--26"
"199","1153","24--26"
"199","1218","24--26"
"199","1026","24--26"
"199","1170","24--26"
"199","1084","24--26"
"203","1036","29"
"203","1028","29"
"203","1109","29"
"204","1210","30"
"204","1036","30"
"204","1028","33"
"204","1028","30"
"205","1090","31"
"205","1028","31"
"205","1109","31"
"206","1028","31--33"
"206","1109","31--33"
"206","1061","50"
"206","1225","50"
"206","1076","50"
"206","1134","50"
"206","1055","50"
"206","1028","34"
"206","1113","50"
"206","1114","50"
"206","1097","50"
"207","1090","34--36"
"207","1109","34--36"
"207","1028","34--36"
"208","1090","36"
"208","1109","36"
"213","1036","41"
"213","1028","41"
"214","1036","42"
"214","1028","42"
"216","1036","45"
"216","1028","45"
"217","1036","46"
"218","1084","81--84"
"218","1055","247--255"
"218","1055","247--255"
"218","1028","247--255"
"218","1028","247--255"
"218","1110","247--255"
"218","1110","247--255"
"218","1222","247--255"
"218","1197","247--255"
"218","1197","247--255"
"218","1085","232--237"
"218","1222","247--255"
"218","1214","232--237"
"218","1028","395--402"
"218","1182","367--369"
"218","1214","395--402"
"218","1110","395--402"
"218","1209","244"
"218","1210","244"
"218","1138","47"
"218","1055","381"
"218","1055","203"
"218","1055","101"
"218","1055","87"
"218","1055","111"
"218","1006","87"
"218","1005","87"
"218","1028","47"
"219","1036","54"
"219","1036","48"
"219","1036","49"
"219","1210","49"
"219","1138","48"
"219","1138","53"
"219","1138","49"
"219","1138","54"
"219","1028","48"
"219","1028","54"
"219","1028","53"
"219","1028","49"
"220","1084","114"
"220","1094","52"
"220","1093","52"
"220","1092","52"
"220","1077","52"
"220","1210","52"
"220","1210","114"
"220","1028","52"
"220","1028","114"
"221","1084","55"
"221","1036","64"
"221","1036","58"
"221","1196","64"
"221","1184","55"
"221","1185","71"
"221","1167","71"
"221","1169","55"
"221","1166","71"
"221","1160","55"
"221","1138","56"
"221","1138","60"
"221","1138","55"
"221","1036","55"
"221","1036","56"
"221","1028","56"
"221","1028","55"
