SOURCE NODE ID,TARGET NODE ID,SCENE ID
"1","163","3"
"1","166","84"
"1","167","108"
"1","174","17"
"1","180","24"
"1","185","145"
"1","208","130"
"1","208","185"
"1","208","246"
"1","209","118"
"1","211","141"
"1","211","143"
"1","225","148"
"1","253","197"
"1","282","275"
"2","163","3"
"2","165","9"
"2","166","6"
"2","166","25"
"2","166","84"
"2","167","7"
"2","167","108"
"2","169","10"
"2","174","17"
"2","178","21"
"2","180","24"
"2","185","145"
"2","199","77"
"2","208","130"
"2","208","185"
"2","208","246"
"2","209","118"
"2","225","148"
"2","253","197"
"3","163","3"
"3","166","6"
"3","166","25"
"3","166","84"
"3","167","108"
"4","166","6"
"4","166","25"
"4","166","84"
"4","167","7"
"4","167","108"
"4","180","24"
"4","185","145"
"4","199","77"
"4","208","130"
"4","208","185"
"4","208","246"
"4","209","118"
"4","253","197"
"5","165","9"
"5","166","25"
"5","167","108"
"5","168","8"
"5","173","14"
"5","180","24"
"5","185","145"
"5","208","130"
"5","208","185"
"5","208","246"
"5","209","118"
"5","225","148"
"5","253","197"
"6","165","9"
"6","167","108"
"6","169","10"
"7","169","10"
"8","173","14"
"9","166","84"
"9","173","14"
"10","174","17"
"10","253","197"
"11","167","108"
"11","177","19"
"11","178","21"
"12","166","84"
"12","167","108"
"12","180","24"
"13","166","25"
"13","166","84"
"14","166","84"
"14","185","145"
"14","208","185"
"14","208","246"
"14","253","197"
"15","166","84"
"16","166","84"
"16","185","145"
"16","208","185"
"16","208","246"
"16","253","197"
"17","166","84"
"18","166","84"
"19","166","84"
"20","166","84"
"20","167","108"
"21","166","84"
"22","166","84"
"22","167","108"
"23","166","84"
"24","166","84"
"25","166","84"
"25","167","108"
"26","166","84"
"26","167","108"
"26","209","118"
"27","166","84"
"28","167","108"
"29","167","108"
"30","208","130"
"30","208","246"
"31","225","148"
"32","208","185"
"32","225","148"
"33","208","185"
"33","253","197"
"34","208","185"
"35","208","185"
"35","253","197"
"36","208","185"
"36","253","197"
"37","253","197"
"38","253","197"
"39","208","246"
"39","253","197"
"40","253","197"
"41","253","197"
"42","253","197"
"43","208","246"
"43","253","197"
"44","253","197"
"45","253","197"
"46","208","246"
