"SOURCE NODE ID","TARGET NODE ID","SCENE ID","DIALOGUE ID"
"1","256","222","782"
"1","254","15","630"
"1","232","15","151"
"1","254","15","347"
"1","234","187","622"
"1","240","148","425"
"1","254","15","97"
"1","249","15","217"
"1","232","16","88"
"1","253","15","156"
"1","241","148","425"
"1","254","15","437"
"1","254","15","427"
"1","241","192","640"
"1","233","222","780"
"1","242","15","824"
"1","232","15","431"
"1","249","15","204"
"1","244","15","622"
"1","242","15","479"
"1","254","15","425"
"1","252","108","270"
"1","253","80","225"
"1","253","132","321"
"1","164","148","425"
"1","60","150","437"
"1","161","132","321"
"1","84","59","204"
"1","53","15","270"
"1","160","15","788"
"1","56","146","363"
"1","56","146","363"
"1","56","146","363"
"1","56","146","363"
"1","72","15","835"
"1","172","132","321"
"1","129","15","217"
"1","171","246","833"
"1","216","84","231"
"1","129","15","481"
"1","152","148","425"
"1","164","148","427"
"1","205","15","481"
"1","120","189","627"
"1","84","80","225"
"1","217","2","6"
"1","185","132","321"
"1","186","148","425"
"1","155","15","321"
"1","152","15","437"
"1","208","15","151"
"1","88","15","479"
"1","164","148","425"
"1","182","15","348"
"1","87","15","273"
"1","173","146","373"
"1","173","146","373"
"1","173","146","373"
"1","173","146","373"
"1","191","143","346"
"1","138","144","359"
"1","53","15","271"
"1","97","15","320"
"1","57","157","481"
"1","140","2","5"
"1","56","15","365"
"1","140","85","232"
"1","199","15","206"
"1","205","15","479"
"1","141","48","195"
"1","60","16","88"
"1","53","15","323"
"1","199","15","202"
"1","131","2","5"
"1","160","15","802"
"1","217","47","193"
"1","87","15","86"
"1","174","15","373"
"1","70","54","197"
"1","62","148","425"
"1","53","15","274"
"1","207","212","759"
"1","130","15","357"
"1","143","132","321"
"1","177","15","567"
"1","87","132","321"
"1","124","175","567"
"1","153","221","778"
"1","173","146","363"
"1","173","146","363"
"1","173","146","363"
"1","173","146","363"
"1","53","15","325"
"1","160","15","624"
"1","53","15","370"
"1","120","248","836"
"1","153","148","425"
"1","184","15","346"
"1","134","187","622"
"1","87","15","93"
"1","199","15","197"
"1","203","15","361"
"1","199","59","204"
"1","53","15","268"
"1","141","85","232"
"1","60","235","822"
"1","76","15","565"
"1","152","143","347"
"1","164","2","5"
"1","108","152","443"
"1","53","15","380"
"1","160","15","637"
"1","53","15","329"
"1","114","143","347"
"1","111","148","429"
"1","183","15","833"
"1","160","15","563"
"1","87","15","318"
"1","132","15","197"
"1","72","15","154"
"1","161","2","3"
"1","122","144","361"
"1","114","212","759"
"1","101","2","1"
"1","152","149","431"
"1","215","45","190"
"1","53","15","640"
"1","129","15","328"
"1","53","15","324"
"1","152","15","375"
"1","217","59","204"
"1","138","146","363"
"1","138","146","363"
"1","138","146","363"
"1","138","146","363"
"1","116","54","199"
"1","216","133","322"
"1","190","143","346"
"1","53","15","327"
"1","130","144","359"
"1","127","168","526"
"1","60","222","786"
"1","160","15","787"
"1","160","187","622"
"1","211","15","197"
"1","134","2","1"
"1","184","149","431"
"1","207","148","425"
"1","127","146","363"
"1","127","146","363"
"1","127","146","363"
"1","127","146","363"
"1","77","59","204"
"1","129","132","321"
"1","122","187","622"
"1","184","148","425"
"1","49","132","321"
"1","191","150","437"
"1","53","15","326"
"1","190","133","322"
"1","62","47","191"
"1","191","54","199"
"1","64","54","199"
"1","136","222","788"
"1","168","187","622"
"1","206","30","153"
"1","199","15","225"
"1","111","149","431"
"1","182","143","347"
"1","190","144","359"
"1","77","48","194"
"1","48","152","443"
"1","147","171","531"
"1","82","15","275"
"1","87","15","95"
"1","56","132","321"
"1","168","192","640"
"1","129","15","831"
"1","118","15","204"
"1","122","146","375"
"1","122","146","375"
"1","122","146","375"
"1","122","146","375"
"1","53","15","368"
"1","53","15","322"
"1","135","15","622"
"1","184","148","429"
"1","152","148","429"
"1","174","15","524"
"1","115","2","3"
"1","120","148","425"
"1","116","192","640"
"1","147","222","782"
"1","111","234","820"
"2","252","87","237"
"2","247","154","460"
"2","256","23","113"
"2","239","193","651"
"2","245","97","250"
"2","236","147","398"
"2","245","175","551"
"2","245","100","255"
"2","245","154","465"
"2","239","179","587"
"2","245","31","155"
"2","240","8","49"
"2","245","23","124"
"2","247","117","286"
"2","245","178","574"
"2","252","179","587"
"2","252","179","581"
"2","155","179","585"
"2","128","140","334"
"2","163","207","721"
"2","102","154","466"
"2","128","119","292"
"2","122","24","127"
"2","182","5","11"
"2","129","6","40"
"2","164","175","557"
"2","194","147","383"
"2","134","97","250"
"2","162","174","545"
"2","134","19","101"
"2","161","2","4"
"2","128","196","669"
"2","128","87","237"
"2","138","147","386"
"2","161","5","11"
"2","89","5","17"
"2","126","5","15"
"2","199","19","101"
"2","87","16","92"
"2","56","97","250"
"2","134","102","259"
"2","122","193","651"
"2","61","6","26"
"2","200","175","553"
"2","77","23","124"
"2","57","22","105"
"2","91","8","55"
"2","86","2","4"
"2","138","179","588"
"2","207","5","11"
"2","114","140","336"
"2","72","119","292"
"2","135","5","17"
"2","138","207","721"
"2","56","2","4"
"2","191","107","267"
"2","77","114","278"
"2","156","193","656"
"2","57","16","96"
"2","135","4","9"
"2","156","175","557"
"2","218","201","706"
"2","156","175","553"
"2","156","193","649"
"2","173","183","608"
"2","127","4","9"
"2","167","154","457"
"2","191","207","721"
"2","154","31","155"
"2","114","193","649"
"2","218","97","250"
"2","156","179","581"
"2","201","2","4"
"2","207","19","101"
"2","159","87","237"
"2","224","175","549"
"2","154","16","92"
"2","140","5","13"
"2","179","193","656"
"2","216","5","15"
"2","163","200","694"
"2","71","31","155"
"2","189","107","267"
"2","222","154","471"
"2","191","164","500"
"2","95","147","396"
"2","72","4","8"
"2","222","142","345"
"2","170","175","555"
"2","129","179","588"
"2","93","175","560"
"2","172","174","543"
"2","48","147","398"
"2","159","5","15"
"2","122","9","70"
"2","209","2","4"
"2","158","184","610"
"2","164","23","108"
"2","60","16","98"
"2","122","179","588"
"2","137","9","73"
"2","156","200","694"
"2","200","147","400"
"2","66","175","553"
"2","206","115","280"
"2","175","8","55"
"2","114","174","547"
"2","87","16","98"
"2","122","201","706"
"2","147","8","63"
"2","78","154","468"
"2","106","142","343"
"2","168","207","724"
"2","56","8","45"
"2","162","164","500"
"2","136","207","724"
"2","210","23","124"
"2","195","184","610"
"2","56","4","9"
"2","72","207","724"
"2","57","16","98"
"2","216","6","34"
"2","128","100","255"
"3","235","32","160"
"3","235","32","160"
"3","235","32","160"
"3","235","32","160"
"3","214","25","134"
"3","134","5","10"
"3","51","5","14"
"3","207","5","12"
"3","129","5","18"
"3","168","23","120"
"3","136","5","16"
"3","215","24","128"
"3","94","5","14"
"3","90","5","18"
"3","126","5","18"
"3","73","73","218"
"4","239","193","650"
"4","251","6","39"
"4","247","118","287"
"4","245","90","242"
"4","242","201","693"
"4","235","34","172"
"4","235","34","172"
"4","235","34","172"
"4","235","34","172"
"4","235","90","242"
"4","241","212","744"
"4","236","147","399"
"4","239","175","558"
"4","156","175","552"
"4","198","154","456"
"4","48","24","130"
"4","224","175","550"
"4","127","90","242"
"4","216","34","172"
"4","216","34","172"
"4","216","34","172"
"4","216","34","172"
"4","160","147","389"
"4","159","23","109"
"4","78","154","470"
"4","156","225","798"
"4","134","6","27"
"4","99","23","116"
"4","162","164","503"
"4","179","201","709"
"4","134","120","295"
"4","130","6","35"
"4","148","121","301"
"4","112","154","458"
"4","95","147","395"
"4","73","212","744"
"4","200","147","389"
"4","230","6","25"
"4","156","193","650"
"4","164","193","648"
"4","158","6","35"
"4","168","225","798"
"4","103","34","174"
"4","103","34","174"
"4","103","34","174"
"4","103","34","174"
"4","122","180","592"
"4","134","210","741"
"4","94","147","389"
"4","106","142","344"
"4","57","154","458"
"4","99","226","799"
"4","133","23","116"
"4","134","5","23"
"5","232","15","540"
"5","242","147","406"
"5","240","7","41"
"5","240","15","755"
"5","235","15","238"
"5","245","103","261"
"5","238","119","289"
"5","245","212","755"
"5","250","8","50"
"5","252","15","82"
"5","251","15","752"
"5","245","200","689"
"5","241","76","223"
"5","233","232","818"
"5","240","15","727"
"5","232","15","82"
"5","206","140","337"
"5","168","15","64"
"5","121","15","74"
"5","206","102","260"
"5","53","15","74"
"5","53","15","754"
"5","168","15","103"
"5","61","15","755"
"5","168","15","82"
"5","168","15","223"
"5","206","8","56"
"5","134","174","540"
"5","194","147","382"
"5","211","15","828"
"5","56","15","505"
"5","114","8","64"
"5","163","154","450"
"5","169","15","505"
"5","212","15","509"
"5","56","15","828"
"5","72","15","720"
"5","48","140","335"
"5","230","15","775"
"5","77","162","499"
"5","181","15","828"
"5","162","117","284"
"5","67","15","540"
"5","53","15","104"
"5","160","15","77"
"5","53","15","223"
"5","129","15","689"
"5","184","15","770"
"5","218","15","252"
"5","56","8","50"
"5","121","7","41"
"5","206","147","382"
"5","162","231","816"
"5","146","15","509"
"5","55","15","818"
"5","121","15","727"
"5","206","21","103"
"5","146","15","126"
"5","79","15","818"
"5","206","122","302"
"5","134","212","749"
"5","53","15","77"
"5","216","154","455"
"5","206","147","406"
"5","218","15","722"
"5","96","15","771"
"5","145","15","817"
"5","72","15","828"
"5","53","15","828"
"5","160","15","64"
"5","145","15","771"
"5","223","7","42"
"5","206","152","445"
"5","176","15","771"
"5","203","15","382"
"5","107","8","44"
"5","180","174","542"
"5","53","15","81"
"5","171","179","583"
"5","114","8","62"
"5","56","15","251"
"5","162","119","289"
"5","206","181","601"
"5","223","103","261"
"5","72","15","727"
"5","129","15","103"
"5","72","15","540"
"5","107","15","62"
"5","92","240","828"
"5","129","15","223"
"5","184","15","404"
"5","203","15","455"
"5","206","140","335"
"5","163","174","540"
"5","53","15","64"
"5","206","8","62"
"5","219","15","677"
"5","72","15","715"
"5","102","15","542"
"5","53","15","767"
"5","160","8","48"
"5","145","15","828"
"5","56","8","44"
"5","53","15","381"
"5","72","15","757"
"5","190","8","44"
"5","54","15","302"
"5","168","8","50"
"5","79","15","767"
"5","60","15","82"
"5","115","240","828"
"5","140","164","505"
"5","143","15","77"
"5","67","15","260"
"5","184","15","382"
"5","107","15","119"
"5","107","15","315"
"5","206","24","126"
"5","54","15","337"
"5","109","15","771"
"5","218","15","720"
"5","213","164","509"
"5","79","15","770"
"5","91","8","56"
"5","48","147","382"
"5","145","15","289"
"5","147","119","289"
"5","160","8","50"
"5","69","7","41"
"5","107","8","56"
"5","53","15","82"
"5","206","147","404"
"5","54","15","499"
"5","206","117","284"
"5","230","180","591"
"5","168","15","75"
"6","191","8","65"
"6","98","9","69"
"6","238","9","67"
"8","134","14","76"
"8","80","14","76"
"8","207","15","76"
"8","206","14","76"
"9","139","15","78"
"9","75","15","78"
"9","206","15","79"
"10","254","15","87"
"10","242","15","633"
"10","232","15","628"
"10","242","15","639"
"10","254","15","626"
"10","166","190","633"
"10","87","16","87"
"10","87","15","85"
"10","127","16","87"
"10","226","150","435"
"10","168","15","83"
"10","152","15","87"
