DIALOGUE ID,START TIME,END TIME
"1","00:03:33","00:03:37"
"2","00:03:35","00:03:39"
"3","00:03:37","00:03:42"
"4","00:03:39","00:03:47"
"5","00:03:45","00:03:51"
"6","00:03:49","00:03:51"
"7","00:03:49","00:03:51"
"8","00:03:49","00:03:51"
"9","00:03:49","00:03:51"
"10","00:03:49","00:03:51"
"11","00:03:49","00:03:51"
"12","00:03:49","00:03:51"
"13","00:03:49","00:03:51"
"14","00:03:49","00:03:51"
"15","00:03:51","00:03:54"
"16","00:03:51","00:03:54"
"17","00:03:51","00:03:54"
"18","00:03:51","00:05:41"
"19","00:05:41","00:05:42"
"20","00:05:41","00:05:52"
"21","00:05:53","00:05:54"
"22","00:05:53","00:06:00"
"23","00:05:57","00:06:00"
"24","00:06:05","00:06:09"
"25","00:06:05","00:06:09"
"26","00:06:05","00:06:12"
"27","00:06:12","00:06:14"
"28","00:06:12","00:06:14"
"29","00:06:12","00:06:14"
"30","00:06:16","00:06:19"
"31","00:06:16","00:06:21"
"32","00:06:19","00:06:25"
"33","00:06:21","00:06:29"
"34","00:06:25","00:06:31"
"35","00:06:29","00:06:31"
"36","00:06:31","00:06:34"
"37","00:06:37","00:06:39"
"38","00:06:37","00:06:43"
"39","00:06:43","00:06:46"
"40","00:06:43","00:06:48"
"41","00:06:49","00:07:00"
"42","00:07:00","00:07:02"
"43","00:07:02","00:07:05"
"44","00:07:05","00:07:07"
"45","00:07:05","00:07:07"
"46","00:07:07","00:07:09"
"47","00:07:07","00:07:09"
"48","00:07:07","00:07:12"
"49","00:07:12","00:07:14"
"50","00:07:12","00:07:19"
"51","00:07:17","00:07:19"
"52","00:07:20","00:07:22"
"53","00:07:20","00:07:22"
"54","00:07:20","00:07:22"
"55","00:07:22","00:07:24"
"56","00:07:22","00:07:24"
"57","00:07:22","00:07:24"
"58","00:07:26","00:07:31"
"59","00:07:31","00:07:33"
"60","00:07:31","00:07:36"
"61","00:07:33","00:07:36"
"62","00:07:33","00:07:39"
"63","00:07:39","00:07:41"
"64","00:07:41","00:07:46"
"65","00:07:56","00:08:01"
"66","00:07:58","00:08:01"
"67","00:07:58","00:08:03"
"68","00:08:01","00:08:06"
"69","00:08:03","00:08:06"
"70","00:08:06","00:08:08"
"71","00:08:06","00:08:08"
"72","00:08:13","00:08:15"
"73","00:08:15","00:08:18"
"74","00:10:35","00:10:40"
"75","00:10:37","00:10:40"
"76","00:10:37","00:10:40"
