"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","LUKE","[196,52,147,31,150,29,47,112,54,42,2,15,16,247,246,108,85,221,158,248,122,244,133,148,30,134,83,187,45,212,235,152,80,22,144,189,175,151,222,71,234,84,41,107,171,168,111,135,227,157,48,143,146,188,176,59,149,132,192,190]","[427,822,93,231,802,97,377,190,5,227,567,204,826,380,431,571,531,86,483,151,321,831,643,786,184,346,319,84,784,632,675,365,196,565,634,437,275,1,347,88,526,6,197,355,522,229,274,569,153,778,322,363,820,232,837,780,622,320,835,788,441,328,425,674,91,268,158,563,479,640,787,357,195,637,761,273,373,329,359,833,193,106,824,217,7,630,624,348,368,202,199,186,225,323,327,324,272,271,836,759,488,191,443,375,326,325,528,485,318,154,200,95,270,350,429,3,532,353,206,370,194,486,524,782,481,627,361,156]"
"2","HAN SOLO","[200,122,175,192,115,102,156,103,31,174,181,98,2,4,5,6,7,8,9,16,19,87,114,119,25,153,117,107,97,193,140,183,164,201,23,147,178,89,205,112,120,76,28,106,142,121,207,154,152,100,105,24,86,101,22,116,118,184,155,196,179,177]","[471,17,580,115,20,596,400,13,306,149,38,127,34,507,292,105,53,506,560,257,291,294,113,392,405,22,317,304,459,264,237,692,543,587,255,581,222,11,308,656,724,157,504,501,296,476,63,651,314,312,51,716,457,155,390,129,604,386,551,388,465,43,706,278,578,40,286,288,92,32,612,70,107,694,124,547,235,281,473,396,338,468,96,460,600,259,298,549,726,101,94,8,702,49,254,233,250,283,2,4,19,451,383,118,649,341,47,24,721,557,398,555,385,500,265,336,448,293,453,723,585,345,708,30,334,131,606,110,608,502,654,89,559,98,300,573,66,45,60,665,610,280,461,402,73,90,36,263,669,112,133,58,55,553,541,9,545,276,574,290,28,588,15,463,267,394,466,673,594,384,647,26,303,241,108,690,68,446,343,696]"
"3","RIEEKAN","[5,23,74,24,32,73,25,35]","[134,14,18,12,121,10,160,220,16,178,218,120,128]"
"4","LEIA","[5,6,24,225,156,201,87,194,74,175,121,154,122,174,88,210,207,196,118,153,200,212,193,120,180,117,152,114,208,101,34,90,164,106,181,223,226,25,147,86,103,209,231,227,142,23,179]","[176,789,561,548,470,395,219,116,456,462,661,544,655,399,393,475,700,111,704,807,546,554,648,650,458,297,31,449,401,748,172,653,35,295,799,741,316,746,725,221,130,804,469,798,258,452,598,301,510,285,805,652,266,305,109,693,751,550,33,234,25,467,709,39,29,592,242,552,397,389,800,340,277,21,556,738,27,387,577,735,313,447,558,236,37,584,287,508,23,657,342,299,477,659,174,403,262,667,239,503,123,793,791,132,691,698,114,744,391,808,582,309,454,344]"
"5","C3-PO","[7,8,12,13,15,21,103,24,208,206,152,200,97,140,76,181,240,156,174,98,219,90,212,209,155,102,117,114,218,207,88,197,147,241,179,164,232,211,154,23,196,122,180,185,162,100,205,119,184,231]","[404,223,82,302,44,238,602,310,48,307,311,279,755,715,722,50,689,617,505,818,119,244,450,772,771,620,74,743,601,775,576,509,54,767,381,727,256,464,614,828,42,474,75,445,540,754,757,499,251,817,104,335,816,616,339,126,756,56,829,46,749,289,591,337,284,472,64,676,382,103,260,773,583,253,52,261,41,752,740,770,586,252,677,455,406,315,720,77,62,542,81,618]"
"6","DECK OFFICER","[8,9,92]","[65,69,61,245,59,67,57,72]"
"7","ASSISTANT OFFICER","[9]","[71]"
"8","LIEUTENANT","[14,15]","[76,80]"
"9","DERLIN","[15,34]","[78,177,79]"
"10","OBI-WAN","[15,16,150,188,192,191,189,190]","[626,433,636,85,628,83,639,625,435,631,87,633,645,641,439]"
"11","ZEV","[16,18,19,83,80]","[100,230,228,226,99,102]"
"12","ANNOUNCER","[89,23,40]","[240,117,182]"
"13","SENIOR CONTROLLER","[45,32,23,36]","[122,179,159,125,189]"
"14","PIETT","[172,137,231,160,34,26,25,28,147,238,138,148,27,159,33]","[827,169,535,815,413,137,495,491,813,411,139,135,141,539,331,333,143,171,811,537,498,409,493]"
"15","OZZEL","[26,27,32,28]","[140,145,138,167,136]"
"16","VADER","[220,208,212,34,225,32,235,205,231,198,160,204,234,196,202,232,213,222,199,172,136,148,209,221,137,33,28,147]","[422,762,420,728,408,165,764,758,783,732,730,796,765,414,719,146,671,410,534,779,812,781,679,734,496,424,161,712,736,821,412,168,330,760,681,685,332,538,536,170,687,777,763,814,776,714,163,683,142,710,785,825,819,416,144,418]"
"17","REBEL CAPTAIN","[28,36]","[147,180]"
"18","REBEL FIGHTER","[28]","[148]"
"19","MEDICAL DROID","[29]","[150,152]"
"20","VEERS","[79,97,59,33]","[224,162,201,249,164,247,166]"
"21","HOBBIE","[34]","[173]"
"22","PILOTS","[34,97]","[175,248]"
"23","WOMAN CONTROLLER","[37]","[181]"
"24","DACK","[41,47,54]","[198,192,183,185]"
"25","TRENCH OFFICER","[44,70]","[187,188,215]"
"26","WEDGE","[71,64,61,108,59,65,67]","[207,209,213,216,208,203,205,269]"
"27","JANSON","[67,65]","[212,214,210,211]"
"28","HEAD CONTROLLER","[90]","[243]"
"29","SECOND OFFICER","[93]","[246]"
"30","IMPERIAL OFFICER","[208,116]","[282,731]"
"31","STRANGE VOICE","[143]","[349]"
"32","CREATURE","[146,149,143,144,147,148]","[362,376,351,371,354,352,367,358,430,372,374,360,379,432,426,364,366,369,378,428,356]"
"33","NEEDA","[164,165,147]","[511,514,512,407,517]"
"34","EMPEROR","[148]","[417,421,415,419,423]"
"35","YODA","[152,172,150,177,158,171,192,167,168,191,176,175,169,151,188,185,190,157]","[568,529,642,623,489,482,519,490,646,621,438,533,629,520,570,635,478,530,440,644,572,480,523,527,436,442,487,566,444,521,434,562,525,484,638,564]"
"36","FIRST CONTROLLER","[159]","[492]"
"37","SECOND CONTROLLER","[160]","[494]"
"38","BOBA FETT","[160,205,212,198]","[753,497,718,680]"
"39","TRACKING OFFICER","[165]","[513,515]"
"40","COMMUNICATIONS OFFICER","[165]","[518,516]"
"41","INTERCOM VOICE","[179]","[579,575]"
"42","LANDO","[205,235,184,201,200,225,202,212,227,223,211,199,217,209,195,198,247,196,244,194,179,231,181,208,218,245]","[688,801,703,682,701,666,810,686,672,603,670,613,660,790,593,611,697,794,832,605,803,597,747,717,678,713,809,766,607,609,769,599,792,663,830,737,658,733,750,707,742,662,797,699,745,806,590,768,774,595,668,795,684,823,664,834,589,739,695,729,705]"
"43","SECOND THREEPIO","[184]","[615]"
"44","MANS VOICE","[185]","[619]"
"45","IMPERIAL SOLDIER","[202]","[711]"
