"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"46","admiral","[28,147,33,172,26,137,32,137,25,33,136,147,34]","[147,408,166,538,136,331,168,332,135,163,330,410,170]"
"47","adventure","[150]","[438]"
"48","afraid","[24,147,152,147,140]","[130,398,443,382,335]"
"49","alive","[208,160,132,147]","[729,496,321,408]"
"50","anger","[157,150,213]","[478,434,764]"
"51","approaching","[202,5]","[711,14]"
"52","area","[33,172,165]","[162,535,517]"
"53","artoo","[192,108,111,218,212,240,15,8,146,76,135,21,15,107,111,147,133,133,133,12,133,133,146,147,15,133]","[640,270,274,767,754,828,77,64,368,223,329,104,82,268,271,381,326,323,322,74,327,325,370,380,81,324]"
"54","asteroid","[137,137,140,148,147,121,121,162,122,154]","[331,332,337,412,408,299,297,499,302,470]"
"55","attention","[196,218,232]","[668,768,818]"
"56","back","[240,140,174,223,146,8,227,154,184,93,132,122,97,164,2,146,179,4,8,8,227,97,175]","[828,338,541,789,363,45,801,453,611,246,321,305,250,505,4,365,581,9,44,50,804,251,557]"
"57","bad","[16,22,157,16,154]","[98,105,481,96,458]"
"58","base","[19,23,89,16]","[102,121,240,99]"
"59","begin","[151,151,92]","[442,440,245]"
"60","ben","[15,235,150,16,16,222]","[82,822,437,88,98,786]"
"61","bounty","[212,200,208,245,6,198,159]","[755,699,730,832,26,684,491]"
"62","boy","[149,148,83,47,192]","[432,425,228,191,645]"
"63","bring","[221,225,119]","[777,796,291]"
"64","cable","[67,54,67]","[213,199,212]"
"65","calm","[175,158]","[562,482]"
"66","calrissian","[208,208,175,218,177,181]","[732,728,553,768,572,597]"
"67","captain","[174,32,198,172,102,165,212,204,26,165,165,142,18,147,165]","[540,168,679,534,260,514,753,714,136,513,518,344,100,408,516]"
"68","cave","[190,156,153,156]","[629,475,449,476]"
"69","chamber","[7,208]","[41,730]"
"70","chance","[54]","[197]"
"71","check","[31]","[155]"
"72","chewbacca","[226,4,147,207,174,119,140,212,154,223,227,247,235,175,121,208,193,119,212,205,225,206,207,121,200,154,240,207,24,227,231,30,212]","[799,8,384,724,540,293,338,751,466,793,803,835,823,560,296,727,655,292,744,715,798,720,723,298,695,461,828,721,127,801,806,154,757]"
"72","chewie","[207,206,240,226,175,207,121,154,227,212,235,174,212,205,154,24,121,247,208,147,193,140,225,4,207,231,119,119,227,223,30,200,212]","[721,720,828,799,560,723,296,461,803,744,823,540,757,715,466,127,298,835,727,384,655,338,798,8,724,806,292,293,801,793,154,695,751]"
"73","choice","[73,196,211,212]","[218,672,742,744]"
"74","city","[175,218]","[564,768]"
"75","closed","[15]","[78]"
"76","clouds","[194,175]","[660,565]"
"77","coming","[162,59,23,32,114,48]","[499,204,124,159,278,194]"
"78","committee","[154,154]","[470,468]"
"79","computer","[232,218,218]","[818,770,767]"
"80","contact","[14,148]","[76,411]"
"81","continue","[165]","[517]"
"82","control","[189,218,175,37,54,28,112]","[628,768,564,181,198,147,275]"
"83","cook","[148]","[428]"
"84","cover","[59,80]","[204,225]"
"85","crude","[202]","[710]"
"86","cruiser","[2]","[4]"
"87","dagobah","[122,16,132,16,16,15,16,15,111,16]","[318,87,321,95,98,86,93,85,273,92]"
"88","dark","[8,192,222,157,157,158,189]","[60,641,779,478,479,487,628]"
"89","dead","[5]","[17]"
"90","death","[5]","[18]"
"91","deck","[8,8]","[56,55]"
"92","delusions","[240]","[828]"
"93","detach","[67,175]","[213,560]"
"94","difficult","[5,176,147]","[14,570,389]"
"95","dirty","[147,147]","[395,396]"
"96","door","[218]","[771]"
"97","droid","[122,195,27,26,25,25]","[320,664,138,137,131,132]"
"98","dropping","[9]","[69]"
"99","easy","[212,226,23]","[762,799,116]"
"100","eat","[148,146]","[426,378]"
"101","echo","[16,19,2]","[99,102,1]"
"102","empire","[174,154,196,218,205,41,175,154,196,25]","[542,467,666,768,719,185,559,466,670,133]"
"103","enemy","[148,34]","[417,174]"
"104","energy","[34,33,34,171,32,34,23]","[172,162,170,530,160,174,109]"
"105","entrance","[8,8,34]","[65,59,172]"
"106","excited","[142,142]","[344,343]"
"107","excuse","[122,23,8,8,8]","[315,119,56,44,62]"
"108","fail","[172,152,172]","[533,443,538]"
"109","falcon","[181,172,137,231,97,140,160,218]","[603,535,331,812,250,336,496,771]"
"110","fall","[93,196]","[246,666]"
"111","father","[234,150,222,149,222,148]","[820,435,779,431,781,429]"
"112","feeling","[154,41]","[458,183]"
"113","fighters","[88,34]","[239,173]"
"114","find","[193,172,8,143,174,8,146,140,212,247]","[649,538,64,347,547,62,374,336,759,834]"
"115","finished","[240,2]","[828,3]"
"116","fire","[54,54,192,37]","[198,199,640,181]"
"117","fleet","[172,34,32]","[539,170,159]"
"118","follow","[174,121,59]","[545,300,204]"
"119","food","[146,148,144]","[378,426,360]"
"120","force","[148,157,148,189,167,158,248,209,189,171,158,175]","[415,478,425,628,519,482,836,736,627,530,487,562]"
"121","freezing","[12,208,7,202]","[74,727,41,713]"
"122","friend","[9,179,175,175,144,146,24,187,180,201,146,193]","[70,588,564,562,361,375,127,622,592,706,374,651]"
"123","front","[164]","[507]"
"124","future","[176,150,175,175]","[570,438,562,567]"
"125","galaxy","[27,172,221,181,222]","[138,535,777,607,785]"
"126","general","[32,5,33,5,28]","[159,18,165,15,146]"
"127","give","[192,90,146,28,4,16,168]","[641,242,363,147,9,87,526]"
"128","gon","[100,140,87,119,196]","[255,334,237,292,669]"
"129","good","[122,19,76,244,21,71,179,231,202,134,25,146,208,148,157,198,181,6,179,132,175,64,198,23,122,108,201,5,71,199,244,34,200,36,193]","[313,101,223,831,103,216,588,814,712,328,133,378,732,426,481,680,606,40,590,321,562,208,679,110,312,269,706,18,217,687,830,176,689,180,652]"
"130","great","[144,143,192,148,115,6,148,143]","[359,357,647,423,281,35,415,358]"
"131","ground","[32,2,79,154,74]","[160,5,224,456,221]"
"132","group","[54]","[197]"
"133","guess","[23]","[116]"
"134","solo","[6,5,212,102,204,14,2,198,210,174,212,97,187,5,247,120,19]","[27,10,749,259,714,76,1,679,741,540,753,250,622,23,834,295,101]"
"134","han","[212,102,19,204,5,210,174,120,2,6,14,187,97,198,5,247,212]","[749,259,101,714,23,741,540,295,1,27,76,622,250,679,10,834,753]"
"135","hand","[5,187,4]","[17,622,9]"
"135","head","[5,187,4]","[17,622,9]"
"136","hear","[168,5,207,222]","[523,16,724,788]"
"137","hell","[9]","[73]"
"138","hey","[144,207,146,179,147]","[359,721,363,588,386]"
"139","highness","[15]","[78]"
"140","hit","[85,164,2,5]","[232,505,5,13]"
"141","hobbie","[85,48]","[232,195]"
"142","hold","[32,212,74,209]","[160,753,219,737]"
"143","hope","[132,15,192]","[321,77,645]"
"144","hoth","[33,26,28,28]","[162,137,141,146]"
"145","hyperdrive","[140,231,240,231,119,140,231,218,181]","[338,807,828,812,289,336,817,771,604]"
"146","imperial","[44,25,44,218,164,45,174,89,24]","[188,132,187,768,509,189,545,240,126]"
"147","impossible","[171,8,119,222]","[531,63,289,782]"
"148","impress","[121]","[301]"
"149","impressive","[213]","[763]"
"150","inside","[154]","[463]"
"151","interfere","[192]","[639]"
"152","jedi","[148,148,209,157,148,148,146,150,191,158,150,146,148,16,148,149,143]","[428,421,736,478,426,429,375,437,635,482,438,376,430,87,425,431,347]"
"153","join","[221,221,148,196,222,194]","[777,778,425,671,785,662]"
"154","kid","[31,16]","[155,92]"
"155","land","[34,59,171,132,179,177,174,202,179]","[170,201,530,321,585,573,541,712,579]"
"156","lando","[177,175,181,244,193,225,193,200,179,175,227,218,175,193]","[572,552,597,830,650,798,649,694,581,557,801,768,553,656]"
"157","laser","[120,23]","[294,111]"
"158","lead","[26,6,27,184]","[137,35,140,610]"
"159","leave","[5,23,87,177,218,198]","[15,109,237,572,768,684]"
"160","leia","[8,147,222,222,188,200,8,147,192,181,187,175,218,181,8,15,227,198]","[48,388,787,788,624,695,64,389,637,598,622,563,774,599,50,77,802,682]"
"161","life","[147,27,27,2,132,150,5,2,16,171,181]","[400,139,138,3,321,438,11,4,99,530,607]"
"162","light","[119,116,164,33,154,32,174,117,172,231,164,33,231]","[289,283,500,166,470,161,545,284,535,816,503,163,806]"
"163","listen","[207,174,190,154,184,200]","[721,540,629,450,609,694]"
"164","long","[23,193,2,148,175,148,175]","[108,648,5,427,562,425,557]"
