"SCENE ID","START TIME","END TIME"
"2","00:03:35","00:04:00"
"4","00:04:41","00:04:53"
"5","00:05:14","00:06:04"
"6","00:06:05","00:06:48"
"7","00:06:49","00:07:05"
"8","00:07:05","00:08:01"
"9","00:07:58","00:08:18"
"12","00:10:37","00:10:47"
"13","00:10:47","00:10:53"
"14","00:11:51","00:12:02"
"15","00:12:02","00:13:25"
"16","00:13:29","00:15:40"
"18","00:15:45","00:16:06"
"19","00:16:06","00:16:16"
"21","00:16:47","00:16:50"
"22","00:16:50","00:17:03"
"23","00:17:03","00:18:35"
"24","00:18:38","00:19:34"
"25","00:19:34","00:19:45"
"26","00:20:30","00:20:40"
"27","00:20:40","00:20:49"
"28","00:20:49","00:21:37"
"29","00:21:44","00:21:51"
"30","00:21:51","00:22:08"
"31","00:22:08","00:22:26"
"32","00:23:02","00:23:02"
"32","00:22:32","00:23:02"
"34","00:23:24","00:23:02"
"34","00:22:59","00:23:02"
"32","00:23:02","00:23:07"
"32","00:22:32","00:23:07"
"33","00:23:07","00:23:26"
"34","00:23:24","00:24:30"
"34","00:22:59","00:24:30"
"35","00:24:47","00:24:52"
"36","00:24:58","00:25:02"
"37","00:25:04","00:25:09"
"40","00:25:24","00:25:30"
"41","00:25:36","00:25:43"
"42","00:25:43","00:25:45"
"44","00:26:04","00:26:07"
"45","00:26:04","00:26:34"
"47","00:26:39","00:26:47"
"48","00:26:51","00:26:58"
"52","00:27:21","00:27:23"
"53","00:27:26","00:27:30"
"54","00:27:32","00:27:44"
"59","00:28:17","00:28:35"
"61","00:28:44","00:28:45"
"64","00:28:48","00:28:49"
"65","00:28:55","00:28:58"
"67","00:29:03","00:29:07"
"70","00:29:17","00:29:18"
"71","00:29:26","00:29:29"
"72","00:29:26","00:29:29"
"73","00:29:29","00:29:31"
"74","00:29:31","00:29:39"
"76","00:29:44","00:30:00"
"79","00:30:24","00:30:29"
"80","00:30:33","00:30:36"
"81","00:30:33","00:30:36"
"83","00:30:40","00:30:47"
"84","00:30:47","00:30:50"
"85","00:30:56","00:30:59"
"86","00:31:41","00:31:44"
"87","00:31:44","00:31:51"
"88","00:31:51","00:31:57"
