SOURCE NODE ID,TARGET NODE ID,SCENE ID
"1","1001","1"
"1","1084","4"
"1","1127","1"
"1","1168","1"
"1","1168","4"
"1","1182","1"
"1","1182","4"
"2","1008","127"
"2","1074","127"
"2","1084","4"
"2","1119","96"
"2","1129","96"
"2","1133","127"
"2","1166","127"
"2","1168","4"
"2","1181","127"
"2","1182","4"
"2","1197","96"
"3","1084","5"
"3","1168","5"
"3","1182","5"
"4","1084","5"
"4","1168","5"
"4","1182","5"
"5","1005","6"
"5","1010","6"
"5","1012","6"
"5","1015","6"
"5","1017","6"
"5","1034","103"
"5","1038","6"
"5","1048","6"
"5","1053","6"
"5","1057","6"
"5","1071","6"
"5","1077","6"
"5","1078","103"
"5","1080","6"
"5","1090","103"
"5","1092","6"
"5","1094","6"
"5","1104","6"
"5","1112","6"
"5","1117","6"
"5","1127","6"
"5","1128","6"
"5","1131","6"
"5","1143","6"
"5","1150","6"
"5","1153","6"
"5","1156","6"
"5","1160","6"
"5","1178","6"
"5","1179","103"
"5","1181","103"
"5","1202","6"
"5","1207","6"
"6","1005","6"
"6","1010","6"
"6","1012","6"
"6","1015","6"
"6","1017","6"
"6","1034","79"
"6","1034","89"
"6","1034","65"
"6","1034","72"
"6","1034","129"
"6","1034","116"
"6","1034","121"
"6","1036","72"
"6","1036","73"
"6","1038","6"
"6","1048","6"
"6","1051","72"
"6","1053","6"
"6","1057","6"
"6","1071","6"
"6","1077","6"
"6","1080","6"
"6","1090","89"
"6","1090","73"
"6","1090","62"
"6","1090","116"
"6","1090","121"
"6","1090","50"
"6","1091","62"
"6","1092","6"
"6","1094","6"
"6","1104","6"
"6","1112","6"
"6","1117","6"
"6","1118","89"
"6","1122","65"
"6","1122","66"
"6","1122","72"
"6","1122","116"
"6","1127","6"
"6","1128","6"
"6","1131","6"
"6","1143","79"
"6","1143","62"
"6","1143","6"
"6","1143","50"
"6","1150","6"
"6","1153","6"
"6","1155","62"
"6","1156","6"
"6","1160","6"
"6","1178","6"
"6","1180","129"
"6","1181","66"
"6","1194","79"
"6","1201","73"
"6","1201","72"
"6","1202","6"
"6","1207","6"
"6","1220","79"
"7","1000","77"
"7","1002","59"
"7","1003","59"
"7","1004","59"
"7","1006","75"
"7","1007","18"
"7","1009","13"
"7","1009","10"
"7","1009","20"
"7","1009","22"
"7","1009","16"
"7","1009","18"
"7","1011","13"
"7","1013","59"
"7","1014","59"
"7","1018","9"
"7","1018","13"
"7","1018","12"
"7","1018","18"
"7","1018","16"
"7","1019","98"
"7","1020","24"
"7","1021","90"
"7","1024","98"
"7","1025","38"
"7","1025","13"
"7","1025","10"
"7","1025","14"
"7","1025","16"
"7","1026","59"
"7","1027","98"
"7","1028","59"
"7","1029","18"
"7","1031","18"
"7","1032","59"
"7","1033","22"
"7","1034","80"
"7","1034","77"
"7","1034","75"
"7","1034","76"
"7","1034","68"
"7","1034","74"
"7","1034","71"
"7","1034","59"
"7","1034","61"
"7","1034","38"
"7","1034","10"
"7","1034","20"
"7","1034","18"
"7","1034","24"
"7","1034","22"
"7","1034","16"
"7","1036","80"
"7","1036","86"
"7","1039","115"
"7","1041","16"
"7","1043","24"
"7","1044","98"
"7","1045","75"
"7","1046","90"
"7","1049","59"
"7","1051","80"
"7","1051","77"
"7","1051","82"
"7","1051","86"
"7","1051","75"
"7","1051","76"
"7","1051","68"
"7","1051","61"
"7","1051","115"
"7","1051","98"
"7","1051","90"
"7","1051","9"
"7","1051","8"
"7","1051","7"
"7","1051","59"
"7","1051","13"
"7","1051","11"
"7","1051","12"
"7","1051","10"
"7","1051","20"
"7","1051","22"
"7","1051","16"
"7","1052","75"
"7","1052","98"
"7","1054","77"
"7","1055","75"
"7","1055","76"
"7","1056","90"
"7","1060","77"
"7","1060","76"
"7","1061","98"
"7","1062","75"
"7","1063","12"
"7","1066","75"
"7","1066","115"
"7","1068","59"
"7","1070","115"
"7","1076","75"
"7","1079","90"
"7","1081","76"
"7","1082","59"
"7","1085","98"
"7","1086","98"
"7","1087","77"
"7","1089","59"
"7","1090","98"
"7","1093","90"
"7","1095","80"
"7","1095","75"
"7","1095","77"
"7","1095","76"
"7","1095","68"
"7","1095","74"
"7","1095","71"
"7","1095","61"
"7","1095","115"
"7","1095","98"
"7","1095","59"
"7","1095","13"
"7","1095","24"
"7","1097","68"
"7","1097","71"
"7","1098","76"
"7","1099","18"
"7","1101","77"
"7","1101","76"
"7","1101","98"
"7","1102","98"
"7","1103","59"
"7","1105","59"
"7","1106","59"
"7","1108","13"
"7","1109","59"
"7","1110","98"
"7","1111","59"
"7","1113","77"
"7","1113","76"
"7","1115","76"
"7","1116","98"
"7","1119","61"
"7","1119","132"
"7","1119","59"
"7","1119","13"
"7","1119","16"
"7","1121","59"
"7","1122","90"
"7","1122","82"
"7","1122","86"
"7","1122","80"
"7","1122","75"
"7","1122","77"
"7","1122","76"
"7","1122","68"
"7","1122","71"
"7","1122","74"
"7","1122","61"
"7","1122","110"
"7","1122","115"
"7","1122","98"
"7","1122","59"
"7","1122","13"
"7","1122","20"
"7","1122","24"
"7","1122","22"
"7","1122","14"
"7","1122","16"
"7","1124","59"
"7","1126","75"
"7","1126","115"
"7","1130","59"
"7","1132","98"
"7","1134","98"
"7","1135","76"
"7","1136","76"
"7","1137","98"
"7","1138","76"
"7","1139","13"
"7","1140","98"
"7","1141","132"
"7","1141","98"
"7","1141","59"
"7","1145","75"
"7","1146","59"
"7","1147","75"
"7","1148","13"
"7","1149","9"
"7","1149","13"
"7","1149","10"
"7","1149","24"
"7","1149","16"
"7","1149","18"
"7","1151","59"
"7","1152","13"
"7","1154","98"
"7","1158","98"
"7","1159","76"
"7","1162","90"
"7","1163","90"
"7","1164","98"
"7","1165","75"
"7","1167","59"
"7","1169","59"
"7","1171","13"
"7","1173","13"
"7","1174","59"
"7","1175","20"
"7","1183","59"
"7","1186","98"
"7","1189","18"
"7","1190","59"
"7","1191","98"
"7","1192","59"
"7","1193","115"
"7","1196","98"
"7","1197","59"
"7","1198","10"
"7","1198","13"
"7","1199","13"
"7","1199","16"
"7","1200","59"
"7","1201","80"
"7","1201","90"
"7","1201","86"
"7","1201","82"
"7","1201","76"
"7","1201","77"
"7","1201","71"
"7","1201","68"
"7","1201","61"
"7","1201","110"
"7","1201","115"
"7","1201","98"
"7","1201","59"
"7","1201","38"
"7","1201","13"
"7","1201","20"
"7","1201","22"
"7","1201","16"
"7","1201","18"
"7","1203","16"
"7","1205","75"
"7","1206","13"
"7","1208","76"
"7","1209","98"
"7","1210","75"
"7","1211","75"
"7","1213","90"
"7","1214","98"
"7","1215","98"
"7","1216","59"
"7","1217","98"
"7","1219","75"
"7","1220","98"
"7","1222","10"
"8","1002","59"
"8","1003","59"
"8","1004","59"
"8","1013","59"
"8","1014","59"
"8","1026","59"
"8","1028","59"
"8","1032","59"
"8","1034","59"
"8","1049","59"
"8","1051","8"
"8","1051","59"
"8","1068","59"
"8","1082","59"
"8","1089","59"
"8","1095","59"
"8","1103","59"
"8","1105","59"
"8","1106","59"
"8","1109","59"
"8","1111","59"
"8","1119","59"
"8","1121","59"
"8","1122","59"
"8","1124","59"
"8","1130","59"
"8","1141","59"
"8","1146","59"
"8","1151","59"
"8","1167","59"
"8","1169","59"
"8","1174","59"
"8","1183","59"
"8","1190","59"
"8","1192","59"
"8","1197","59"
"8","1200","59"
"8","1201","59"
"8","1216","59"
"9","1009","16"
"9","1018","9"
"9","1018","16"
"9","1025","14"
"9","1025","16"
"9","1034","16"
"9","1041","16"
"9","1051","9"
"9","1051","16"
"9","1119","16"
"9","1122","14"
"9","1122","16"
"9","1149","9"
"9","1149","16"
"9","1199","16"
"9","1201","16"
"9","1203","16"
"10","1009","13"
"10","1009","10"
"10","1009","16"
"10","1011","13"
"10","1018","13"
"10","1018","12"
"10","1018","16"
"10","1025","13"
"10","1025","10"
"10","1025","16"
"10","1034","10"
"10","1034","16"
"10","1041","16"
"10","1051","13"
"10","1051","12"
"10","1051","10"
"10","1051","16"
"10","1063","12"
"10","1095","13"
"10","1108","13"
"10","1119","13"
"10","1119","16"
"10","1122","13"
"10","1122","16"
"10","1139","13"
"10","1148","13"
"10","1149","13"
"10","1149","10"
"10","1149","16"
"10","1152","13"
"10","1171","13"
"10","1173","13"
"10","1198","10"
"10","1198","13"
"10","1199","13"
"10","1199","16"
"10","1201","13"
"10","1201","16"
"10","1203","16"
"10","1206","13"
"10","1222","10"
"11","1002","59"
"11","1003","59"
"11","1004","59"
"11","1006","75"
"11","1009","10"
"11","1009","21"
"11","1009","20"
"11","1009","16"
"11","1013","59"
"11","1014","59"
"11","1018","16"
"11","1020","27"
"11","1020","21"
"11","1025","38"
"11","1025","10"
"11","1025","14"
"11","1025","16"
"11","1026","59"
"11","1028","59"
"11","1032","59"
"11","1034","78"
"11","1034","79"
"11","1034","89"
"11","1034","75"
"11","1034","76"
"11","1034","69"
"11","1034","70"
"11","1034","63"
"11","1034","65"
"11","1034","74"
"11","1034","71"
"11","1034","59"
"11","1034","61"
"11","1034","129"
"11","1034","116"
"11","1034","121"
"11","1034","97"
"11","1034","27"
"11","1034","38"
"11","1034","51"
"11","1034","52"
"11","1034","10"
"11","1034","20"
"11","1034","21"
"11","1034","16"
"11","1040","51"
"11","1041","16"
"11","1043","27"
"11","1043","21"
"11","1045","75"
"11","1049","59"
"11","1051","75"
"11","1051","76"
"11","1051","61"
"11","1051","63"
"11","1051","59"
"11","1051","10"
"11","1051","20"
"11","1051","16"
"11","1052","75"
"11","1055","75"
"11","1055","76"
"11","1060","76"
"11","1062","75"
"11","1066","75"
"11","1068","59"
"11","1076","75"
"11","1081","76"
"11","1082","59"
"11","1083","21"
"11","1089","59"
"11","1090","89"
"11","1090","116"
"11","1090","121"
"11","1090","97"
"11","1095","75"
"11","1095","76"
"11","1095","69"
"11","1095","74"
"11","1095","71"
"11","1095","63"
"11","1095","61"
"11","1095","27"
"11","1095","59"
"11","1095","21"
"11","1097","71"
"11","1098","76"
"11","1101","76"
"11","1103","59"
"11","1105","59"
"11","1106","59"
"11","1107","31"
"11","1109","59"
"11","1111","59"
"11","1113","76"
"11","1115","76"
"11","1118","89"
"11","1119","61"
"11","1119","27"
"11","1119","59"
"11","1119","16"
"11","1121","59"
"11","1122","78"
"11","1122","75"
"11","1122","76"
"11","1122","69"
"11","1122","71"
"11","1122","65"
"11","1122","74"
"11","1122","63"
"11","1122","61"
"11","1122","116"
"11","1122","27"
"11","1122","59"
"11","1122","20"
"11","1122","21"
"11","1122","14"
"11","1122","16"
"11","1123","27"
"11","1124","59"
"11","1125","27"
"11","1125","21"
"11","1126","75"
"11","1130","59"
"11","1135","76"
"11","1136","76"
"11","1138","76"
"11","1141","97"
"11","1141","59"
"11","1143","79"
"11","1145","75"
"11","1146","59"
"11","1147","75"
"11","1149","10"
"11","1149","16"
"11","1151","59"
"11","1159","76"
"11","1163","52"
"11","1165","75"
"11","1167","59"
"11","1169","59"
"11","1174","59"
"11","1175","20"
"11","1180","129"
"11","1181","63"
"11","1183","59"
"11","1190","59"
