"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"1","160","1"
"1","163","4"
"2","204","127"
"2","229","96"
"2","163","4"
"3","164","5"
"4","164","5"
"5","212","103"
"5","165","6"
"6","212","116"
"6","212","121"
"6","162","129"
"6","206","62"
"6","210","66"
"6","197","79"
"6","165","6"
"6","196","50"
"6","189","42"
"6","215","72"
"6","216","73"
"6","209","65"
"6","226","89"
"7","177","22"
"7","175","20"
"7","170","13"
"7","179","24"
"7","166","10"
"7","166","7"
"7","169","11"
"7","163","12"
"7","184","38"
"7","205","61"
"7","212","68"
"7","214","71"
"7","166","16"
"7","171","14"
"7","204","59"
"7","174","18"
"7","231","115"
"7","227","90"
"7","231","98"
"7","218","75"
"7","229","132"
"7","231","110"
"7","225","86"
"7","223","82"
"7","168","9"
"7","167","8"
"7","219","76"
"7","217","74"
"7","220","77"
"7","222","80"
"8","167","8"
"8","204","59"
"9","171","14"
"9","166","16"
"9","168","9"
"10","166","10"
"10","166","16"
"10","163","12"
"10","170","13"
"11","214","71"
"11","210","69"
"11","213","70"
"11","207","63"
"11","209","65"
"11","181","27"
"11","180","31"
"11","176","21"
"11","175","20"
"11","166","10"
"11","197","79"
"11","219","76"
"11","221","78"
"11","197","51"
"11","198","52"
"11","184","38"
"11","189","42"
"11","204","59"
"11","205","61"
"11","166","16"
"11","171","14"
"11","218","75"
"11","217","74"
"11","226","89"
"11","226","97"
"11","212","116"
"11","212","121"
"11","162","129"
"12","169","11"
"12","163","12"
"13","163","12"
"14","170","13"
"15","204","59"
"15","198","52"
"15","170","13"
"15","171","14"
"15","189","42"
"15","214","71"
"15","205","61"
"15","203","60"
"15","207","63"
"15","212","68"
"15","216","73"
"15","209","65"
"15","210","69"
"15","211","67"
"15","231","98"
"15","227","90"
"15","218","75"
"15","219","76"
"15","221","78"
"15","217","74"
"15","222","80"
"15","220","77"
"15","223","82"
"15","225","86"
"15","176","21"
"15","175","20"
"15","180","25"
"15","177","22"
"15","180","35"
"15","180","33"
"15","231","122"
"15","229","132"
"15","231","110"
"15","231","115"
"15","212","116"
"15","236","118"
"15","236","120"
"16","207","63"
"16","215","72"
"16","212","68"
"16","219","76"
"16","221","78"
"16","231","98"
"16","227","90"
"16","225","84"
"16","223","82"
"16","222","80"
"16","220","77"
"16","205","61"
"16","204","59"
"16","170","13"
"16","175","20"
"16","210","69"
"16","214","71"
"16","186","37"
"16","189","42"
"16","222","112"
"16","231","115"
"17","180","39"
"17","180","35"
"17","189","42"
"17","180","31"
"17","180","33"
"17","198","52"
"17","203","60"
"17","229","96"
"17","222","94"
"17","222","80"
"17","222","100"
"17","222","112"
"17","229","109"
"17","222","92"
"17","235","117"
"17","229","132"
"17","237","125"
"17","222","108"
"17","238","131"
"17","229","123"
"18","206","62"
"18","226","97"
"18","226","89"
"18","196","50"
"18","216","73"
"18","212","121"
"18","212","124"
"18","212","103"
"18","212","113"
"19","197","51"
"20","198","52"
"21","198","52"
"22","204","59"
"22","222","80"
"22","229","93"
"22","229","96"
"22","222","112"
"22","229","109"
"22","229","132"
"22","229","126"
"22","229","123"
"23","204","59"
"24","210","66"
"24","209","65"
"24","233","102"
"24","204","127"
"25","215","72"
"25","224","85"
"25","210","69"
"26","215","72"
"27","215","72"
"28","222","100"
"28","197","79"
"28","233","102"
"28","227","90"
"28","162","129"
"29","237","125"
"29","238","131"
"29","235","117"
"29","229","132"
"29","229","96"
"29","222","92"
"29","222","100"
"30","222","92"
"31","222","92"
"32","222","94"
"33","235","117"
"33","222","112"
"33","229","96"
"33","237","125"
"34","231","115"
"34","231","98"
"35","231","98"
"36","222","100"
"37","222","100"
"38","222","100"
"39","222","112"
"40","206","114"
"41","206","114"
"42","236","118"
"43","236","118"
"44","162","129"
