SOURCE NODE ID,TARGET NODE ID,SCENE ID
"45","160","1"
"45","207","63"
"45","209","65"
"46","160","1"
"46","163","4"
"46","204","59"
"46","204","127"
"46","207","63"
"46","211","67"
"46","214","71"
"46","216","73"
"46","220","77"
"46","222","94"
"46","222","80"
"46","226","89"
"46","229","123"
"46","229","109"
"47","164","5"
"47","204","59"
"47","207","63"
"47","209","65"
"47","211","67"
"48","164","5"
"48","165","6"
"48","197","79"
"48","212","103"
"48","236","118"
"49","162","129"
"49","165","6"
"49","189","42"
"49","196","50"
"49","197","51"
"49","197","79"
"49","198","52"
"49","216","73"
"49","221","78"
"50","163","12"
"50","165","6"
"50","167","8"
"50","170","13"
"50","189","42"
"50","197","51"
"50","198","52"
"50","214","71"
"50","215","72"
"50","217","74"
"50","220","77"
"50","221","78"
"50","223","82"
"50","227","90"
"50","231","98"
"50","231","115"
"50","236","118"
"50","237","125"
"51","165","6"
"51","189","42"
"51","197","51"
"51","197","79"
"51","198","52"
"51","212","116"
"51","215","72"
"51","216","73"
"51","221","78"
"51","226","89"
"51","233","102"
"52","166","7"
"52","176","21"
"52","180","33"
"52","180","35"
"52","189","42"
"52","198","52"
"52","222","112"
"52","229","132"
"52","229","96"
"53","166","7"
"53","166","10"
"53","167","8"
"53","168","9"
"53","170","13"
"53","171","14"
"53","175","20"
"53","179","24"
"54","166","16"
"54","166","7"
"54","197","51"
"54","198","52"
"54","211","67"
"54","212","68"
"54","216","73"
"54","229","123"
"55","163","12"
"55","166","16"
"55","167","8"
"55","168","9"
"55","169","11"
"55","171","14"
"55","177","22"
"55","196","50"
"55","197","51"
"55","197","79"
"55","206","62"
"55","214","71"
"55","216","73"
"55","217","74"
"55","218","75"
"55","219","76"
"55","226","89"
"56","162","129"
"56","166","16"
"56","166","10"
"56","167","8"
"56","169","11"
"56","171","14"
"56","175","20"
"56","177","22"
"56","184","38"
"56","189","42"
"56","197","51"
"56","198","52"
"56","204","59"
"56","207","63"
"56","210","69"
"56","212","121"
"56","212","124"
"56","213","70"
"56","214","71"
"56","216","73"
"56","217","74"
"56","218","75"
"56","219","76"
"56","221","78"
"56","226","89"
"57","163","12"
"57","166","10"
"57","167","8"
"57","168","9"
"57","177","22"
"57","184","38"
"57","198","52"
"57","214","71"
"57","218","75"
"57","219","76"
"57","227","90"
"57","231","110"
"57","231","98"
"58","167","8"
"58","175","20"
"58","184","38"
"58","189","42"
"58","205","61"
"58","209","65"
"58","215","72"
"58","218","75"
"58","231","115"
"58","231","98"
"59","163","12"
"59","167","8"
"59","168","9"
"59","180","25"
"59","214","71"
"59","219","76"
"59","227","90"
"60","167","8"
"60","197","51"
"61","167","8"
"61","171","14"
"61","180","35"
"61","210","69"
"61","212","116"
"61","216","73"
"61","227","90"
"62","166","16"
"62","168","9"
"62","170","13"
"62","174","18"
"62","196","50"
"62","197","79"
"62","212","116"
"62","216","73"
"62","231","98"
"63","168","9"
"63","170","13"
"63","215","72"
"63","226","97"
"63","227","90"
"64","166","10"
"64","169","11"
"64","170","13"
"64","175","20"
"64","189","42"
"64","197","51"
"64","197","79"
"64","198","52"
"64","203","60"
"64","204","59"
"64","212","121"
"64","212","116"
"64","212","113"
"64","218","75"
"64","220","77"
"64","221","78"
"64","223","82"
"64","231","98"
"64","235","117"
"65","166","10"
"65","166","16"
"65","196","50"
"65","197","79"
"65","198","52"
"65","206","62"
"65","226","89"
"66","163","12"
"66","166","10"
"66","169","11"
"66","184","38"
"67","166","10"
"67","166","16"
"67","197","51"
"67","198","52"
"67","212","121"
"67","226","89"
"67","226","97"
"68","166","10"
"68","198","52"
"68","221","78"
"68","226","89"
"69","169","11"
"69","180","35"
"69","210","66"
"69","221","78"
"69","233","102"
"70","163","12"
"70","166","16"
"70","171","14"
"70","204","59"
"71","162","129"
"71","163","12"
"71","189","42"
"71","197","79"
"71","210","66"
"71","221","78"
"71","226","89"
"72","163","12"
"73","163","12"
"73","204","59"
"73","219","76"
"73","222","80"
"73","229","123"
"74","163","12"
"75","170","13"
"76","166","16"
"76","170","13"
"76","174","18"
"77","170","13"
"77","229","96"
"78","170","13"
"78","221","78"
"78","222","94"
"79","170","13"
"79","181","27"
"79","218","75"
"79","219","76"
"80","170","13"
"80","196","50"
"80","198","52"
"80","212","68"
"80","221","78"
"80","222","80"
"80","226","89"
"80","229","126"
"80","229","109"
"80","231","98"
"81","170","13"
"81","175","20"
"81","184","38"
"81","189","42"
"81","198","52"
"81","204","59"
"81","205","61"
"81","210","69"
"81","214","71"
"81","217","74"
"81","219","76"
"81","221","78"
"81","223","82"
"81","231","98"
"81","231","115"
"82","166","16"
"82","170","13"
"82","189","42"
"82","198","52"
"82","212","121"
"82","212","113"
"82","212","103"
"82","219","76"
"82","222","80"
"82","226","89"
"83","170","13"
"83","222","100"
"83","235","117"
"84","171","14"
"84","176","21"
"84","180","35"
"84","180","31"
"84","180","33"
"84","204","59"
"84","205","61"
"84","207","63"
"84","210","69"
"84","211","67"
"84","212","116"
"84","217","74"
"84","218","75"
"84","220","77"
"84","222","80"
"84","227","90"
"85","175","20"
"85","177","22"
"85","179","24"
"85","197","51"
"85","198","52"
"85","210","69"
"85","218","75"
"85","226","89"
"86","175","20"
"86","197","79"
"86","212","121"
"86","212","116"
"86","226","97"
"87","175","20"
"87","218","75"
"87","221","78"
"87","222","112"
"88","175","20"
"89","175","20"
"89","180","35"
"89","197","79"
"89","198","52"
"89","214","71"
"90","175","20"
"90","197","51"
"90","221","78"
"90","226","97"
"90","229","132"
"91","176","21"
"92","176","21"
"92","196","50"
"92","197","51"
"92","197","79"
"92","198","52"
"92","212","113"
"92","212","124"
"92","212","116"
"92","212","121"
"92","226","89"
"93","176","21"
"93","222","112"
"93","229","96"
"93","237","125"
"94","177","22"
"95","180","35"
"95","181","27"
"95","205","61"
"95","213","70"
"95","222","112"
"95","227","90"
"95","229","132"
"95","231","122"
"95","231","115"
"95","231","98"
"96","184","38"
"96","222","80"
"97","189","42"
"98","189","42"
"98","215","72"
"99","189","42"
"99","203","60"
"99","204","59"
"99","206","62"
"99","207","63"
"99","216","73"
"99","229","132"
"100","189","42"
"101","189","42"
"101","209","65"
"101","210","69"
"101","212","103"
"101","222","108"
"101","229","96"
"101","231","98"
"102","189","42"
"102","198","52"
"102","204","59"
"102","222","108"
"102","222","112"
"102","222","100"
"102","229","123"
"102","229","132"
"103","196","50"
"103","197","79"
"103","197","51"
"103","198","52"
"103","206","62"
"103","212","116"
"103","212","113"
"103","212","121"
"103","212","124"
"103","221","78"
"103","222","80"
"103","226","89"
"104","196","50"
"104","212","121"
"104","221","78"
"105","197","51"
"105","198","52"
"106","197","51"
"107","197","79"
"107","197","51"
"107","212","113"
"107","212","121"
"108","197","51"
"109","162","129"
"109","197","79"
"109","197","51"
"109","198","52"
"109","212","121"
"109","212","124"
"109","212","116"
"109","221","78"
"109","226","89"
"109","226","97"
"110","197","51"
"110","204","59"
"110","205","61"
"111","197","51"
"111","198","52"
"112","198","52"
"112","209","65"
"113","197","79"
"113","198","52"
"113","222","112"
"113","226","89"
"114","198","52"
"114","223","82"
"114","236","118"
"115","198","52"
"116","198","52"
"116","221","78"
"117","198","52"
"118","198","52"
"118","217","74"
"118","223","82"
"118","231","115"
"119","197","79"
"119","198","52"
"119","212","124"
"119","212","116"
"119","221","78"
"119","237","125"
"119","238","131"
"120","198","52"
"120","212","103"
"121","198","52"
"121","204","59"
"121","205","61"
"121","214","71"
"121","218","75"
"121","219","76"
"121","229","109"
"122","198","52"
"122","222","100"
"122","222","80"
"122","222","92"
"122","222","94"
"122","225","84"
"122","226","89"
"122","229","123"
"122","229","96"
"122","233","102"
"123","198","52"
"123","222","80"
"123","229","109"
"123","229","96"
"124","198","52"
"124","204","59"
"125","204","59"
"125","209","65"
"125","212","113"
"125","216","73"
"125","221","78"
"125","226","89"
"126","204","59"
"126","222","80"
"126","222","100"
"126","229","96"
"126","229","123"
"126","229","126"
"127","204","59"
"128","204","59"
"128","214","71"
"128","220","77"
"128","237","125"
"129","204","59"
"130","203","60"
"131","197","79"
"131","206","62"
"131","216","73"
"131","226","89"
"131","227","90"
"132","207","63"
"132","210","66"
"132","211","67"
"132","222","80"
"133","209","65"
"133","210","66"
"134","210","69"
"135","213","70"
"135","222","112"
"136","215","72"
"137","215","72"
"137","223","82"
"137","226","89"
"138","216","73"
"138","225","84"
"139","216","73"
"139","226","89"
"140","216","73"
"141","197","79"
"141","218","75"
"141","226","89"
"142","218","75"
"143","219","76"
"144","220","77"
"144","227","90"
"145","220","77"
"146","220","77"
"147","197","79"
"148","222","80"
"149","223","82"
"150","223","82"
"151","222","108"
"151","222","100"
"151","222","92"
"151","229","96"
"151","229","132"
"151","235","117"
"151","237","125"
"151","238","131"
"152","212","103"
"152","229","126"
"152","229","96"
"153","229","96"
"153","229","109"
"154","222","100"
"154","229","132"
"154","238","131"
"155","231","115"
"156","237","125"
"157","237","125"
"158","229","126"
"159","204","127"
