"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"1","301","1"
"2","310","126"
"2","310","96"
"2","301","1"
"3","270","2"
"4","270","2"
"5","282","103"
"5","274","3"
"6","332","58"
"6","332","58"
"6","332","58"
"6","332","58"
"6","290","116"
"6","295","66"
"6","275","46"
"6","281","56"
"6","282","68"
"6","300","77"
"6","310","128"
"6","338","59"
"6","338","59"
"6","338","59"
"6","338","59"
"6","273","89"
"6","274","3"
"6","263","121"
"7","309","17"
"7","298","51"
"7","305","7"
"7","295","69"
"7","306","15"
"7","289","70"
"7","260","21"
"7","284","78"
"7","287","73"
"7","290","110"
"7","317","65"
"7","314","23"
"7","305","10"
"7","261","9"
"7","304","6"
"7","258","135"
"7","335","19"
"7","311","86"
"7","296","62"
"7","305","16"
"7","266","74"
"7","290","98"
"7","312","4"
"7","337","37"
"7","265","90"
"7","303","5"
"7","279","8"
"7","283","82"
"8","303","5"
"9","304","6"
"9","305","16"
"9","306","15"
"10","261","9"
"10","305","16"
"10","305","7"
"11","318","38"
"11","340","48"
"11","301","53"
"11","298","51"
"11","318","30"
"11","293","64"
"11","294","63"
"11","305","16"
"11","305","7"
"11","317","65"
"11","332","58"
"11","332","58"
"11","332","58"
"11","332","58"
"11","273","89"
"11","289","70"
"11","290","116"
"11","259","26"
"11","273","97"
"11","286","75"
"11","334","20"
"11","300","77"
"11","287","73"
"11","306","15"
"11","339","43"
"11","263","121"
"11","309","17"
"11","310","128"
"11","335","19"
"11","267","49"
"11","337","37"
"11","295","69"
"12","261","9"
"13","261","9"
"14","305","10"
"15","318","34"
"15","301","53"
"15","309","17"
"15","332","58"
"15","332","58"
"15","332","58"
"15","332","58"
"15","286","75"
"15","290","98"
"15","335","19"
"15","290","120"
"15","296","62"
"15","282","122"
"15","318","38"
"15","298","51"
"15","290","116"
"15","294","63"
"15","266","74"
"15","311","86"
"15","317","65"
"15","334","20"
"15","299","52"
"15","295","69"
"15","289","70"
"15","260","21"
"15","283","82"
"15","332","60"
"15","284","78"
"15","287","73"
"15","318","32"
"15","290","110"
"15","318","24"
"15","278","14"
"15","265","90"
"16","284","78"
"16","314","36"
"16","287","73"
"16","286","75"
"16","295","66"
"16","266","74"
"16","296","62"
"16","307","112"
"16","265","90"
"16","332","58"
"16","332","58"
"16","332","58"
"16","332","58"
"16","298","51"
"16","294","63"
"16","311","84"
"16","335","19"
"16","283","82"
"16","318","38"
"16","290","98"
"17","318","34"
"17","282","117"
"17","310","124"
"17","321","118"
"17","290","123"
"17","307","100"
"17","318","38"
"17","298","51"
"17","268","130"
"17","310","109"
"17","318","32"
"17","307","112"
"17","307","94"
"17","307","92"
"17","318","30"
"17","307","108"
"17","299","52"
"17","307","80"
"17","310","96"
"18","273","97"
"18","282","68"
"18","273","89"
"18","282","103"
"18","282","113"
"18","275","46"
"18","281","56"
"18","310","124"
"18","263","121"
"19","340","48"
"20","267","49"
"21","298","51"
"22","310","93"
"22","308","131"
"22","290","123"
"22","310","96"
"22","282","125"
"22","310","109"
"22","298","51"
"22","307","112"
"23","298","51"
"24","332","58"
"24","332","58"
"24","332","58"
"24","332","58"
"24","333","102"
"24","310","126"
"24","338","59"
"24","338","59"
"24","338","59"
"24","338","59"
"25","295","66"
"25","262","85"
"25","294","63"
"26","295","66"
"27","295","66"
"28","307","100"
"28","333","102"
"28","300","77"
"28","265","90"
"28","310","128"
"29","300","77"
"29","310","128"
"30","307","100"
"30","310","124"
"30","282","117"
"30","310","96"
"30","307","92"
"30","268","130"
"31","307","92"
"32","307","92"
"33","282","117"
"33","310","96"
"33","310","124"
"33","307","112"
"34","290","98"
"35","290","98"
"36","307","100"
"37","307","100"
"38","307","100"
"39","307","112"
"40","288","114"
"41","288","114"
"42","321","118"
"43","321","118"
"44","310","128"
