"SOURCE NODE ID","TARGET NODE ID","SOURCE SCENE ID","TARGET SCENE ID"
"334","260","20","21"
"301","260","1","2"
"274","260","3","2"
"305","261","10","9"
"279","261","8","9"
"311","262","86","85"
"311","262","84","85"
"282","263","122","121"
"290","263","120","121"
"273","265","89","90"
"286","266","75","74"
"287","266","73","74"
"340","267","48","49"
"308","268","131","130"
"265","273","90","89"
"290","273","98","97"
"310","273","96","97"
"260","274","2","3"
"312","274","4","3"
"306","278","15","14"
"305","278","13","14"
"305","279","7","8"
"261","279","9","8"
"307","282","112","113"
"310","282","124","125"
"290","282","116","117"
"290","282","123","122"
"321","282","118","117"
"333","282","102","103"
"263","282","121","122"
"295","282","69","68"
"310","282","126","125"
"288","282","114","113"
"300","284","77","78"
"266","286","74","75"
"266","287","74","73"
"282","288","113","114"
"295","289","69","70"
"282","290","117","116"
"310","290","124","123"
"263","290","121","120"
"310","290","109","110"
"273","290","97","98"
"282","290","122","123"
"294","293","63","64"
"317","293","65","64"
"293","294","64","63"
"296","294","62","63"
"317","295","65","66"
"289","295","70","69"
"282","295","68","69"
"294","296","63","62"
"299","298","52","51"
"301","299","53","52"
"298","299","51","52"
"284","300","78","77"
"299","301","52","53"
"260","301","2","1"
"305","302","13","12"
"312","303","4","5"
"304","303","6","5"
"305","304","7","6"
"303","304","5","6"
"261","305","9","10"
"302","305","12","13"
"309","305","17","16"
"304","305","6","7"
"279","305","8","7"
"278","305","14","13"
"306","305","15","16"
"305","306","16","15"
"278","306","14","15"
"282","307","113","112"
"310","307","93","94"
"310","307","109","108"
"310","307","93","92"
"268","308","130","131"
"305","309","16","17"
"307","310","92","93"
"307","310","108","109"
"290","310","110","109"
"307","310","94","93"
"282","310","125","124"
"290","310","123","124"
"273","310","97","96"
"282","310","125","126"
"262","311","85","84"
"262","311","85","86"
"274","312","3","4"
"303","312","5","4"
"259","314","26","25"
"318","314","24","23"
"318","314","24","25"
"337","314","37","36"
"295","317","66","65"
"293","317","64","65"
"314","318","25","24"
"337","318","37","38"
"314","318","23","24"
"282","321","117","118"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","58"
"338","332","59","60"
"338","332","59","60"
"338","332","59","60"
"338","332","59","60"
"282","333","103","102"
"260","334","21","20"
"335","334","19","20"
"334","335","20","19"
"314","337","36","37"
"318","337","38","37"
"332","338","60","59"
"332","338","60","59"
"332","338","60","59"
"332","338","60","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"332","338","58","59"
"267","340","49","48"
"314","259","25","26"
