"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","SHUTTLE CAPTAIN","[1,4]","[3,1]"
"2","DEATH STAR CONTROLLER","[127,96,4]","[561,2,459]"
"3","OFFICER","[5]","[4]"
"4","OPERATOR","[5]","[5]"
"5","JERJERROD","[103,6]","[15,6,8,10,12,492]"
"6","VADER","[129,116,121,89,79,6,50,42,72,73,65,62,66]","[254,269,266,265,252,250,166,168,164,523,525,529,527,540,541,538,434,441,395,397,409,407,399,405,404,402,311,309,308,305,11,9,7,566,14,13,16]"
"7","THREEPIO","[132,110,115,90,98,75,76,74,77,80,86,82,9,8,7,10,12,11,20,22,24,13,14,16,18,59,61,38,71,68]","[291,272,284,248,226,120,235,119,122,121,146,148,498,500,501,513,517,446,476,475,473,470,479,424,422,428,414,315,317,331,333,329,324,348,344,342,337,335,360,358,355,352,353,350,351,111,110,62,56,55,60,59,58,57,48,46,50,108,96,98,90,79,577,41,42,44,38,39,40,33,34,36,30,31,26,25,28,22,21,24,23,18,17,19]"
"8","STRANGE VOICE","[8,59]","[20,231]"
"9","BIB","[9,14,16]","[27,32,29,91,92]"
"10","JABBA","[10,12,13,16]","[35,97,52,54]"
"11","LUKE","[129,116,121,89,97,75,74,78,76,79,10,20,21,31,27,14,16,61,59,42,38,52,51,71,69,70,63,65]","[290,287,288,276,282,283,279,281,260,263,242,247,115,117,124,125,234,206,208,210,212,214,192,191,200,198,204,202,177,175,180,178,185,183,189,186,171,173,162,163,161,156,150,147,149,524,528,526,539,544,542,436,432,439,467,374,376,379,378,381,367,369,371,372,383,385,408,406,410,401,400,398,403,316,330,327,328,322,320,349,347,365,362,363,354,113,101,103,105,93,94,95,99,86,88,87,89,569,567,565,37]"
"12","NINEDENINE","[11,12]","[47,45,51,49,43]"
"13","OOLA","[12]","[53]"
"14","BOUSHH","[13]","[63,64,61,68,66]"
"15","HAN SOLO","[122,132,110,115,116,118,120,90,98,76,75,74,78,77,80,86,82,20,21,22,25,33,35,13,14,59,52,61,60,42,71,73,65,63,68,69,67]","[286,289,274,275,270,271,285,280,261,259,257,256,255,264,262,245,243,240,241,249,246,223,116,222,118,114,229,228,123,233,236,131,127,128,130,216,218,155,154,157,152,142,144,140,139,136,137,134,135,132,499,502,512,514,519,522,537,534,546,443,445,478,390,391,386,412,427,420,314,332,326,323,325,318,319,321,346,341,340,339,338,336,334,361,359,356,112,109,71,69,75,76,73,74,67,65,102,104,106,100,85,80,82,81,84,83,576]"
"16","LEIA","[112,115,90,98,78,76,77,80,82,84,20,13,59,61,42,37,71,69,72,63,68]","[293,292,299,298,300,295,294,297,296,273,278,258,244,230,232,159,153,145,503,515,520,444,477,375,377,380,366,368,370,373,392,382,384,387,388,389,413,411,425,423,421,303,345,343,364,357,72,70,107,78,77]"
"17","LANDO","[123,125,132,131,108,109,112,117,92,94,96,100,80,31,33,52,60,39,35,42]","[238,239,126,237,129,217,158,160,151,143,141,138,133,495,497,505,533,530,548,557,555,554,448,455,454,457,462,480,493,486,417,415,419,574,571,559]"
"18","EMPEROR","[121,124,103,113,97,89,50,73,62]","[253,251,167,169,165,508,509,545,543,549,552,551,550,435,437,430,431,433,442,307,312,313,310,429,491,465,464,466,468,440,438]"
"19","YODA","[51]","[176,174,181,179,184,182,188,187,170,172]"
"20","BEN","[52]","[203,205,199,201,194,195,196,197,190,193,215,213,211,209,207]"
"21","MON MOTHMA","[52]","[220,219]"
"22","ACKBAR","[123,126,132,109,112,96,93,80,59]","[224,221,494,496,504,547,453,458,460,416,418,573,560]"
"23","GENERAL MADINE","[59]","[227,225]"
"24","PIETT","[127,102,65,66]","[562,563,488,490,267,268]"
"25","SCOUT #1","[85,69,72]","[426,277,301]"
"26","SCOUT #2","[72]","[302]"
"27","GUARD","[72]","[306,304]"
"28","COMMANDER","[129,102,90,100,79]","[564,396,394,393,487,489,447]"
"29","WEDGE","[125,131,132,117,92,96,100]","[532,553,556,452,449,463,484,481,575,572,570]"
"30","GRAY LEADER","[92]","[450]"
"31","GREEN LEADER","[92]","[451]"
"32","RED LEADER","[94]","[456]"
"33","REBEL PILOT","[125,112,117,96]","[558,461,531,506]"
"34","STORMTROOPER","[115,98]","[472,474,469,521,518,516]"
"35","BUNKER COMMANDER","[98]","[471]"
"36","RED TWO","[100]","[482]"
"37","RED THREE","[100]","[483]"
"38","NAVIGATOR","[100]","[485]"
"39","Y-WING PILOT","[112]","[507]"
"40","WALKER PILOT #1","[114]","[510]"
"41","PILOT #2","[114]","[511]"
"42","CONTROL ROOM COMMANDER","[118]","[535]"
"43","SECOND COMMANDER","[118]","[536]"
"44","ANAKIN","[129]","[568]"
