"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"45","clearance","[1,63,65]","[1,256,266]"
"46","shield","[59,67,63,71,73,77,80,1,4,89,94,109,123,127]","[225,221,270,256,289,308,360,417,1,2,442,441,455,454,497,547,561]"
"47","shuttle","[59,67,65,63,5]","[228,225,270,265,256,4]"
"48","commander","[6,79,5,103,118]","[14,16,7,395,4,491,534]"
"49","vader","[129,79,78,73,52,42,50,51,6]","[564,401,400,371,310,312,308,313,214,215,204,203,205,163,165,192,178,177,6,8]"
"50","back","[125,118,115,98,90,82,78,77,74,72,71,52,42,51,12,13,8,6]","[557,535,521,479,476,446,420,385,361,376,316,301,285,199,204,161,154,175,50,74,19,7]"
"51","emperor","[6,51,42,52,72,73,79,78,89,102,116]","[11,16,188,163,219,211,207,304,305,306,308,397,385,402,401,409,431,490,522,529]"
"52","lando","[132,7,35,33,21,42,52,96,112]","[575,576,17,132,130,140,117,157,217,460,503]"
"53","jabba","[20,24,9,10,14,13,8,7]","[113,108,122,29,30,37,86,76,87,58,57,74,60,22,28,18]"
"54","told","[7,16,51,52,67,68,73,123]","[18,92,182,192,193,217,271,272,307,548]"
"55","master","[89,79,75,76,73,74,71,62,50,51,22,16,11,12,9,14,8]","[431,409,405,331,352,350,348,311,309,315,291,250,254,166,178,173,120,96,42,49,28,91,90,88,26,19]"
"56","luke","[129,124,121,89,78,75,76,73,74,70,69,71,63,59,52,42,51,20,16,38,22,11,10,14,8]","[564,568,551,538,431,388,370,362,382,377,331,342,352,350,348,314,315,283,279,277,291,285,261,232,233,215,194,193,205,204,162,154,153,188,110,96,100,146,120,42,37,38,83,92,19]"
"57","artoo","[110,98,90,75,76,71,52,22,38,10,12,9,8]","[500,501,479,476,473,478,477,446,324,352,355,291,290,189,119,146,148,120,41,39,50,33,28,36,19,23,22,24,25]"
"58","lets","[8,38,20,42,61,65,72,75,98,115]","[19,150,112,160,245,264,246,303,322,472,514]"
"59","threepio","[8,9,12,25,71,76,90]","[19,28,50,123,291,347,345,354,445]"
"60","rush","[51,8]","[185,24]"
"61","wait","[8,14,35,69,73,90,116]","[24,25,82,141,279,280,312,446,522]"
"62","bring","[9,13,16,18,50,73,79,98,116]","[28,76,94,98,167,313,395,401,471,528]"
"63","moment","[13,9,72,90,97]","[63,28,304,444,466]"
"64","good","[121,117,116,113,98,82,79,77,78,75,59,60,52,51,42,20,11,10,13]","[543,532,529,526,522,509,473,420,401,395,361,385,324,222,239,237,196,193,198,199,171,153,109,43,34,74]"
"65","skywalker","[16,10,52,50,62,79,89]","[92,37,193,165,253,400,429]"
"66","droids","[10,12,11,38]","[37,49,43,150]"
"67","jedi","[10,16,51,52,89,97,121]","[37,96,93,92,177,188,197,215,433,466,544]"
"68","wrong","[10,52,78,89]","[39,197,195,378,362,436]"
"69","hold","[11,35,66,78,102]","[42,138,139,268,392,488]"
"70","speak","[14,12,16,59]","[86,47,93,229]"
"71","leave","[12,42,66,78,79,89,129]","[50,155,269,382,395,431,569,567,566]"
"72","guard","[12]","[50]"
"73","main","[12,59,76,80,123]","[50,221,342,411,547]"
"74","barge","[12]","[51]"
"75","bounty","[13]","[54,59]"
"76","wookiee","[13,16,18]","[54,94,98]"
"77","holding","[96,13]","[458,59]"
"78","kind","[13,78,94]","[59,368,454]"
"79","free","[13,27,76,75]","[63,124,345,322]"
"80","time","[13,50,52,68,78,80,89,98,109,126]","[66,167,195,219,274,378,417,431,479,497,560]"
"81","leia","[115,98,13,38,20,42,52,61,59,71,69,74,76,78,82]","[521,513,478,71,146,106,161,212,245,226,285,279,317,342,379,378,371,363,422]"
"82","friends","[13,16,42,52,76,80,89,103,113,121]","[77,95,157,204,345,417,440,438,442,441,491,508,540]"
"83","watch","[13,100,117]","[79,480,530]"
"84","chewie","[116,90,14,35,31,33,21,61,59,67,63,69,74,75,77,80]","[522,443,80,135,125,127,129,144,139,140,117,246,243,234,270,261,255,275,318,321,320,319,359,328,412]"
"85","great","[24,20,22,51,52,69,75,89]","[122,108,118,188,197,277,321,433]"
"86","hate","[20,79,97,116,121]","[109,408,466,522,543]"
"87","long","[20,75,78,112]","[109,324,372,504]"
"88","slowly","[20]","[111]"
"89","thought","[35,20,52,71,79]","[141,112,199,197,286,404]"
"90","make","[20,51,78,97,132]","[113,170,376,466,574,575]"
"91","light","[21]","[114]"
"92","dark","[21,51,52,50,79,89,113,116,121,124]","[114,187,193,167,405,435,509,529,541,540,544,551]"
"93","close","[21,96,112,125]","[117,458,503,504,559]"
"94","whistles","[22]","[120]"
"95","move","[27,35,61,70,90,98,112,115,122,132]","[124,142,140,245,281,443,474,469,503,518,546,573]"
"96","jump","[80,38]","[418,148]"
"97","sand","[42]","[152]"
"98","hand","[72,42]","[305,153]"
"99","ship","[132,42,60,59,63,62,73]","[575,154,236,225,260,253,307]"
"100","dust","[42]","[160]"
"101","comlink","[42,65,69,96,98,103,108]","[161,162,265,279,460,478,491,493]"
"102","star","[42,52,59,100,108,112,123,132]","[164,220,221,486,493,503,504,505,547,573]"
"103","side","[51,50,52,62,78,79,80,89,113,116,121,124]","[187,167,205,199,251,385,405,411,414,435,509,529,543,541,540,544,551]"
"104","turn","[50,78,121]","[167,385,541,544]"
"105","yoda","[51,52]","[177,178,180,185,190,173,171,203,197,208]"
"106","points","[51]","[171]"
"107","complete","[51,79,113,121]","[175,402,509,541]"
"108","shakes","[51]","[177]"
