SCENE ID,START TIME,END TIME
"1","00:00:00","00:02:38"
"1--3","00:02:38","00:02:39"
"3","00:02:39","00:02:41"
"4","00:02:41","00:02:47"
"5","00:02:47","00:03:20"
"6","00:03:20","00:04:47"
"7","00:04:47","00:05:47"
"8","00:05:47","00:06:38"
"9","00:06:38","00:08:10"
"10","00:08:10","00:10:26"
"11","00:10:26","00:10:52"
"12","00:10:52","00:12:18"
"13","00:12:18","00:21:17"
"14","00:21:17","00:21:44"
"14--16","00:21:44","00:21:54"
"16","00:21:54","00:24:46"
"17","00:24:46","00:25:18"
"18","00:25:18","00:28:14"
"18--20","00:28:14","00:28:29"
"20","00:28:29","00:29:30"
"21","00:29:30","00:30:38"
"22","00:30:38","00:31:06"
"22--24","00:31:06","00:31:29"
"24","00:31:29","00:31:44"
"25","00:31:44","00:32:05"
"26","00:32:05","00:32:13"
"27","00:32:13","00:32:39"
"27--31","00:32:39","00:33:03"
"31","00:33:03","00:33:16"
"31--33","00:33:16","00:33:23"
"33","00:33:23","00:33:47"
"33--35","00:33:47","00:34:20"
"35","00:34:20","00:35:44"
"35--37","00:35:44","00:35:46"
"37","00:35:46","00:35:55"
"38","00:35:55","00:36:17"
"39","00:36:17","00:36:34"
"39--42","00:36:34","00:37:10"
"42","00:37:10","00:37:14"
"42--44","00:37:14","00:37:25"
"44","00:37:25","00:37:27"
"44--47","00:37:27","00:37:32"
"47","00:37:32","00:37:33"
"47--49","00:37:33","00:37:39"
"49","00:37:39","00:38:46"
"50","00:38:46","00:39:27"
"51","00:39:27","00:44:50"
"52","00:44:50","00:47:17"
"53","00:47:17","00:47:37"
"53--56","00:47:37","00:49:36"
"56","00:49:36","00:49:38"
"56--58","00:49:38","00:50:14"
"58","00:50:14","00:50:18"
"59","00:50:18","00:51:48"
"60","00:51:48","00:52:30"
"61","00:52:30","00:53:29"
"62","00:53:29","00:54:28"
"63","00:54:28","00:55:19"
"64","00:55:19","00:55:50"
"65","00:55:50","00:55:59"
"66","00:55:59","00:56:18"
"67","00:56:18","00:56:37"
"68","00:56:37","00:57:34"
"69","00:57:34","00:58:49"
"70","00:58:49","00:59:50"
"71","00:59:50","01:02:30"
"72","01:02:30","01:06:04"
"73","01:06:04","01:07:43"
"74","01:07:43","01:08:35"
"75","01:08:35","01:12:11"
"76","01:12:11","01:16:31"
"77","01:16:31","01:18:14"
"78","01:18:14","01:22:52"
"79","01:22:52","01:25:44"
"80","01:25:44","01:26:52"
"80--82","01:26:52","01:28:06"
"82","01:28:06","01:28:33"
"82--84","01:28:33","01:28:44"
"84","01:28:44","01:28:46"
"85","01:28:46","01:28:50"
"86","01:28:50","01:29:12"
"86--89","01:29:12","01:30:55"
"89","01:30:55","01:33:19"
"90","01:33:19","01:34:00"
"90--92","01:34:00","01:34:19"
"92","01:34:19","01:34:28"
"93","01:34:28","01:34:35"
"94","01:34:35","01:34:55"
"94--96","01:34:55","01:35:01"
"96","01:35:01","01:35:28"
"97","01:35:28","01:36:41"
"98","01:36:41","01:39:55"
"98--100","01:39:55","01:40:56"
"100","01:40:56","01:41:08"
"100--102","01:41:08","01:41:15"
"102","01:41:15","01:41:23"
"103","01:41:23","01:41:54"
"103--108","01:41:54","01:42:00"
"108","01:42:00","01:42:08"
"109","01:42:08","01:42:23"
"110","01:42:23","01:43:18"
"110--112","01:43:18","01:43:59"
"112","01:43:59","01:44:23"
"113","01:44:23","01:45:14"
"114","01:45:14","01:45:55"
"115","01:45:55","01:48:42"
"116","01:48:42","01:50:40"
"117","01:50:40","01:51:01"
"118","01:51:01","01:51:18"
"118--120","01:51:18","01:51:33"
"120","01:51:33","01:51:35"
"121","01:51:35","01:54:37"
"122","01:54:37","01:54:39"
"123","01:54:39","01:55:01"
"124","01:55:01","01:56:27"
"125","01:56:27","01:58:44"
"126","01:58:44","01:58:53"
"127","01:58:53","01:59:12"
"127--129","01:59:12","02:00:01"
"129","02:00:01","02:01:37"
"129--131","02:01:37","02:02:03"
"131","02:02:03","02:02:12"
"132","02:02:12","02:02:35"
"132--136","02:02:35","02:03:22"
"136","02:03:22","02:03:24"
