"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"8","1","40"
"3","2","44"
"4","2","42"
"24","2","46"
"17","2","46"
"15","2","26"
"17","2","35"
"14","2","44"
"10","2","44"
"8","2","63"
"26","2","59"
"20","2","59"
"17","2","59"
"3","2","46"
"20","2","54"
"17","2","54"
"10","2","54"
"3","2","4"
"4","2","4"
"7","2","5"
"8","2","5"
"3","2","3"
"4","2","18"
"9","2","18"
"16","2","26"
"3","2","18"
"5","2","5"
"6","2","5"
"4","2","6"
"6","2","6"
"28","2","84"
"20","2","77"
"17","2","73"
"14","2","73"
"14","2","74"
"20","2","73"
"20","2","74"
"17","2","74"
"17","2","109"
"3","2","109"
"4","2","92"
"20","2","109"
"4","2","95"
"24","2","99"
"29","2","95"
"24","2","95"
"26","2","68"
"4","2","64"
"10","2","64"
"14","2","64"
"17","2","64"
"20","2","64"
"26","2","64"
"8","2","59"
"26","2","74"
"10","2","71"
"14","2","71"
"17","2","71"
"20","2","71"
"26","2","71"
"3","2","68"
"8","2","68"
"15","2","190"
"4","2","190"
"4","2","191"
"20","2","101"
"26","2","101"
"30","2","112"
"16","2","188"
"15","2","188"
"37","2","188"
"36","2","188"
"39","2","188"
"38","2","188"
"10","2","158"
"20","2","168"
"16","2","158"
"15","2","158"
"3","2","111"
"4","2","122"
"8","2","101"
"8","3","107"
"2","3","68"
"8","3","68"
"26","3","68"
"26","3","104"
"2","3","109"
"17","3","109"
"20","3","109"
"2","3","111"
"8","3","104"
"6","3","104"
"4","3","18"
"9","3","18"
"11","3","19"
"2","3","18"
"2","3","3"
"2","3","4"
"4","3","4"
"23","3","38"
"20","3","37"
"17","3","41"
"17","3","41"
"17","3","41"
"17","3","41"
"17","3","38"
"9","3","19"
"10","3","19"
"21","3","37"
"22","3","37"
"2","3","44"
"24","3","46"
"17","3","46"
"2","3","46"
"14","3","41"
"14","3","41"
"14","3","41"
"14","3","41"
"10","3","41"
"10","3","41"
"10","3","41"
"10","3","41"
"14","3","44"
"10","3","44"
"2","4","191"
"3","4","18"
"9","4","18"
"2","4","6"
"6","4","6"
"2","4","4"
"3","4","4"
"10","4","64"
"2","4","64"
"17","4","64"
"14","4","64"
"26","4","64"
"20","4","64"
"2","4","18"
"2","4","42"
"15","4","190"
"2","4","190"
"2","4","95"
"2","4","122"
"29","4","95"
"24","4","95"
"27","4","76"
"2","4","92"
"20","5","123"
