"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","THE OTHER","[40, 1]","[270, 1, 3, 1, 2, 270, 265, 2, 265, 270, 1, 2, 265, 3, 2, 270, 2]"
"2","NICK FURY","[3, 4, 5, 6, 16, 18, 26, 35, 44, 42, 46, 54, 63, 59, 64, 68, 71, 74, 73, 84, 75, 77, 95, 99, 92, 109, 101, 112, 111, 113, 114, 122, 158, 168, 188, 190, 191]","[890, 571, 63, 73, 73, 143, 512, 935, 294, 892, 935, 73, 690, 20, 565, 929, 55, 935, 890, 573, 935, 48, 512, 580, 690, 37, 929, 55, 546, 512, 923, 63, 65, 294, 685, 411, 171, 73, 147, 35, 161, 319, 20, 565, 20, 34, 301, 685, 652, 151, 16, 933, 935, 594, 301, 690, 73, 935, 42, 153, 149, 301, 169, 7, 71, 42, 161, 319, 156, 563, 73, 443, 319, 69, 690, 165, 690, 411, 935, 512, 925, 18, 319, 935, 514, 516, 30, 409, 319, 690, 514, 48, 153, 689, 20, 7, 55, 319, 632, 921, 153, 657, 411, 869, 935, 512, 443, 319, 411, 935, 12, 73, 319, 73, 145, 690, 760, 30, 10, 319, 563, 292, 22, 294, 514, 690, 411, 26, 688, 690, 163, 71, 299, 173, 929, 63, 30, 34, 32, 929, 443, 690, 565, 63, 618, 35, 292, 690, 760, 630, 143, 890, 20]"
"3","AGENT PHIL COULSON","[3, 4, 10, 12, 18, 19, 37, 38, 41, 44, 46, 68, 107, 109, 104, 111]","[211, 221, 216, 96, 313, 67, 258, 684, 85, 251, 667, 296, 6, 260, 254, 211, 296, 251, 5, 8, 11, 6, 11, 255, 666, 260, 667, 258, 670, 254, 84, 296, 251, 260, 84, 211, 216, 66, 670, 260, 6, 504, 67, 96, 254, 68, 67, 315, 296, 84, 684, 84, 91, 508, 68, 67, 211, 506, 13, 67]"
"4","AGENT MARIA HILL","[4, 6, 17, 18, 42, 64, 76, 92, 95, 122, 148, 167, 190, 191]","[9, 17, 756, 17, 72, 17, 889, 70, 615, 17, 289, 758, 17]"
"5","SELVIG","[5, 45, 123, 162]","[23, 308, 47, 29, 879, 47, 879, 883, 306, 308, 306, 308, 29, 58, 883, 879, 308, 764, 303, 29, 47, 27, 25, 306, 29]"
"6","CLINT BARTON","[5, 6, 45, 72, 80, 104, 117, 120, 142, 131, 155, 149, 146, 160]","[41, 717, 752, 305, 709, 717, 721, 711, 721, 39, 41, 721, 41, 713, 669, 717, 717, 56, 721, 60, 622, 41, 39, 304, 56, 56, 41, 56, 622, 39]"
"7","NASA SCIENTIST","[5]","[38, 38]"
"8","LOKI","[5, 40, 53, 45, 55, 56, 63, 59, 70, 69, 68, 107, 104, 101, 128, 124, 123, 142, 144, 161, 187]","[665, 382, 538, 786, 382, 51, 382, 382, 774, 372, 268, 774, 322, 785, 269, 382, 783, 322, 309, 322, 407, 781, 774, 382, 841, 535, 328, 322, 269, 51, 382, 322, 382, 779, 322, 326, 322, 538, 536, 266, 320, 673, 366, 665, 382, 322, 372, 46, 673, 366, 382, 366, 841, 322, 322, 51, 366, 382, 322, 382, 382, 774, 372, 309, 366, 665, 269, 774, 772, 535]"
"9","LUCHKOV","[19, 18]","[89, 77, 77, 79]"
"10","NATASHA","[19, 23, 41, 44, 53, 54, 55, 64, 70, 69, 71, 82, 79, 100, 117, 120, 130, 143, 142, 133, 152, 144, 162, 160, 158, 172, 181]","[97, 860, 541, 625, 722, 726, 532, 716, 860, 285, 555, 131, 333, 275, 543, 856, 708, 706, 541, 543, 541, 555, 880, 137, 92, 860, 534, 726, 117, 722, 722, 333, 722, 115, 119, 708, 528, 541, 555, 528, 285, 524, 555, 92, 624, 543, 624, 543, 555, 722, 625, 624, 624, 297, 880, 624, 624, 878, 555, 119, 726, 131, 121, 528, 275, 528, 624, 93, 898, 660, 97, 285]"
"11","WEASELLY THUG","[19]","[82]"
"12","ATTENDING WOMAN","[21]",""
"13","LITTLE GIRL","[21]","[101, 101, 101, 101, 101]"
