"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"164","150","116"
"102","150","116"
"106","150","116"
"45","150","116"
"41","150","116"
"257","150","116"
"77","150","116"
"204","150","116"
"160","151","72"
"259","151","72"
"98","151","72"
"233","151","72"
"181","152","156"
"94","153","71"
"96","153","65"
"67","153","65"
"94","153","65"
"71","153","73"
"207","153","71"
"205","153","65"
"88","153","71"
"201","153","65"
"168","153","65"
"47","153","65"
"50","153","71"
"79","153","65"
"82","153","65"
"77","153","65"
"62","153","65"
"57","153","71"
"58","153","65"
"61","153","65"
"165","153","74"
"268","153","71"
"114","153","74"
"155","153","71"
"175","153","65"
"251","153","71"
"196","153","65"
"52","153","65"
"74","153","65"
"185","153","65"
"198","153","73"
"81","153","65"
"71","153","71"
"85","153","71"
"223","153","71"
"202","153","65"
"270","153","71"
"270","153","65"
"266","153","65"
"151","153","65"
"266","153","71"
"179","153","71"
"63","153","71"
"167","153","71"
"46","153","65"
"234","153","65"
"41","153","65"
"257","153","71"
"104","153","65"
"128","153","71"
"121","153","71"
"105","153","65"
"99","153","65"
"126","153","65"
"237","153","65"
"118","153","71"
"106","153","71"
"95","153","71"
"90","153","71"
"228","153","71"
"136","153","71"
"185","153","71"
"143","153","71"
"257","153","73"
"257","153","65"
"144","153","65"
"256","153","65"
"136","153","65"
"252","153","65"
"269","153","73"
"270","153","73"
"268","153","65"
"265","153","65"
"114","153","65"
"111","153","65"
"98","153","71"
"242","153","65"
"132","153","71"
"241","153","74"
"231","153","73"
"258","153","71"
"259","153","73"
"218","153","71"
"219","153","74"
"126","153","71"
"110","153","65"
"112","153","65"
"237","153","74"
"231","153","74"
"125","153","65"
"118","153","65"
"260","153","73"
"145","153","71"
"260","153","65"
"270","153","74"
"156","153","71"
"254","153","71"
"141","153","71"
"137","153","71"
"63","153","65"
"180","153","65"
"198","153","74"
"51","153","65"
"51","153","71"
"93","153","73"
"67","153","71"
"188","153","74"
"198","153","65"
"207","153","65"
"206","153","74"
"82","153","74"
"86","153","73"
"95","153","65"
"95","153","74"
"183","153","77"
"115","153","74"
"98","153","74"
"46","153","74"
"259","153","71"
"143","153","74"
"249","153","73"
"61","153","71"
"95","154","137"
"70","154","137"
"211","154","137"
"222","154","137"
"85","154","137"
"95","154","186"
"200","154","137"
"200","154","186"
"84","154","186"
"175","154","146"
"52","154","146"
"63","154","137"
"172","154","137"
"198","154","186"
"198","154","137"
"188","154","137"
"52","154","137"
"71","154","137"
"77","154","137"
"77","154","155"
"190","154","146"
"213","154","146"
"256","154","186"
"136","154","137"
"249","154","137"
"250","154","137"
"270","154","137"
"268","154","137"
"263","154","137"
"161","154","137"
"163","154","137"
"44","154","186"
"45","154","137"
"262","154","186"
"144","154","186"
"257","154","186"
"257","154","137"
"106","154","137"
"240","154","137"
"216","154","137"
"244","154","137"
"243","154","137"
"239","154","137"
"96","154","143"
"103","154","152"
"42","154","143"
"257","154","152"
"235","154","152"
"84","154","142"
"69","154","142"
"147","154","152"
"154","154","152"
"270","154","152"
"136","154","142"
"147","154","146"
"222","154","146"
"260","154","143"
"160","154","143"
"85","154","143"
"103","154","146"
"45","154","146"
"63","155","64"
"185","155","64"
"66","155","64"
"114","155","64"
"106","155","68"
"75","155","64"
"148","155","68"
"179","155","68"
"185","155","68"
"166","155","68"
"115","155","68"
"216","155","64"
"248","155","68"
"63","155","68"
"198","155","68"
"95","155","68"
"221","155","68"
"207","155","64"
"82","155","64"
"186","155","64"
"95","155","64"
"47","155","64"
"234","155","64"
"228","155","64"
"268","155","64"
"147","155","64"
"264","155","68"
"120","155","64"
"155","155","64"
"141","155","64"
"143","155","64"
"264","156","35"
"214","156","35"
"106","156","35"
"95","156","35"
"175","156","35"
"178","156","35"
"61","156","35"
"258","156","35"
"144","156","35"
"263","156","35"
"44","156","35"
"119","156","35"
"117","156","35"
"240","156","35"
"133","156","35"
"245","156","35"
"98","156","35"
"268","158","18"
"147","158","18"
"264","158","18"
"212","158","18"
"213","158","18"
"175","158","18"
"143","158","18"
"258","158","18"
"228","158","18"
"246","158","18"
"219","158","18"
"90","158","18"
"236","158","18"
"214","160","23"
"103","160","23"
"126","160","23"
"231","160","23"
"47","160","23"
"62","160","23"
"268","160","23"
"185","160","23"
"74","160","23"
"136","160","23"
"143","160","23"
"206","160","23"
"260","160","23"
"46","160","23"
"156","160","23"
"55","160","23"
"198","160","23"
"77","160","23"
"174","160","23"
"71","160","23"
"155","163","4"
"223","163","4"
"109","163","4"
"96","163","4"
"67","163","4"
"181","163","4"
"260","163","4"
"158","163","4"
"45","163","4"
"125","163","4"
"98","163","4"
"237","163","4"
"128","163","4"
"143","163","4"
"61","163","4"
"147","163","4"
"245","163","4"
"74","164","57"
"98","164","57"
"177","164","59"
"170","164","59"
"175","164","59"
"197","164","59"
"94","164","59"
"95","164","59"
"207","164","59"
"56","164","59"
"143","164","59"
"155","164","59"
"136","164","59"
"112","164","59"
"114","164","59"
"106","164","59"
"125","164","59"
"161","164","59"
"222","167","93"
"215","168","46"
"214","168","76"
"183","168","95"
"231","168","84"
"91","168","84"
"183","168","99"
"47","168","99"
"189","168","99"
"202","168","46"
"155","168","191"
"139","168","191"
"248","168","191"
"265","168","44"
"264","168","191"
"268","168","191"
"154","168","191"
"268","168","114"
"71","168","46"
"136","168","191"
"63","168","46"
"268","168","44"
"46","168","46"
"231","168","44"
"239","168","44"
"241","168","158"
"214","168","158"
"209","168","46"
"224","168","114"
"85","168","158"
"87","168","191"
"90","168","191"
"91","168","122"
"200","168","99"
"93","168","46"
"95","168","46"
"95","168","191"
"188","168","46"
"66","168","95"
"185","168","44"
"70","168","114"
"190","168","122"
"175","168","114"
"77","168","114"
"175","168","44"
"182","168","114"
"63","168","114"
"263","168","46"
"55","168","191"
"182","168","122"
"59","168","122"
"136","168","114"
"143","168","84"
"143","168","191"
"255","168","112"
"260","168","46"
"41","168","112"
"163","168","95"
"45","168","191"
"46","168","44"
"231","168","114"
"228","168","191"
"244","168","44"
"133","168","46"
"216","168","46"
"131","168","95"
"214","168","114"
"220","168","114"
"98","168","191"
"98","168","46"
"227","168","191"
"106","168","46"
"106","168","114"
"260","168","44"
"149","168","44"
"254","168","44"
"106","168","44"
"94","168","44"
"226","168","44"
"194","168","46"
"71","168","44"
"176","168","122"
"77","168","42"
"189","168","76"
"41","168","122"
"128","168","191"
"231","169","168"
"56","169","80"
