"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"41","agent","[112, 122, 53, 63, 69, 69, 74, 74, 122, 100, 37, 36, 5, 44, 41, 54, 45, 69, 64]","[685, 756, 322, 407, 528, 525, 598, 594, 757, 660, 218, 186, 34, 301, 271, 334, 309, 522, 430]"
"42","alright","[146, 186, 65, 37, 117]","[844, 913, 461, 223, 706]"
"43","arrow","[117]","[721]"
"44","avengers","[188, 190, 26, 124, 37, 37, 114, 124, 186, 188, 26, 26]","[920, 928, 148, 774, 227, 228, 690, 775, 913, 918, 151, 150]"
"45","back","[137, 131, 191, 146, 74, 73, 85, 74, 35, 35, 71, 70, 4, 190, 86, 37, 122, 117, 142, 142, 4, 5, 18, 19]","[802, 797, 935, 844, 594, 582, 635, 597, 175, 168, 548, 541, 17, 933, 636, 248, 760, 711, 820, 818, 16, 29, 73, 96]"
"46","banner","[64, 64, 65, 65, 70, 70, 88, 74, 38, 21, 41, 38, 74, 114, 137, 142, 142, 143, 21, 44, 74]","[441, 439, 466, 456, 543, 541, 640, 599, 250, 106, 278, 251, 598, 690, 802, 803, 835, 839, 101, 301, 594]"
"47","barton","[99, 64, 45, 19, 70, 69, 69, 69, 6, 5, 146, 99, 5, 5, 6, 19, 45, 64, 65]","[658, 416, 308, 91, 538, 535, 528, 522, 63, 30, 844, 659, 32, 34, 64, 93, 309, 430, 471]"
"48","battle","[40, 40]","[263, 262]"
"49","black","[19, 182]","[79, 908]"
"50","bridge","[41, 65]","[273, 478]"
"51","building","[64, 65, 65]","[416, 473, 472]"
"52","captain","[146, 137, 65, 53, 40, 188, 155, 152, 143, 54, 65, 71, 142, 41, 41, 46]","[843, 802, 460, 322, 270, 919, 863, 856, 840, 338, 466, 575, 812, 271, 275, 319]"
"53","carrier","[84, 19]","[628, 77]"
"54","chitauri","[124, 40, 64, 1]","[774, 261, 414, 2]"
"55","city","[168, 188, 23]","[890, 918, 110]"
"56","close","[5, 36, 63, 95, 146, 152, 162, 172, 182, 80, 59]","[35, 191, 410, 653, 844, 856, 883, 898, 908, 622, 394]"
"57","cluster","[65, 44, 65]","[449, 300, 494]"
"58","collapse","[64]","[427]"
"59","coming","[44, 41, 55, 45, 84, 64, 124, 114, 173, 173]","[292, 279, 350, 308, 630, 414, 774, 690, 902, 901]"
"60","command","[40, 163]","[269, 887]"
"61","control","[26, 63, 4, 26, 72, 86, 64, 65, 71, 71, 90, 104]","[143, 408, 17, 142, 578, 636, 439, 495, 565, 566, 644, 665]"
"62","coulson","[112, 114, 114, 18, 41, 37, 36, 19, 77, 68, 64, 41]","[685, 689, 690, 73, 273, 211, 188, 97, 620, 509, 427, 275]"
"63","cube","[5, 41, 56, 64, 65, 65, 71, 57, 64, 64, 64, 114, 56, 137, 71, 71, 56, 142]","[41, 280, 382, 443, 469, 486, 548, 390, 430, 434, 441, 690, 373, 802, 566, 549, 366, 823]"
"64","dead","[56]","[367]"
"65","director","[163, 12, 71, 26, 158, 158, 5, 5, 26, 12]","[887, 67, 553, 155, 868, 866, 56, 23, 142, 68]"
"66","earth","[40, 40, 124, 71, 56, 56, 64, 68, 71]","[263, 267, 784, 567, 366, 373, 414, 511, 563]"
"67","energy","[162, 123, 65, 65, 65, 64, 56, 36, 35, 23, 5, 5, 4, 4, 4]","[879, 766, 475, 474, 473, 430, 366, 180, 171, 129, 30, 29, 17, 10, 6]"
"68","facing","[23]","[127]"
"69","falls","[107]","[673]"
"70","fight","[114, 188, 137, 82, 73, 162, 142]","[690, 918, 802, 624, 587, 879, 829]"
"71","find","[41, 44, 137, 81, 104, 142, 149, 65, 45, 74, 65, 40, 23, 44, 41, 23]","[275, 296, 802, 623, 667, 804, 851, 486, 303, 608, 501, 270, 131, 297, 280, 118]"
"72","fire","[69, 142, 97]","[535, 818, 655]"
"73","floor","[19]","[84]"
"74","fury","[53, 63, 12, 23, 166, 65, 118, 65, 64, 55, 55, 163, 158, 69, 65, 12, 5, 23, 23, 23, 23]","[332, 411, 67, 131, 888, 460, 739, 464, 428, 349, 348, 887, 866, 521, 469, 68, 56, 135, 132, 130, 121]"
"75","give","[71, 124, 37, 56, 56, 56, 146, 188, 19]","[574, 777, 197, 381, 363, 366, 845, 917, 89]"
"76","glass","[59, 19]","[400, 77]"
"77","good","[143, 186, 23, 42, 53, 114, 117, 137, 68, 64, 74, 70, 116, 85, 142, 118, 36, 23, 54, 42]","[839, 913, 139, 289, 322, 690, 726, 802, 505, 439, 597, 538, 696, 634, 810, 729, 178, 140, 336, 290]"
"78","grabs","[45]","[312]"
"79","green","[64, 116]","[439, 698]"
"80","guard","[142, 142]","[815, 816]"
"81","hammer","[59, 59, 59]","[398, 396, 397]"
"82","hands","[107, 74, 64, 118, 64, 44]","[670, 611, 416, 739, 430, 294]"
"83","head","[124, 117, 84, 37]","[778, 712, 628, 246]"
"84","heroes","[107, 124, 188]","[673, 775, 918]"
"85","hold","[122, 36, 137, 143, 158, 158, 19, 45, 71]","[759, 192, 802, 840, 869, 870, 92, 306, 572]"
"86","hulk","[95, 70, 97, 95, 65, 124]","[650, 543, 655, 651, 499, 782]"
"87","humans","[191, 55, 1, 104, 56]","[935, 347, 3, 665, 374]"
"88","jarvis","[36, 65, 142, 163, 124, 142, 168, 174]","[191, 478, 821, 885, 788, 804, 893, 904]"
"89","late","[142, 123]","[806, 764]"
"90","leave","[10, 26, 37, 37, 188, 26, 71]","[66, 152, 212, 214, 921, 153, 555]"
"91","left","[35, 84, 117, 124, 84, 124]","[177, 632, 720, 770, 631, 769]"
"92","lets","[64, 42, 73, 64, 131, 74, 186, 37]","[442, 290, 591, 447, 798, 608, 913, 223]"
"93","life","[37, 65, 53, 82, 68, 188, 82, 82, 46]","[212, 499, 322, 625, 506, 919, 626, 624, 319]"
"94","light","[65, 59, 146, 65, 36, 55, 38, 36, 65, 63]","[492, 394, 847, 494, 181, 351, 260, 182, 469, 410]"
"95","loki","[162, 137, 191, 162, 5, 5, 64, 64, 65, 68, 64, 64, 64, 64, 53, 55, 56, 57, 6, 26, 35, 45, 46, 190, 142, 128, 124, 118, 118, 117, 117, 117, 82, 71, 70, 68, 68, 68, 118, 118, 117, 117, 68, 71, 65, 68, 65, 65, 63, 64, 56, 59, 53, 55]","[879, 802, 935, 883, 47, 46, 433, 443, 488, 504, 420, 421, 422, 423, 330, 356, 373, 389, 60, 145, 173, 308, 319, 926, 827, 792, 775, 739, 732, 723, 715, 714, 624, 567, 543, 517, 512, 505, 742, 746, 721, 722, 513, 555, 481, 511, 469, 471, 411, 434, 382, 394, 332, 347]"
"96","long","[90, 70, 117, 90, 63, 168, 40, 4, 64, 44]","[644, 538, 708, 646, 411, 891, 270, 12, 428, 293]"
"97","luchkov","[19]","[82]"
"98","make","[5, 35, 37, 38, 46, 57, 69, 71, 73, 73, 71, 70, 53, 190, 117, 76, 19, 4, 118, 71, 68, 54, 40, 23, 72, 191]","[51, 165, 197, 258, 319, 387, 528, 567, 587, 583, 549, 538, 322, 925, 717, 616, 84, 18, 740, 572, 512, 335, 270, 139, 576, 935]"
"99","meet","[38, 64, 81]","[254, 439, 623]"
"100","middle","[19]","[88]"
"101","mountain","[69]","[524]"
"102","mouth","[74]","[597]"
"103","natasha","[19, 117, 117, 117, 146, 23, 23, 68, 104, 23, 19, 104]","[91, 713, 722, 725, 847, 115, 139, 519, 669, 116, 89, 667]"
"104","night","[118, 64]","[746, 432]"
"105","open","[40, 5, 21, 64]","[269, 41, 101, 428]"
"106","people","[26, 5, 65, 68, 64, 64, 45, 53, 38, 38, 142, 142, 74, 142, 71, 74, 68, 71, 137, 114, 71, 68, 59, 46]","[153, 48, 484, 511, 414, 424, 303, 326, 251, 260, 818, 820, 597, 809, 565, 592, 519, 564, 802, 690, 555, 517, 394, 319]"
"107","pepper","[37, 36]","[215, 186]"
"108","phone","[19, 37]","[84, 211]"
"109","piece","[4]","[20]"
"110","place","[5, 53, 65, 44]","[56, 322, 475, 300]"
"111","play","[63, 37, 64, 64, 70, 64, 117, 73, 117]","[407, 230, 446, 413, 541, 447, 709, 587, 717]"
