"SOURCE NODE ID","TARGET NODE ID","SOURCE SCENE ID","TARGET SCENE ID"
"173","150","117","116"
"153","151","73","72"
"153","151","71","72"
"154","152","155","156"
"170","153","70","71"
"168","153","76","77"
"168","153","76","75"
"155","153","64","65"
"151","153","72","73"
"151","153","72","71"
"205","154","144","143"
"211","154","138","137"
"211","154","138","139"
"210","154","187","186"
"184","154","140","139"
"184","154","185","186"
"152","154","156","155"
"170","155","69","68"
"170","155","63","64"
"153","155","65","64"
"190","156","36","35"
"197","156","34","35"
"197","156","34","33"
"196","158","17","18"
"201","158","19","18"
"168","161","122","121"
"173","161","120","121"
"200","162","160","161"
"211","162","162","161"
"187","163","5","4"
"176","163","3","4"
"186","164","56","57"
"174","166","89","88"
"168","167","92","93"
"153","168","77","76"
"153","168","75","76"
"161","168","121","122"
"167","168","93","92"
"169","168","168","167"
"169","168","166","167"
"170","168","111","112"
"205","168","43","44"
"205","168","43","42"
"200","168","149","148"
"204","168","190","191"
"216","168","45","44"
"216","168","45","46"
"213","168","47","46"
"174","168","85","84"
"174","168","113","112"
"174","168","113","114"
"172","168","41","42"
"172","168","41","42"
"172","168","41","42"
"172","168","41","42"
"183","168","100","99"
"189","168","123","122"
"189","168","123","122"
"189","168","123","122"
"189","168","123","122"
"168","169","167","168"
"168","169","167","166"
"184","169","169","168"
"188","169","81","80"
"183","169","79","80"
"174","170","110","111"
"174","170","101","102"
"173","170","117","118"
"183","170","105","104"
"168","170","112","111"
"155","170","68","69"
"155","170","64","63"
"153","170","71","70"
"168","172","42","41"
"168","172","42","41"
"168","172","42","41"
"168","172","42","41"
"214","172","40","41"
"214","172","40","41"
"214","172","40","41"
"214","172","40","41"
"150","173","116","117"
"161","173","121","120"
"170","173","118","117"
"170","174","102","101"
"183","174","100","101"
"168","174","84","85"
"170","174","111","110"
"166","174","88","89"
"168","174","114","113"
"168","174","112","113"
"163","176","4","3"
"204","182","26","25"
"168","183","99","100"
"169","183","80","79"
"188","183","81","82"
"170","183","104","105"
"174","183","101","100"
"154","184","139","140"
"154","184","186","185"
"169","184","168","169"
"205","184","174","173"
"205","184","170","171"
"205","184","170","169"
"211","184","172","173"
"211","184","181","182"
"211","184","162","163"
"211","184","172","171"
"164","186","57","56"
"198","186","55","56"
"163","187","4","5"
"195","187","6","5"
"169","188","80","81"
"183","188","82","81"
"168","189","122","123"
"168","189","122","123"
"168","189","122","123"
"168","189","122","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"210","189","124","123"
"156","190","35","36"
"215","190","37","36"
"187","195","5","6"
"158","196","18","17"
"156","197","35","34"
"156","197","33","34"
"215","198","37","38"
"212","198","53","54"
"186","198","56","55"
"162","200","161","160"
"168","200","148","149"
"158","201","18","19"
"168","204","191","190"
"182","204","25","26"
"210","204","187","188"
"211","205","131","130"
"184","205","169","170"
"184","205","173","174"
"184","205","171","170"
"168","205","44","43"
"168","205","42","43"
"154","205","143","144"
"154","210","186","187"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"189","210","123","124"
"204","210","188","187"
"154","211","139","138"
"205","211","130","131"
"184","211","163","162"
"184","211","182","181"
"184","211","173","172"
"184","211","171","172"
"162","211","161","162"
"154","211","137","138"
"198","212","54","53"
"168","213","46","47"
"172","214","41","40"
"172","214","41","40"
"172","214","41","40"
"172","214","41","40"
"190","215","36","37"
"198","215","38","37"
"168","216","46","45"
"168","216","44","45"
